"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33"
"1","번호937","품목보고번호200705260147","업소명주식회사 이미라클","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명클린업세븐(클린업7)","분류식품","업체명","주식회사 이미라클","소재지","전라남도 함평군 신광면 신광중앙길 21(외 1필지)","1","2","3","먹는물","팔라티노스","자일리톨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호936","품목보고번호2018062221565","업소명(재)제주테크노파크용암해수센터","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명키스베리 제주만다린","분류식품","업체명","(재)제주테크노파크용암해수센터","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-19","1","2","3","정제수","발효식초","비타민C","","풋귤발사믹식초(고형분 0.1%이상)","","4","5","6","7","8","9","10","11","타우린","레몬향분말","탄산수소나트륨","글리신","황금추출물","구연산(무수)","수크랄로스","천연착색료혼합제제","","","","","복합황금추출물","","","홍화황색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호935","품목보고번호20050440004163","업소명(주)내츄럴팜","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명키앤건아","분류식품","업체명","(주)내츄럴팜","소재지","충청북도 옥천군 군북면 비야대정로 293-20","1","2","3","율무씨앗","잇꽃씨앗","사철쑥지상부","씨앗","(홍화씨)씨앗","(인진)지상부","4","5","6","7","8","9","10","11","지황뿌리","지황포제가공한뿌리","다시마","오갈피나무뿌리껍질","구기자나무열매","산조씨앗","큰노랑용담","황금뿌리","(생지황)뿌리(제한적원료)","(숙지황)포제가공한뿌리(제한적원료)","","(오가피)뿌리껍질및줄기껍질","(구기자)열매","(산조인)산대추씨앗(제한적원료)","(겐티아나)뿌리및뿌리줄기","뿌리","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","치자","맥문동뿌리","천문동덩이뿌리","민들레","복령균핵","단삼뿌리","옥수수수염","엉겅퀴","쇠비름","칡뿌리","둥굴레잎","꿀풀","울금덩이뿌리","구기자나무뿌리","작약뿌리","결명자열매","광귤나무열매","기타설탕","올리고당","구연산","잔탄검","안식향산나트륨","열매(제한적원료)","뿌리(제한적원료)","덩이뿌리(제한적원료)","(포공영)전초","균핵(제한적원료)","뿌리(제한적원료)","암술대(제한적원료)","순/잎","잎/순/줄기","(갈근)뿌리","잎","순/잎","덩이뿌리(제한적원료)","(지골피)뿌리","뿌리(제한적원료)","열매","(지각)열매(제한적원료)","(흑당)","","","",""
"4","번호934","품목보고번호2016044902165","업소명건승티앤비","품목유형혼합음료","유통/소비기한실온보관에서 제조일로부터 24개월","제품명키즈 깔라만시","분류식품","업체명","건승티앤비","소재지","충청남도 천안시 동남구 성남면 성남로 230-21","1","2","3","칼라만시주스","프락토올리고당","젖산칼슘",NA,NA,NA,"4","5","6","7",NA,NA,NA,NA,"비타민C","타우린","5종혼합유산균","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호933","품목보고번호19890445014498","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명키즈아이큐(IQ)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","식물혼합추출액","천마추출액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호932","품목보고번호19970464172201","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명키즈칼슘 프라임(kids calcium prime)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","젖산칼슘","농축사과과즙","백설탕",NA,NA,NA,"4","5","6","7","8","9","10",NA,"구연산","구연산삼나트륨","타우린","비타민B2","비타민C","사과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호931","품목보고번호200102751344","업소명김용범박사 키토산","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명키토-원(1)","분류식품","업체명","김용범박사 키토산","소재지","경기도 성남시 중원구 갈마치로 302(상대원동, 우림라이온스밸리5차 1607호)","1","2","3","키토산분말","키토산분말","키토올리고당(고시형)",NA,NA,NA,"4","5","6",NA,NA,NA,NA,NA,"매실엑기스","현미식초","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호930","품목보고번호200102751345","업소명김용범박사 키토산","품목유형혼합음료","유통/소비기한제조일로부터 (냉장 0~10℃) 6개월","제품명키토-원(2호)","분류식품","업체명","김용범박사 키토산","소재지","경기도 성남시 중원구 갈마치로 302(상대원동, 우림라이온스밸리5차 1607호)","1","2","3","키토산분말","글루코사민","키토올리고당(고시형)",NA,NA,NA,"4","5","6",NA,NA,NA,NA,NA,"매실엑기스","현미식초","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호929","품목보고번호20090440068353","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명키토랩 무설탕 얼려먹는 샤베트","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","정제수","에리스리톨","카라기난혼합제제",NA,NA,NA,"4","5","6","7","8","9","10","11","DL-사과산","딸기향","소다향","청포도향","복숭아향","복숭아농축과즙","청포도농축과즙","딸기농축과즙",NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"사과농축액","홍화황색소","레드칼라","치자청색소","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호928","품목보고번호20040275056494","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명키토마인드","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","정제수","혼합제제","시클로덱스트린시럽","","말티톨혼합제제","싸이덱스-S","4","5","6","7","8","9","10","11","기타가공품","타우린","키토올리고당(고시형)","비타민C","과.채가공품류","DL-사과산","기타가공품","기타가공품","발효젖산칼슘(발효유기산제 80%, 소성패각칼슘 20%)","","키토올리고당파코스","","매실농축액SR-24471","","참깨미네랄","복합허브추출물D","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합제제","자몽종자추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"허브향엠에프","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
