"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호5022","품목보고번호19890445014484","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 영지골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","영지엑기스","구기자농축액","액상과당","구연산","카라멜색소","효소처리스테비아","황금복합추출물","모노졸","영지향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5021","품목보고번호19890445014506","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 웅녹보","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","녹용추출","뉴질랜드산웅노보혼합추출액","타우린","구연산","백설탕","액상과당","카르복시메틸셀룰로오스나트륨","카라멜색소","황금복합추출물","모노솔",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","15","16","17","18","19","20","혼합유화제","허브향","합성착향료","정제수","웅녹보혼합추출액","사철쑥","영지버섯","참당귀","감초","헛개나무열매",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5020","품목보고번호19890445014502","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 위사랑에프(F)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","식물혼합추출액","액상과당","이소말토올리고당","구연산(함수","L-엔톨","아세설팜칼륨","주정","황금복합추출물","레몬향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","15","16","17","18","19",NA,"식물혼합추출액조성비","생강","사철쑥","귤나무열매껍질","산사자","감초","창출","복령","계피",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5019","품목보고번호19890445014482","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 주치신","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","헛개나무열매농축액","오리나무","농추액","액상과당","구연산","구연산삼나트륨","타우린","말토덱스트린","L-아스파라긴","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","15",NA,NA,NA,NA,NA,"비타민B2","황금복합추출물","모노솔","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5018","품목보고번호19890445014481","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 활력천","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","녹용추출","산삼배양근추출물","솔잎엑스","당귀엑스","계피엑스","대추엑스","감초엑스","액상과당","스테비올배당체","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","15","16","17",NA,NA,NA,"비타민B2","타우린","카라멜색소","황금복합추출물","모노솔","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5017","품목보고번호19890445014492","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅블루베리","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8",NA,NA,"블루베리농축액","액상과당","포도농축액","구연산","벌꿀","블루베리향","황금복합추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5016","품목보고번호19970464172174","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명대웅산삼배양근","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","홍삼농축액","산삼배양근추출액","상황버섯추출액","대추농축액","숙지황농축액","천궁농축액","배터프리믹스H","사철쑥농축액","액상과당","말토덱스트린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","15","16",NA,NA,NA,NA,"구연산","구연산삼나트륨","액상카라멜","효소처리스테비아","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5015","품목보고번호19890445014470","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅석류천(1000)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","석류농축액","액상과당","구연산","폴리덱스트로스","석류향","레드칼라","황금복합추출물","구연산삼나트륨","카라멜색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5014","품목보고번호19890445014453","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명대웅헛개주치신파워","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","히솝엑기스","헛개나무열매","농축액","오리나무농축액","감초엑스","액상과당","구연산","허브향","헛개나무향효소처리스테비아","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13",NA,NA,NA,NA,NA,NA,NA,"안식향산나트륨","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5013","품목보고번호19890445014494","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅흑마늘진액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,NA,NA,NA,NA,"무농약흑마늘추출액","강화약쑥농축액","배농축액","구연산","프락토올리고당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
