"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","성분 및 원료5","성분 및 원료6","비고5","비고6","번호7","성분 및 원료7","비고7"
"1","번호5052","품목보고번호19970368029483","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명달방아 명인식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","기타 농산가공품","백설탕","쌀","정제수","엿기름추출액","","국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5051","품목보고번호200501202005","업소명맛있는식품","품목유형혼합음료","유통/소비기한제조일로부터 1년 까지","제품명달보드레","분류식품","업체명","맛있는식품","소재지","서울특별시 강동구 명일로 219(지층층 길동)","1","2","3","4","정제수","엿기름","멥쌀","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5050","품목보고번호200501202002","업소명맛있는식품","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명달보드레수정과","분류식품","업체명","맛있는식품","소재지","서울특별시 강동구 명일로 219(지층층 길동)","1","2","3","4","정제수","계피","생강","흑설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5049","품목보고번호200501202004","업소명맛있는식품","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명달보드레호박","분류식품","업체명","맛있는식품","소재지","서울특별시 강동구 명일로 219(지층층 길동)","1","2","3","4","엿기름","쌀","백설탕","정제수","보리엿기름","","","","5","6","단호박","건조호박분말","뉴질랜드산","국산",NA,NA,NA
"5","번호5048","품목보고번호2021049137915","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명달빛인삼식혜","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","정제수","백설탕","쌀","인삼","","정백당","","","5","6","엿기름","생강","","",NA,NA,NA
"6","번호5047","품목보고번호20110214381511","업소명달심F&B","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명달심초콜릿주스","분류식품","업체명","달심F&B","소재지","광주광역시 북구 무등로 153(1,3층 신안동)","1","2","3","4","두부","호박","초콜릿","들깻잎","","단호박","","","5",NA,"정제수",NA,"",NA,NA,NA,NA
"7","번호5046","품목보고번호202102062654","업소명메이드푸드 주식회사","품목유형혼합음료","유통/소비기한2개월","제품명달콤감주","분류식품","업체명","메이드푸드 주식회사","소재지","인천광역시 부평구 부평대로 337(부평 제이타워3차 지식산업센터 4층 429,430호 청천동)","1","2","3","4","쌀","맥아","기타설탕","혼합제제","","","자일로스설탕,씨제이제일제당","설탕대신,바이오믹스테크","5","6","퀴노아가루","정제수","","",NA,NA,NA
"8","번호5045","품목보고번호2011049204010","업소명드림인영농조합법인","품목유형혼합음료","유통/소비기한12개월","제품명달콤나무 다래나무 수액","분류식품","업체명","드림인영농조합법인","소재지","전라북도 남원시 인월면 천왕봉로 54","1","2","3","4","다래","구연산","구연산 나트륨","안식향산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5044","품목보고번호2011049204029","업소명드림인영농조합법인","품목유형혼합음료","유통/소비기한12개월","제품명달콤나무 홍삼수드림","분류식품","업체명","드림인영농조합법인","소재지","전라북도 남원시 인월면 천왕봉로 54","1","2","3","4","정제수","홍삼농축액","고로쇠농축액","액상과당","","","","","5","6","대추농축액","복합허브추출물","","복합허브추출물G","7","홍삼향",""
"10","번호5043","품목보고번호2011049204011","업소명드림인영농조합법인","품목유형혼합음료","유통/소비기한12개월","제품명달콤나무자작나무수액","분류식품","업체명","드림인영농조합법인","소재지","전라북도 남원시 인월면 천왕봉로 54","1","2","3","4","자작나무수액","구연산","구연산삼나트륨","안식향산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
