"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호1373","품목보고번호19740344001250","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명조지아 맥스 커피 원제 제2B부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","3","합성착","향료(커피향)","프로필렌글리콜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1372","품목보고번호19740344001172","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명조지아 에메랄드 마운틴 블렌드 디 오리지널 원제 제2B부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2",NA,"정제수","합성착향료(커피향)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1371","품목보고번호19740344001171","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명조지아 에메랄드 마운틴 블렌드 스위트 아메리카노 원제 제2B부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2",NA,"합성착향료","합성착향료(커피향)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1370","품목보고번호19740344001252","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명조지아 에메랄드 마운틴 블렌드 클래식 라떼 원제 제2B부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","3","정제수","프로필렌글리콜","합성착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1369","품목보고번호19740344001148","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명조지아 오리지널 원제 제2부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2",NA,"커피향","프로필렌글리콜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1368","품목보고번호2004046707172","업소명주식회사 성윤에프엔지(F&G)","품목유형혼합음료","유통/소비기한24개월","제품명좋은느낌야채수","분류식품","업체명","주식회사 성윤에프엔지(F&G)","소재지","충청남도 금산군 금산읍 진악로 909","1","2","3","당근","양배추","오디농축액",NA,NA,NA,"4","5","6","7","8","9","10","11","12","13","14","배","호박","블랙베리","블루베리","아로니아","브로콜리","파프리카","토마토","큰조롱","마","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1367","품목보고번호19920624042400","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은상품 식이섬유음료","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","액상과당","화이바졸(고시형)","구연산",NA,NA,NA,"4","5","6","7","8",NA,NA,NA,NA,NA,NA,"오렌지향","구연산삼나트륨","락색소(HK400)","비타민C","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1366","품목보고번호1999061119326","업소명동아메딕스","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명좋은아침","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","허개나무열매추출농축액","오리나무추출농축액","감초추출농축액",NA,NA,NA,"4","5","6","7","8","9","10","11","12","13",NA,"농축사과과즙","액상과당","구연산","구연산삼나트륨","스테비올배당체","말토덱스트린","박하향","카라멜","안식향산나트륨(보존료)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1365","품목보고번호199704641725","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명좋은아침","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","히솝엑기스","오리나무엑기스","비타민B2",NA,NA,NA,"4","5","6","7","8","9","10","11","12",NA,NA,"구연산삼나트륨","액상과당","정제수","헛개나무엑기스","감초엑기스","구연산","효소처리스테비아","허브향","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1364","품목보고번호2010050006118","업소명좋은이웃 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은이웃 고창 블루베리 원액","분류식품","업체명","좋은이웃 영농조합법인","소재지","전라북도 고창군 고창읍 호암길 16","1","2","3","블루베리","설탕","올리고당",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"자일리톨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
