"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","성분 및 원료19","비고19"
"1","번호2693","품목보고번호20120567001229","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아이케어 뷰티안티폴A","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","기타설탕","발효식초","배농축액","난소화성말토덱스트린(고시형)","아로니아농축액","구연산(무수)","아로니아향","글리신","비타민C","구연산삼나트륨","니코틴산아미드","에리스리톨","비타민B1염산염","비타민B6염산염","분말비타민A","L-프롤린","히알루론산","","사탕수수원당","아로니아식초","","말토덱스트린","","","","","","","","","비타민B1","비타민B6","비타민A","","히알루론산-KD",NA,NA,NA
"2","번호2692","품목보고번호2017048750438","업소명(주)힘찬걸음","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명아이케어 안티폴A","분류식품","업체명","(주)힘찬걸음","소재지","전라북도 익산시 왕궁면 동촌제길 110(국가식품클러스터 식품벤처동 3층 F341호)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","아로니아농축액","발효식초","배농축액","난소화성말토덱스트린(고시형)","사탕수수시럽","니코틴산아미드","구연산(무수)","에리스리톨","구연산삼나트륨","비타민 A","비타민B1염산염","비타민B6염산염","비타민C","히알루론산","글리신","L-프롤린","합성착향료용액","정제수","","아로니아 식초","","","원당","","","","","","","","","","","","아로니아합성착향료","",NA,NA,NA
"3","번호2691","품목보고번호1986044301584","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월(전량수출)","제품명아이케어부스터(Eye Care Booster)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,"블루베리농축츄스","빌베리추출물","타우린","비타민B2","피리독신염산염(고시형)","비타민C","글루콘산아연","시클로텍스트린시럽","아가베시럽","토마틴","혼합제제복분자향","소르빈산칼륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2690","품목보고번호2015055519525","업소명농업회사법인 과원주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명아이톡톡 키즈도라지배즙","분류식품","업체명","농업회사법인 과원주식회사","소재지","경상북도 영천시 화남면 신선로 148-3","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"배농축액","도라지농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2689","품목보고번호2022068308321","업소명농업회사법인 주식회사 삼성농원 제2공장","품목유형혼합음료","유통/소비기한제조일로 부터 24개월 까지","제품명아인가 블루베리 워터젤리","분류식품","업체명","농업회사법인 주식회사 삼성농원 제2공장","소재지","전라북도 익산시 반월길 27(1~2층 월성동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"에리스리톨","블루베리주스농축액","구연산(무수)","구연산삼나트륨","수크랄로스","포도향","블루베리향","포도과피색소","카라기난","카라기난","젖산칼슘","잔탄검","젤란검","로커스트콩검","정제수",NA,NA,NA,"","블루베리100%","","","","포도향sf-38333","블루베리향sf-40272","포도과피색소sc-38474","카라기난#31603","카라기난#2","","","","","",NA,NA,NA,NA,NA,NA
"6","번호2688","품목보고번호2022068308320","업소명농업회사법인 주식회사 삼성농원 제2공장","품목유형혼합음료","유통/소비기한제조일로 부터 24개월 까지","제품명아인가 유자 워터젤리","분류식품","업체명","농업회사법인 주식회사 삼성농원 제2공장","소재지","전라북도 익산시 반월길 27(1~2층 월성동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,"에리스리톨","과.채가공품","구연산(무수)","수크랄로스","구연산삼나트륨","유자향","베타카로틴혼합제제","카라기난","카라기난","젖산칼슘","잔탄검","젤란검","정제수","로커스트콩검",NA,NA,NA,NA,"","유자과즙농축액H","","","","유자향#13","카로틴색소#1(베타카로틴,글리세린)","카라기난#31603","카라기난2","","","","","",NA,NA,NA,NA,NA,NA,NA
"7","번호2687","품목보고번호19890449002163","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7개월","제품명아인슈타인 쥬시밀크 딸기","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,"과.채가공품","과.채가공품","백설탕","원유","이소말토올리고당","구연산","펙틴","비타민B1염산염","젖산칼슘","천연향료","정제수",NA,NA,NA,NA,NA,NA,NA,"딸기농축과즙","크랜베리농축액","","DHA원유","","함수구연산","펙틴AMD383S2","","","천연딸기향 A-7291F","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2686","품목보고번호19890449002162","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7개월","제품명아인슈타인 쥬시밀크 사과","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"과.채가공품","백설탕","원유","이소말토올리고당","구연산","펙틴","비타민B1염산염","젖산칼슘","천연향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"사과농축과즙","","DHA원유","","함수구연산","펙틴AMD383S2","","","천연사과향료(SJN1533)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2685","품목보고번호20130415052233","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명아일로 타입1 콜라겐 비오틴 앰플","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","오렌지농축액","생선콜라겐","프락토올리고당","생선콜라겐펩타이드","이소말토올리고당","비타민C","레몬농축액","구연산","엘라스틴가수분해물","오렌지향","구연산삼나트륨","효소처리스테비아","잔탄검","황금혼합추출물","아미노산혼합제제","비오틴","히알루론산(고시형)","","","GT콜라겐","","콜라겐-트리펩20","뉴오리고","비타민C파인파우더","","","","오렌지향FN0112-0001, 혼합제제","","","","","뷰미노콤플렉스","","","19","우유단백질","밀크세라마이드"
"10","번호2684","품목보고번호20000614238527","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아임e)샤인머스캣그린티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,"정제수","설탕","구연산","향료","과.채가공품","녹차농축","구연산삼나트륨","비타민C","향료","아세설팜칼륨","수크랄로스","식용색소황색제4호","식용색소청색제1호",NA,NA,NA,NA,NA,"","","","","샤인머스캣혼합농축액","녹차농축액","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
