"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고6","비고7","비고8","비고9","비고10"
"1","번호2054","품목보고번호202104913799","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한6개월","제품명우리농 전통식혜","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5","정제수","쌀","설탕","엿기름","생강","","유기농쌀","유기농설탕","유기농엿기름","유기농생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2053","품목보고번호201205280132","업소명(주)우리물","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명우리물 秀","분류식품","업체명","(주)우리물","소재지","전라남도 장성군 장성읍 단풍로 30","1","2",NA,NA,NA,"정제수","울금농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2052","품목보고번호2002056303846","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명우리믹스후르츠","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","파인농축액","사과농축액","복숭아농축액","백설탕","구연산",NA,NA,NA,NA,NA,"6","7","8","9","10","비타민C","잔탄검","레드색소","합성착향료","정제수",NA,NA,NA,NA,NA
"4","번호2051","품목보고번호2006046711430","업소명주식회사 현가","품목유형혼합음료","유통/소비기한15일(냉장보관)","제품명우리밀식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5","무농약엿기름","쌀","백설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2050","품목보고번호2002056303847","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명우리바나나","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","바나나퓌레","백설탕","구연산","구연산삼나트륨","비타민C",NA,NA,NA,NA,NA,"6","7","8","9","10","잔탄검","치자황색소","합성착","향료(바나나향)","정제수",NA,NA,NA,NA,NA
"6","번호2049","품목보고번호1996044304793","업소명(주)비락 진천공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명우리쌀 식혜","분류식품","업체명","(주)비락 진천공장","소재지","충청북도 진천군 진천읍 덕금로 183","1","2","3","4","5","음료베이스","백설탕","곡류가공품","기타설탕","과.채가공품","엿기름 추출액","설탕","쌀페이스트","자일로스 설탕","생강농축액","6",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA
"7","번호2048","품목보고번호2014039506619","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한냉장60일 냉동1년","제품명우리쌀 전통식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4",NA,"멥쌀","정제수","엿기름","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2047","품목보고번호201105270467","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 60일 까지","제품명우리쌀냉식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,"엿기름","백설탕","정제수","멥쌀",NA,"","","","유기농(국산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2046","품목보고번호2011052704643","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 1년(냉동)","제품명우리쌀냉식혜(냉동)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,"엿기름","백설탕","멥쌀","정제수",NA,"","","유기농(국산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2045","품목보고번호2011052704644","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명우리쌀로 만든 냉식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,"엿기름","백설탕","멥쌀","정제수",NA,"국산","","국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
