"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호3757","품목보고번호20140493171129","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명블루레몬에이드","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","설탕","과.채가공품","구연산","합성향료","메타인산나트륨","비타민C","구연산삼나트륨","합성향료","합성향료","수크랄로스","천연향료","아세설팜칼륨","식용색소청색제1호","","","레몬농축액","산도조절제","레몬향","산도조절제","","산도조절제","시트러스향","믹스후르츠향","감미료","라임향","감미료","착색료"
"2","번호3756","품목보고번호20020623009593","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명블루레몬에이드","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","레몬농축액","덱스트린","구연산","메타인산나트륨","DL-사과산","시트러스향","구연산삼나트륨","식용색소청색1호","수크랄로스","레몬향","혼합과일향","라임향","정제수","백설탕","레몬농축액(65Brix)0.324% - 레몬과즙(7Brix기준)3%","","","","","합성착향료","산도조절제","합성착색료","합성감미료","합성착향료","합성착향료","합성착향료","",""
"3","번호3755","품목보고번호2019048889139","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한18개월","제품명블루레몬에이드","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"레몬농축액","설탕","구연산","구연산삼나트륨","덱스트린","수크랄로스","합성향료","식용색소청색제1호","합성향료","합성향료","정제수",NA,NA,NA,"65brix, 미국산","","산도조절제","산도조절제","말토덱스트린","감미료","시트러스향#1","착색료","레몬향#1","라임향#1","",NA,NA,NA
"4","번호3754","품목보고번호19730380010443","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     12 개월","제품명블루레몬에이드","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"정제수","설탕","구연산","과.채가공품","난소화성말토덱스트린(고시형)","수크랄로스","아세설팜칼륨","식용색소청색제1호","혼합제제","혼합제제","혼합제제",NA,NA,NA,"","수입설탕","함수","레몬농축액, 65 Brix","고시형","감미료","감미료","착색료","레몬향(합성향료, 천연향료)","레몬비터향(합성향료, 천연향료)","라임향(합성향료, 천연향료)",NA,NA,NA
"5","번호3753","품목보고번호19960458039561","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명블루레몬에이드","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"정제수","설탕","레몬농축액","구연산","혼합제제","혼합제제","구연산삼나트륨","비타민C","수크랄로스","식용색소청색제1호",NA,NA,NA,NA,"","","65Brix","","레몬향 TF-37096","레몬향 K-171115","","","","",NA,NA,NA,NA
"6","번호3752","품목보고번호19990467050106","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명블루레몬에이드","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"레몬농축액","과당옥수수시럽","설탕단풍수액","구연산","천연향료(Lemon)","구연산삼나트륨","자일리톨","효소처리스테비아","안식향산나트륨","천연향료(Lime)","시트러스향","정제수",NA,NA,"고형분30%이상","","","","","","","","","","","",NA,NA
"7","번호3751","품목보고번호19930571069361","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명블루레몬에이드","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","12","13","14","레몬농축액","백설탕","구연산","덱스트린","메타인산나트륨","DL-사과산","구연산삼나트륨","수크랄로스","식용색소청색제1호","시트러스향","레몬향","혼합과일향","라임향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3750","품목보고번호20050555180761","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명블루레몬에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"정제수","설탕","구연산","덱스트린","레몬농축액","레몬향","구연산삼나트륨","라임향","시트러스향","수크랄로스","메타인산나트륨","식용색소청색제1호",NA,NA,"","","함수구연산","말토덱스트린","","혼합제제 A","","혼합제제 B","혼합제제 C","","","",NA,NA
"9","번호3749","품목보고번호20110493072203","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월.","제품명블루레몬에이드","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"정제수","백설탕","레몬농축액","덱스트린","구연산","구연산삼나트륨","수크랄로스","식용색소청색제1호","시트러스향","레몬향","라임향",NA,NA,NA,"","","65Brix, 이스라엘산","","산도조절제","산도조절제","감미료","착색제","합성향료","합성향료","합성향료",NA,NA,NA
"10","번호3748","품목보고번호20050555180704","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명블루레몬에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"정제수","설탕","구연산","레몬농축액","덱스트린","향료","구연산삼나트륨","향료","혼합제제","수크랄로스","메타인산나트륨","식용색소청색제1호",NA,NA,"","","함수구연산","이스라엘","말토덱스트린","레몬향","","라임향","시트러스향(향료, 자당지방산에스테르, D-솔비톨액, 정제가공유지)","","","",NA,NA
