"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호967","품목보고번호20020623009618","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쿨 모히또 자몽","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","자몽농축액","아세로라농축분말","백설탕","구연산","비타민C","수크랄로스","정제소금","레드색소","시트러스향","자몽향","정제수","β-카로틴","64brix, 9brix 기준 3.3%","","","산도조절제","영양강화제","합성감미료","","","합성착향료","합성착향료","","합성착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호966","품목보고번호202106061432","업소명(주)대진에프아이","품목유형혼합음료","유통/소비기한12개월","제품명쿨 블루레몬","분류식품","업체명","(주)대진에프아이","소재지","경상남도 양산시 주남로 288(영산대학교양산캠퍼스 D동코스모스관 5층 3503호 주남동)","1","2","3","4","5","6","7","8","9","10","11",NA,"레몬농축액","라임농축액","백설탕","에리스리톨","구연산","비타민C","수크랄로스","식용색소청색제1호","레몬라임향","레몬향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호965","품목보고번호20020623009434","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명쿨 피나콜라다","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","파인애플농축액","코코넛크림분말","백설탕","구연산","비타민C","펙틴","수크랄로스","제재염","홍화황색소","시트러스향","파인애플향","코코넛향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","14","15","정제수","파인애플농축액","파인애플과즙",NA,NA,NA
"4","번호964","품목보고번호20070464094396","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쿨다방 복숭아","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","탈지분유","구연산","복숭아농축액","탈지대두","합성향료","합성향료","펙틴","구연산삼나트륨","혼합제제","요거트분말","","","","함수구연산","","소야화이브","복숭아향1","복숭아향2","","","폼크린","","13","14","15","수크랄로스","식용색소황색제4호","식용색소적색제40호","","",""
"5","번호963","품목보고번호20110445029143","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명쿨다방 복숭아","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","12","정제수","백설탕","탈지분유","구연산","복숭아농축액","향료","두류가공품","펙틴","구연산삼나트륨","요거트분말","수크랄로스","혼합제제","","","국산","함수구연산","이스라엘산 68bx'","복숭아향 V20652","대두다당류 중국산","펙틴 RS 400","","","","폼크린200","13","14",NA,"식용색소황색제4호","식용색소적색제40호",NA,"","",NA
"6","번호962","품목보고번호202206831257","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쿨다방 복숭아","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","전라북도 익산시 왕궁면 푸드폴리스로 59(웰빙랜드)","1","2","3","4","5","6","7","8","9","10","11","12","탈지분유","설탕","탈지대두","펙틴","구연산삼나트륨","수크랄로스","구연산","요거트분말","식용색소황색제4호","식용색소적색제40호","복숭아향","복숭아향","혼합탈지분유","","","","","","함수구연산","요구르트분말","","","복숭아향1","복숭아향2","13","14","15","복숭아농축액","혼합제제","정제수","","",""
"7","번호961","품목보고번호20070464094395","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쿨다방 사과","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","탈지분유","사과농축액","구연산","탈지대두","합성향료","펙틴","구연산삼나트륨","요거트분말","혼합제제","수크랄로스","","","","","함수구연산","소야화이브","사과향","","","","폼크린","","13","14",NA,"식용색소황색제4호","식용색소적색제40호",NA,"","",NA
"8","번호960","품목보고번호20110445029144","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명쿨다방 사과","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","12","정제수","백설탕","탈지분유","구연산","과.채가공품","향료","두류가공품","요거트분말","펙틴","구연산삼나트륨","혼합제제","수크랄로스","","","국산","함수구연산","장수사과즙 국산","사과향 V25732","대두다당류 중국산","","펙틴 RS 400","","폼크린200","","13","14",NA,"식용색소황색제4호","식용색소청색제1호",NA,"","",NA
"9","번호959","품목보고번호20070464094397","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쿨다방 파인애플","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","탈지분유","구연산","파인애플농축액","탈지대두","합성향료","펙틴","구연산삼나트륨","요거트분말","혼합제제","수크랄로스","","","","함수구연산","","소야화이브","파인애플향","","","","폼크린","","13","14",NA,"식용색소황색제4호","식용색소적색제40호",NA,"","",NA
"10","번호958","품목보고번호20110445029145","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명쿨다방 파인애플","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","12","정제수","백설탕","탈지분유","과.채가공품","구연산","향료","두류가공품","요거트분말","펙틴","구연산삼나트륨","수크랄로스","혼합제제","","","국산","파인애플 쥬스 농축액 65bx' 베트남산","함수구연산","파인애플향 V20815","대두다당류 중국산","","펙틴 RS 400","","","","13","14",NA,"식용색소황색제4호","식용색소적색제40호",NA,"","",NA
