"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14","번호15","성분 및 원료15","비고15"
"1","번호4424","품목보고번호2018049100821","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명망고 곤약젤리","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8","9","구연산","에리스리톨","수크랄로스","식품첨가물혼합제제","망고향","강황추출물분말","구연산삼나트륨","펙틴","정제수","","","","제이단 ES-1092","","뿌리줄기","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4423","품목보고번호201104980038","업소명(주)메트로비앤에프","품목유형혼합음료","유통/소비기한12개월","제품명망고 쏘쿨","분류식품","업체명","(주)메트로비앤에프","소재지","전라북도 임실군 관촌면 관진로 112-4","1","2","3","4","5","6","7",NA,NA,"정제수","백설탕","과채퓨레 페이스트","혼합제제","DL-사과산","비타민 C 분말","망고향",NA,NA,"","","망고퓨레(15birx)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4422","품목보고번호20040275056481","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명망고 워터젤리","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","정제수","백설탕","젖산칼슘","망고향","망고농축퓌레","검 베이스 혼합제제","구연산(무수)","효소처리스테비아","비타민C","","정백당","","","망고농축퓨레","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4421","품목보고번호19970570162330","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 9 개월 까지","제품명망고400D","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","망고농축액","정제수","설탕","오렌지향","망고향","비타민C","구연산","구연산삼나트륨","홍화황색소","망고청징농축액","","","합성향료","합성향료","","함수 결정","","분말산옐로우NO2","10","11","혼합제제류","효소처리루틴","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4420","품목보고번호2010054306617","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명망고맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","알로에베라겔절편","알로에분말","액상과당","벌꿀","구연산","겔로겔","젖산칼슘","구연산삼나트륨","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","치자엘로우","베타카로틴(고시형)",NA,NA,"12","13","14","망고후레바(#9)","망고향(SW-4498)","정제수",NA,NA,NA,NA,NA,NA
"6","번호4419","품목보고번호2014049317135","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명망고모히또","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","정제수","설탕","과.채가공품","구연산","과.채가공품","식품첨가물혼합제제","식품첨가물혼합제제","구연산삼나트륨","젤란검","","","망고페이스트","","레몬농축액","혼합제제(천연향료,합성향료)","혼합제제(천연향료,합성향료)","","","10","11","수크랄로스","메타인산나트륨","감미료","","12","13",NA,"식용색소황색제4호","식용색소황색제5호",NA,"착색료","착색료",NA,NA,NA,NA
"7","번호4418","품목보고번호2007046409474","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명망고알로에(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","알로에베라겔크러쉬","알로에분말","백설탕","액상과당","구연산","젖산칼슘","젤란검","구연산삼나트륨","망고농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","망고향","카라멜당시럽",NA,NA,"12","13","14","시트러스향","옐로우 칼라","레드칼라",NA,NA,NA,"15","정제수",NA
"8","번호4417","품목보고번호2021055909215","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명망고액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7",NA,NA,"망고분말","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,"망고추출분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4416","품목보고번호20100543066432","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명망고앤코코넛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7",NA,NA,"정제수","백설탕","망고농축액","나타드코코","구연산","수크랄로스","합성착향료",NA,NA,"","","망고과즙 2.4%","나타드코코 80%","","","망고향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4415","품목보고번호20000614238247","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명망고에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","망고퓌레","액상과당","백설탕","구연산","비타민C","구연산삼나트륨","잔탄검","스테비안45S","망고향",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","식용색소황색제4호","식용색소황색제5호",NA,NA,"12",NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA
