"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","번호14","번호15","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고16","비고17","비고18","비고19","비고20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28"
"1","번호261","품목보고번호2019041307950","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명허니레몬","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","설탕","레몬농축액","사양벌꿀","구연산","구연산삼나트륨","혼합제제","식용색소황색제4호","수크랄로스","혼합제제","정제수","","60Brix 이상, 이스라엘산","허니스티","","","정제가공유지, 유화제, D-소비톨액, 아라비검, 글리세린, 주정","","","합성향료, 천연향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호260","품목보고번호20030554150214","업소명피지바이오헬스영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명허니로얄제리","분류식품","업체명","피지바이오헬스영농조합법인","소재지","경상북도 영주시 풍기읍 기주로170번길 46(외2필지)","1","2","3","4","5","6","7","8","9","10","정제수","과당","벌꿀","맥아농축액","프로폴리스추출물(고시형)","로열젤리제품","구연산","합성향료","비타민C","혼합제제","","","국산","","","로열젤리펩타이드","","오렌지향","","비타믹스","11","합성향료","바나나향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호259","품목보고번호201005430661151","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명허니망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","망고농축액","합성향료","구연산","젖산칼슘","카로틴","젤란검","비타민C","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","망고청징농축액(이스라엘산)/배합함량100%","망고향","","","","","","11","구연산삼나트륨","","12","13","14","15","유화제","적양배추색소","천연향료","벌꿀","","","망고향","마누카꿀(뉴질랜드산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호258","품목보고번호20020623009606","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명허니뱅쇼","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","농축적포도주스","백설탕","액상과당","사양벌꿀","주류","구연산","구연산삼나트륨","잔탄검","와인향","정제수","적포도주스농축액(68Brix)","","","","프렌치레드와인농축액","함수, 산도조절제","산도조절제","산탄검","로제와인향(합성착향료)","","11","황금추출물","복합황금추출물","12","13","14","15","계피추출물","블랙베리농축액","오렌지향","오렌지농축액","계피 : 0.25%, 정제수 99.75%, 고형분 0.02%","블랙엘더베리농축액(65brix)","합성착향료","65brix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호257","품목보고번호20190456640162","업소명주식회사새롬웰푸드","품목유형혼합음료","유통/소비기한12개월","제품명허니뱅쇼","분류식품","업체명","주식회사새롬웰푸드","소재지","충청남도 천안시 동남구 성남면 대흥1길 153-50","1","2","3","4","5","6","7","8","9","10","정제수","기타과당","프락토올리고당","소스","과.채가공품","과.채가공품","기타가공품","구연산","DL-사과산","비타민C","","고과당","","레드와인농축액","오렌지농축액","사과농축과즙액","계피농축액","","","","11","합성향료","와인향","12","13","14","15","혼합제제","기타가공품","과.채가공품","사양벌꿀","레드칼라AF6","적포도발효농축액","적포도농축액","","16","17","18","19","20","과.채가공품","과.채가공품","과.채가공품","스타아니스열매","정향나무꽃봉오리","배농축과즙액","레몬농축액45BRIX","생강농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호256","품목보고번호20000449035793","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명허니복숭아ADE","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8","9","10","설탕","사양벌꿀","과.채가공품","과.채가공품","구연산","향료","혼합제제","비타민 C(고시형)","향료","수크랄로스","","","복숭아농축액(50Brix)","복숭아농축액(35Brix)","","복숭아향","시트러스향","","꿀향","","11","식용색소적색제40호","","12","13",NA,NA,"식용색소황색제5호","정제수",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호255","품목보고번호19780614001364","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터9개월","제품명허니사랑유자사랑","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","유자청징농축액","액상과당","벌꿀","이소말토올리고당","구연산","구연산삼나트륨","홍화황색소","효소처리루틴","유자향","벌꿀향","","","아카시아꿀","","함수","","분말산옐로우 NO2","","","","11","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호254","품목보고번호19970464172353","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명허니스피드부스터","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","기타과당","배농축액","밀크씨슬추출물","사양벌꿀","로얄젤리분말","타우린","구연산","구연산삼나트륨","비타민 B1염산염(고시형)","비타민 B2(고시형)","","","","","","","","","","","11","니코틴산아미드","","12","13","14","15","비타민B6염산염","판토텐산칼슘","산화아연","황산마그네슘","","","","","16","17","18","19","20","천연향료(Lime)","레몬향","젖산칼슘","엽산","아미노산혼합분말","천연라임향","","","","로이신,발린,이소로이신","21","22","23","24","25","26","27","28","효모추출분말","정제소금","효소처리스테비아","비오틴","DL-사과산","비타민C","염화칼륨","정제수","","","","","","","",""
"9","번호253","품목보고번호2019041307951","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명허니유자","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","설탕","사양벌꿀","기타가공품","구연산삼나트륨","수크랄로스","구연산","식용색소황색제4호","식용색소황색제5호","천연향료","혼합제제","","허니스티","유자청추출물(30Brix이상, 국산)","","","","","","유자향","유자향베이스, 프로필렌글리콜, 주정, 글리세린","11","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호252","품목보고번호19960458039671","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명허니자몽에이드","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","레드자몽농축액","덱스트린","구연산","향료","향료","비타민C","수크랄로스","식용색소적색제40호","","","64 Brix","","","자몽향(NR-17758)","자몽향(DF-90943)","","","","11","식용색소황색제4호","","12",NA,NA,NA,"사양벌꿀",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
