"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17"
"1","번호5522","품목보고번호19940474018394","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명굿샷","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","L-아스파라긴","액상차","사양벌꿀","액상과당","말토덱스트린","구연산","구연산삼나트륨","니코틴산아미드","비타민B2","비타민B6염산염","허브향","정제수","타우린","","녹차추출물","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5521","품목보고번호19940474018688","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명굿샷플러스","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","L-아스파라진","타우린","기타과당","구연산","구연산삼나트륨","니코틴산아미드","비타민B2","비타민B6염산염","덱스트린","사양벌꿀","합성향료","합성향료(L-Cysteine monohydrochloride)","사과농축액","","","","","","","","","말토덱스트린","","허브향","L-시스테인염산염","사과청징농축액","14","15","합성향료","정제수","파인애플향","",NA,NA,NA,NA,NA,NA
"3","번호5520","품목보고번호2019008436420","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명굿세계","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산호분말","필리핀레몬열매농축액","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5519","품목보고번호19860443015365","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명굿아르기닌 5000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","L-아르지닌","구연산","자일리톨","멜론농축액","에리스리톨","효소처리스테비아","메론향","황금혼합추출물","수크랄로스",NA,NA,NA,"","L-아르기닌","무수구연산","","칸탈루프멜론농축액","","","합성향료","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5518","품목보고번호19970464172163","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명굿앤굿 골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","기타과당","헛개열매농축액","배농축액","대추농축액","울금추출분말","사양벌꿀","L-아스파라진","타우린","구연산","구연산삼나트륨","비타민C","효소처리스테비아","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","혼합과일향","벌꿀향",NA,NA,"16","17","정제수","오렌지과즙분말",NA,NA
"6","번호5517","품목보고번호19990555093419","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일자로부터 24개월","제품명굿앤굿 골드","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","기타과당","배농축액","대추농축액","헛개나무열매농축액","사양벌꿀","울금추출물분말","L-아스파라진","타우린","구연산","구연산삼나트륨","비타민C","효소처리스테비아","카라멜색소 Ⅳ","고과당","","","","","","","","","","","","","14","15","향료","향료","혼합과일향","벌꿀향","16","17","혼합허브추출물","정제수","복합허브추출물",""
"7","번호5516","품목보고번호19890445014260","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명굿타임","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","키토올리고당(고시형)","액상과당","백설탕","구연산","허브향","안식향산나트륨","구연산삼나트륨","글리신","정제염","스테비올배당체","비타민B2","니코틴산아미드","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5515","품목보고번호2021049137910","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한6개월","제품명궁 전통식혜","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","쌀","백설탕","엿기름","생강",NA,NA,NA,NA,NA,NA,NA,NA,"","","정백당","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5514","품목보고번호2021049137911","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한6개월","제품명궁 호박식혜","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,"정제수","쌀","늙은호박","백설탕","엿기름","생강","치자",NA,NA,NA,NA,NA,NA,"","","","정백당","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5513","품목보고번호2015033292915","업소명농업회사법인(주)주원에프앤비","품목유형혼합음료","유통/소비기한냉장(6개월)","제품명궁중 가평식혜","분류식품","업체명","농업회사법인(주)주원에프앤비","소재지","경기도 남양주시 화도읍 녹촌로 259-16","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"멥쌀","엿기름","설탕","비타민C","황금혼합추출물","혼합제제","생강","정제수",NA,NA,NA,NA,NA,"유기농","국산","유기농","","복합추출물","가드엠-53(신)","생강추출액(고형분0.1%이상)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
