"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14"
"1","번호1187","품목보고번호20090415087172","업소명주식회사 힐링바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명청인 활력비타 1000","분류식품","업체명","주식회사 힐링바이오","소재지","충청북도 청주시 서원구 현도면 죽전3길 8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","석류농축액","비타민 C(고시형)","타우린","비타민 B2(고시형)","구연산","DL-사과산","판토텐산칼슘","니코틴산아미드","정제소금","드링크향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1186","품목보고번호2012057308017","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년(730일)","제품명청정 에코백 택배수","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1185","품목보고번호19890445014591","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12월(실온)","제품명청정원마시는홍초아이스블루베리","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8",NA,NA,NA,NA,"청정원마시는홍초블루베리","정제수","청정원마시는홍초블루베리","블루베리식초","액상과당","저감미당","올리고당","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1184","품목보고번호19890445014530","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12월(실온)","제품명청정원마시는홍초아이스석류","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"마시는홍초석류","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1183","품목보고번호1988044200457","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명청초","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9",NA,NA,NA,"백포도농축과즙","모로미초","포도식초","벌꿀","골든키위농축과즙","자색고구마농축액","블루베리농축과즙","매실농축과즙","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1182","품목보고번호19970464172552","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명청춘공장 마시는 콜라겐 1100 (Drinking Collagen 1100 )","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","생선콜라겐분말","사과농축액","기타과당","비타민C","구연산","구연산삼나트륨","효소처리스테비아","히알루론산","L-아르지닌","베타인","효모추출분말","카라멜색소 I","저분자피쉬콜라겐","","","","","","","","","","","카라멜당시럽","13","14","석류향","정제수","",""
"7","번호1181","품목보고번호19970464172545","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명청춘공장 마시는 콜라겐(Premium Drinking Collagen)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","생선콜라겐분말","사과농축액","비타민C","기타과당","구연산","구연산삼나트륨","효소처리스테비아","베타인","정제수","석류향","히알루론산","효모추출분말","저분자피쉬콜라겐(300달톤)","","","","","","","","","","","","13","14","L-아르지닌","카라멜향","","카라멜당시럽"
"8","번호1180","품목보고번호19970464172497","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명청춘대추","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","대추농축액","기타과당","구연산","구연산삼나트륨","말토덱스트린혼합제제","생강농축액","도라지농축액","대추향","당밀추출물","펙틴","효소처리스테비아","정제수","","","","","말토덱스트린","","","","","","","",NA,NA,NA,NA,NA,NA
"9","번호1179","품목보고번호19970464172510","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명청춘딸기","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10",NA,NA,"딸기농축액","기타과당","구연산","구연산삼나트륨","아라비아검","비타민C","효소처리스테비아","딸기향","펙틴","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1178","품목보고번호1999046705057","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한24개월","제품명청춘석류","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","석류농축액","고과당","백설탕","구연산","구연산삼나트륨","카르복시메틸셀룰로오스나트륨","체리레드색소","안식향산나트륨","자일리톨","석류향","아세설팜칼륨","액상카라멜","0.93Brix(이란산)","액상과당","정백당","","구연산나트륨","C.M.C(증점제)","체리칼라","합성보존료","","합성착향료","합성감미료","","13",NA,"정제수",NA,"",NA
