"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","성분 및 원료17","비고17"
"1","번호211","품목보고번호201900843643","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 3년","제품명헤라클","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5","6","정제수","필리핀레몬열매농축액","산호분말","패각분말","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호210","품목보고번호20110084489486","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헤라클레스 아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","정제수","L-아르지닌","구연산","블루베리주스농축액","석류농축액","파인애플농축액","","","함수구연산","","","","7","8","9","10","11","12","13","14","15","16","향료","타우린","오르니틴염산염","글루콘산아연","효소처리스테비아","기타가공품","혼합제제","혼합제제","마카뿌리분말","수박분말","천연포도향","","","","","복합황금추출물","비타민혼합제제","아미노산혼합제제/아미노믹스","블랙마카분말","수박추출분말",NA,NA,NA
"3","번호209","품목보고번호19780614001401","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔-제조일로부터 9개월","제품명헤라클레스F","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","사과청징농축액","액상과당","구연산","구연산삼나트륨","타우린","비타민C","","","","","","","7","8","9","10","11","12","13","14","15","16","젖산칼슘","염화마그네슘","탄산칼륨(무수)","혼합제제","혼합제제","효소처리루틴","혼합제제","락색소","드링크향","혼합과일향","","","","혼합아미노산","비타민프리믹스","","분말산옐로우","","","","17","정제수",""
"4","번호208","품목보고번호201003891721","업소명(주)낙천","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명헤러비타","분류식품","업체명","(주)낙천","소재지","강원도 동해시 공단2로 73(구호동)","1","2","3","4","5","6","정제수","과당","벌꿀","비타민C","구연산","드링크향","지장수","","","","","","7","8",NA,NA,NA,NA,NA,NA,NA,NA,"덱스트린 혼합","액상차",NA,NA,NA,NA,NA,NA,NA,NA,"","지황,복령,오가피,벌꿀농축액 고형분60%이상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호207","품목보고번호20090435035211","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명헤모젬","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","6","정제수","사탕야자수액","액상차","비타민 C(고시형)","드럼스틱분말","홍삼농축액(고시형)","","재거리","해죽순농축액","","모링가분말","","7","8","9",NA,NA,NA,NA,NA,NA,NA,"카라기난","로커스트콩검","잔탄검",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호206","품목보고번호20040275056390","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명헤베너스(HEBENUS)","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","정제수","프락토올리고당","L-아르기닌","구연산(무수)","앨더베리농축액","딸기농축액","","","","","","","7","8","9","10","11","12","13","14","15","16","비타민C","망고종자추출물","녹차추출물분말가루","펙틴","딸기향","황금복합추출물","효소처리스테비아","비타민미네랄혼합분말","아미노산혼합분말","호박농축액","","아프리칸망고종자추출분말","녹차추출분말","","","복합황금추출물","","비타민미네랄믹스","아미노믹스","","17","검정콩분말","알파 검정콩분말"
"7","번호205","품목보고번호19810227007446","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월 (실온보관)","제품명헤이 미스터 브라운 달지않고 담백한 맛","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","정제수","귀리페이스트","귀리페이스트","고올레산해바라기유","기타가공품","제이인산칼륨","","오트페이스트","오트페이스트","","볶은혼합곡물분말(퀴노아,현미,렌틸콩,귀리,백태)","산도조절제","7","8","9","10",NA,NA,NA,NA,NA,NA,"식염","레시틴","오트밀향","젤란검",NA,NA,NA,NA,NA,NA,"","유화제","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호204","품목보고번호19810227007445","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월 (실온보관)","제품명헤이 미스터 브라운 달콤하고 고소한 맛","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","정제수","귀리페이스트","귀리페이스트","백설탕","고올레산해바라기유","기타가공품","","오트페이스트","오트페이스트","","","볶은혼합곡물분말(퀴노아,현미,렌틸콩,귀리,백태)","7","8","9","10","11",NA,NA,NA,NA,NA,"제이인산칼륨","식염","레시틴","오트밀향","젤란검",NA,NA,NA,NA,NA,"산도조절제","","유화제","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호203","품목보고번호20070464094429","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명헤이즐넛 라떼 아이스","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","설탕","혼합분유","유크림","가공소금","탄산수소나트륨","혼합제제","","혼합탈지분유","","","","복합유화제","7","8","9","10","11","12","13",NA,NA,NA,"카라기난","혼합제제","땅콩 또는 견과류가공품","헤이즐넛향","헤이즐넛향","헤이즐넛향","정제수",NA,NA,NA,"카라기난K-100","폼크린200","헤이즐넛페이스트분말에이","헤이즐넛향1","헤이즐넛향2","헤이즐넛향3","",NA,NA,NA,NA,NA,NA
"10","번호202","품목보고번호19890445014854","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명헤이즐넛향 시럽","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","정제수","액상과당","백설탕","덱스트린","탄산수소나트륨","카복시메틸셀룰로스나트륨","","","","말토덱스트린","","CMC","7","8","9","10","11","12",NA,NA,NA,NA,"정제소금","수크랄로스","합성향료","합성향료","안식향산나트륨","자당지방산에스테르",NA,NA,NA,NA,"","","헤이즐넛향1","헤이즐넛향2","","P-1670",NA,NA,NA,NA,NA,NA,NA
