"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호4972","품목보고번호2021060692851","업소명주식회사 청담","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명더조은 타트체리 콜라겐","분류식품","업체명","주식회사 청담","소재지","경상남도 양산시 어실로 353-3(어곡동)","1","2","3","체리농축액","생선콜라겐펩타이드분말","기타가공품","(타트체리농축액,65brix,튀르키예산)","","(로커스트콩검,잔탄검,타마린드검,한천,포도당)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4971","품목보고번호20170614111230","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명더조은석류콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","석류농축액","생선콜라겐분말","로커스트콩검","65brix","GT콜라겐","","4","5","6","7","카라기난","잔탄검","분말한천(고시형)","타마린드검","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4970","품목보고번호20190559114205","업소명농업회사법인 주식회사 내츄럴엔","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더좋은 활력부스터","분류식품","업체명","농업회사법인 주식회사 내츄럴엔","소재지","경상북도 영천시 금호읍 금창로 208-60","1","2","3","정제수","L-아르지닌","구연산(무수)","","","","4","5","6","7","L-아스파트산","타우린","프락토올리고당","사과농축액","","","","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","레몬농축액","효소처리스테비아","드링크향","오르니틴염산염","레몬향분말","건조수박열매껍질","펙틴","글루콘산아연","비타민C","마카추출분말","건조쌀가루","아미노산혼합제제","로얄젤리분말","비타민D3혼합제제","","","","","","수박과피추출물","","","","블랙마카추출분말","미강추출분말","아미노산믹스-9","",""
"4","번호4969","품목보고번호19860443015613","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명더진한 작두콩","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","기타 농산가공품","배농축액","프락토올리고당","식물혼합추출액","배농축액","프락토올리고당액상","4","5","6","7","감추출농축액","대추농축액","잔탄검","황금혼합추출물","","","","복합황금추출물","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"도라지농축액","물엿","클로렐라분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4968","품목보고번호20170614111383","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명더탱글펩타이드콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","석류농축액","체리농축액","생선콜라겐펩타이드분말","고형분40%이상","(타트체리)고형분40%이상","콜라겐트리펩타이드","4","5","6",NA,"혼합제제","정제수","석류향",NA,"로커스트콩검,잔탄검,한천타마린드검,카라기난,염화칼륨","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4967","품목보고번호2008033218036","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명더팜홈쿡 식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3","쌀","설탕","맥아농축액","국내산","","엿기름(국내대맥70%,미국소맥30%)4%,정제수96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4966","품목보고번호201403950666","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한60일(냉장), 1년(냉동)","제품명더프레팜 우리쌀 전통식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","멥쌀","엿기름","설탕",NA,NA,NA,"4",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4965","품목보고번호19890445014161","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명덕수영지","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2",NA,"영지추출액","과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4964","품목보고번호201706230882","업소명주식회사 수경","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명덕유산 秀수소물","분류식품","업체명","주식회사 수경","소재지","경상남도 함양군 서상면 추하뒷길 18","1","2",NA,"지하수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4963","품목보고번호201706230883","업소명주식회사 수경","품목유형혼합음료","유통/소비기한1년","제품명덕유산 수 수소워터","분류식품","업체명","주식회사 수경","소재지","경상남도 함양군 서상면 추하뒷길 18","1","2",NA,"지하수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
