"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호3807","품목보고번호20040275056704","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명뷰티 플러스 콜라겐","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","콜라겐","올리고당","석류농축액","구연산","세븐베리농축액","레몬농축액","펙틴","효소처리스테비아","석류향","비타민C","레몬향","아세로라농축액","기타가공품","레드비트농축액","기타가공품","비타민미네랄혼합제제","엘라스틴가수분해물","기타가공품","히알루론산혼합제제","","GT콜라겐","뉴오리고","","함수구연산","","","","","혼합제제","","혼합제제","","귤피추출농축액분말","","복합황금추출물","비타민미네랄믹스","프로라스틴(가수분해엘라스틴)","발효돈태반추출물",""
"2","번호3806","품목보고번호200703582241284","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뷰티:브 마시는 리치콜라겐 6000","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","생선콜라겐펩타이드","프락토올리고당","구연산(무수)","레드자몽농축액","향료제제","효소처리스테비아","카카오색소","기타가공품","DL-사과산","잔탄검","수크랄로스","효모식품","엘라스틴가수분해물","비타민C","우유단백질","기타가공품","과.채가공품","히알루론산","혼합제제","","피쉬콜라겐펩타이드","","","","자몽향","","","올리브오일혼합액","","","","건조효모(글루타치온 함유)","","","우유세라마이드","병풀추출분말, 사용가능부위 : 잎","세븐베리농축분말","","비오틴혼합분말"
"3","번호3805","품목보고번호1999041506413","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명뷰티라인워터","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","허브추출물","허브꽃추출물","순이추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3804","품목보고번호20150375129157","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명뷰티밸런스","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,"석류농축액","체리농축액","생선콜라겐","레드비트농축액","유산균혼합분말","홍삼농축액","잔탄검","비타민C","혼합제제","젖산칼슘","황금혼합추출물","글루콘산아연","히알루론산혼합제제","비타민B1염산염","비타민B6염산염","비타민B2","정제수",NA,NA,NA,"","타트체리농축액","피쉬콜라겐","","혼합유산균","","","","아미노산믹스","","복합황금추출물","","","","","","",NA,NA,NA
"5","번호3803","품목보고번호19890445014503","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명뷰티석류(Beauty Pomegranate)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,"석류농축액","액상과당","저당","구연산","카르복시메틸셀룰로오스나트륨","카라멜색소","자몽종자추출물","효소처리스테비아","생선콜라겐","비타민E","d-α-토코페롤","석류향","합성착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3802","품목보고번호20030211151131","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한24개월","제품명뷰티석류콜라겐","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐펩타이드분말","식품첨가물혼합제제분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류100%","피쉬콜라겐중국산","로커스트콩검,잔탄검,카라기난,글루코만난, 염화칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3801","품목보고번호20150375129170","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명뷰티솔루션","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,"석류농축액","생선콜라겐","체리농축액","레드비트농축액","비타민C","큰조롱덩이뿌리농축액","회화나무열매","유산균혼합분말","젖산칼슘","황금추출물","히알루론산혼합제제","천연적색소","엘라스틴","비타민B1염산염","비타민B6염산염","비타민B2","정제수",NA,NA,NA,"","피쉬콜라겐","타트체리농축액","","","백수오농축액","회화나무열매농축액","혼합유산균,복합유산균","","복합황금추출물","","천연색소","","","","","",NA,NA,NA
"8","번호3800","품목보고번호19860435013828","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뷰티슈퍼콜라겐","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,"정제수","생선콜라겐","세부원재료","프락토올리고당","자일리톨","사과농축액","레몬라임향","DL-사과산","사과향","효소처리스테비아","히알루론산혼합제제","비타민C","잔탄검","제비집추출분말",NA,NA,NA,NA,NA,NA,"","","레몬과즙농축액(Brix 65)","","","Brix 65","","","","","","","","",NA,NA,NA,NA,NA,NA
"9","번호3799","품목보고번호2013061247321","업소명주식회사 엔알바이오텍","품목유형혼합음료","유통/소비기한16개월","제품명뷰티에너지 필라틴","분류식품","업체명","주식회사 엔알바이오텍","소재지","경상남도 거제시 둔덕면 죽전길 310-1(1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,"정제수","건조오미자","맥문동뿌리","인삼","황기","감초","레몬농축액","오미자농축액","태움용융소금","분말결정포도당","타우린","히비스커스추출분말","효소처리스테비아","체리레드색소","레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3798","품목보고번호20100543066881","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뷰티콜라겐","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,"정제수","석류농축액","폴리덱스트로스","기타가공품","구연산","합성향료","알로에겔분말","수크랄로스","적양배추색소","천연향료","유화제","혼합제제","판토텐산칼슘","니코틴산아미드","비타민B6염산염",NA,NA,NA,NA,NA,"","이스라엘산/배합함량 : 석류100%, 석류과즙으로 환원기준 : 2.5%","","피쉬콜라겐/프랑스산","","석류향","유기농알로에베라겔분말/멕시코산, 유기농알로에로 환산시 20%","감미료","","석류향","","규소수지, 유화제, 셀룰로스검","","","",NA,NA,NA,NA,NA
