"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고6","비고7","비고8","비고9","비고10","비고11"
"1","번호61","품목보고번호1991049004071","업소명세미기업(주)","품목유형혼합음료","유통/소비기한1년","제품명후루티믹스 키위맛","분류식품","업체명","세미기업(주)","소재지","전라북도 정읍시 2산단1길 48(하북동)","1","2","3","4","5","키위시럽S","키위향","사과향","그린칼라AF","정제수","키위30%(칠레산),설탕,솔비톨,구연산,사과산,아미드펙틴,구연산삼나트륨,산탄검,제이인산칼슘,합성감미료(아세설팜칼륨)","합성착향료","합성착향료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호60","품목보고번호2018045245421","업소명(주)아로마에프아이","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명후르츠 곤약 청포도","분류식품","업체명","(주)아로마에프아이","소재지","충청북도 음성군 대소면 내산길 21-25","1","2","3","4","5","청포도농축액","곤약분말","혼합제제","난소화성말토덱스트린(고시형)","에리스리톨",NA,NA,NA,NA,NA,"6","7","8","9","10","11","아세설팜칼륨","수크랄로스","구연산(무수)","구연산삼나트륨","청포도향","정제수",NA,NA,NA,NA,NA,NA
"3","번호59","품목보고번호19810227007447","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명후시워터","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3",NA,NA,"정제수","염화마그네슘","젖산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호58","품목보고번호20020383603277","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명후코-힐","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","해조류추출분말","포도종자추출물","기타가공품","벌꿀","블루베리농축액","후코이단","포도씨추출물분말(OPC)","어성초농축액,고형분40%","아카시아꿀","65brix 이상","6","7",NA,NA,NA,NA,"차즈기잎추출액","정제수",NA,NA,NA,NA,"자소엽추출물, 3brix이상","",NA,NA,NA,NA
"5","번호57","품목보고번호2006052907318","업소명(주)해림후코이단","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명후코아셀 트리플에이스","분류식품","업체명","(주)해림후코이단","소재지","전라남도 완도군 완도읍 농공단지7길 20","1","2","3","4",NA,"후코이단","커큐민","아로니아농축액","후코산틴",NA,"미역포자엽추출액6%","","","미역포자엽추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호56","품목보고번호2006052907355","업소명(주)해림후코이단","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명후코이단 MAX","분류식품","업체명","(주)해림후코이단","소재지","전라남도 완도군 완도읍 농공단지7길 20","1","2","3","4","5","기타 수산물가공품","사과농축액","포도농축액","감귤농축액","프락토올리고당","후코이단(미역포자엽(국산)후코이단(6brix))","국산","칠레산","국산","국내산","6","7",NA,NA,NA,NA,"오렌지농축액","정제수",NA,NA,NA,NA,"브라질산","",NA,NA,NA,NA
"7","번호55","품목보고번호2013015638635","업소명엠에스글로벌바이오 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명후코이단 데이","분류식품","업체명","엠에스글로벌바이오 주식회사","소재지","부산광역시 기장군 일광읍 횡계길 7(기업설비지원동 B103호 해양생물산업육성센터)","1","2","3","4","5","기타 수산물가공품","정제수","이소말토올리고당","Red grape농축액","블루베리농축액","미역귀 (국산) 후코이단(1brix)","","","적포도농축액","","6","7","8","9","10",NA,"아로니아농축액","식품첨가물","액상차","차가버섯추출물분말","안식향산나트륨",NA,"","함수구연산","노루궁뎅이버섯즙","","",NA
"8","번호54","품목보고번호2006052907316","업소명(주)해림후코이단","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명후코이단듀오","분류식품","업체명","(주)해림후코이단","소재지","전라남도 완도군 완도읍 농공단지7길 20","1","2","3",NA,NA,"기타 수산물가공품","아로니아주스농축액","기타가공품",NA,NA,"후코이단(미역포자엽추출액,고형분6%)","아로니아주스농축액100%","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호53","품목보고번호2006052907317","업소명(주)해림후코이단","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명후코이단오리지널","분류식품","업체명","(주)해림후코이단","소재지","전라남도 완도군 완도읍 농공단지7길 20","1","2","3","4","5","기타 수산물가공품","정제수","모과농축액","이소말토올리고당","발효식초","후코이단(미역포자엽추출액,고형분6%)","","","","현미식초","6","7","8","9",NA,NA,"벌꿀","사과농축액","기타가공품","비타민 B1 혼합제제분말",NA,NA,"","","복합황금추출물","비타민B1라우릴황산염",NA,NA
"10","번호52","품목보고번호2013041505217","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한24개월","제품명후토스 조아튼튼 망고 풍미음료 (Hutos Joateunteun Mango Flavor Beverage)","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","프락토올리고당","망고농축액","망고피치향","구연산","잔탄검","","60Brix, 망고농축액","천연망고피치향 HF-307199","","","6","7","8","9",NA,NA,"심황색소","글루콘산아연","정제수","기타가공품",NA,NA,"심황색소 CL-13912","","","허브복합물E",NA,NA
