"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호5012","품목보고번호20110084489402","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명대장부 아르기닌 5000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","L-아르지닌","구연산","파인애플농축액","레몬농축액","효소처리스테비아","비타민C","타우린","아미드펙틴","합성향료","글루콘산아연","기타가공품","기타식품류","니코틴산아미드","비타민B1염산염","엽산","비타민B12","","","함수구연산","","","","","","","파인애플향","","복합황금추출물","마카추출물분말","","","",""
"2","번호5011","품목보고번호20120524080137","업소명농업회사법인유한회사 정 그린","품목유형혼합음료","유통/소비기한36개월","제품명대추 식혜","분류식품","업체명","농업회사법인유한회사 정 그린","소재지","전라남도 영암군 덕진면 예향로 1916-57","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","생강","쌀","백설탕","정제수","대추",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국산","국산","국산","","","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5010","품목보고번호19970464172192","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명대추 프라임","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"대추농축액","백설탕","효소처리스테비아","구연산","정제염","액상카라멜","대추향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5009","품목보고번호199906111934","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명대추골드","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","사과즙","대추추출액","허니향","대추향","안식향산나트륨","구연산","카라멜","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5008","품목보고번호2014060761410","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명대추골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"대추엑기스","액상과당","스테비텐","구연산","합성착향료","안식향산나트륨","소금","사카린산나트륨","구연산삼나트륨","카라멜색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5007","품목보고번호2007055507153","업소명주식회사동남메딕스","품목유형혼합음료","유통/소비기한2년","제품명대추골드 (수출용)","분류식품","업체명","주식회사동남메딕스","소재지","경상북도 영천시 유봉길 20(오수동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"대추농축액","사과농축액","액상과당","구연산","구연산삼나트륨","스테올배당체","카라멜색소","안식향산나트륨","비타민-B2","대추향","정제수","백설탕","삭카린나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5006","품목보고번호19970570162370","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명대학촌 파워비타","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"기타과당","구연산","효소처리스테비아","펙틴","타우린","비타민C","비타민B2","구연산삼나트륨","합성향료","재제소금(재제조소금)","정제수",NA,NA,NA,NA,NA,NA,"","","","","","","","","드링크후레바","","",NA,NA,NA,NA,NA,NA
"8","번호5005","품목보고번호19950611073142","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한1년(12개월)","제품명대학촌전통참식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"멥쌀","엿기름","백설탕","DL-사과산","안식향산나트륨","α-아밀라아제","셀룰라아제","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","겉보리엿기름","","","","","","가드엠53-신","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5004","품목보고번호202001761479","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명대한민국식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","찹쌀","엿기름","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5003","품목보고번호2020017614710","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명대한보이식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","찹쌀","엿기름","설탕","차나무잎",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","보이차잎",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
