"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고12","비고13","비고14","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17"
"1","번호3170","품목보고번호20110084489232","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명숙취클렌즈","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","정제수","가당딸기퓌레","양배추추출액","바나나농축액","블루베리농축액","식물혼합추출물","아로니아주스농축액","적양배추농축액","사양벌꿀","밀크씨슬추출물분말","헛개나무추출물분말","","가당딸기퓨레","","","","곰취아로니아추출복합물","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3169","품목보고번호2019056448048","업소명농업회사법인(주)프레쉬벨","품목유형혼합음료","유통/소비기한1년 6개월","제품명숙희해수 ABC","분류식품","업체명","농업회사법인(주)프레쉬벨","소재지","경상북도 경산시 진량읍 대구대로 201(경북테크노파크 대구대특화센터 1111호)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","프락토올리고당","산겨릅나무추출액","사과농축액","당근농축액","에리스리톨","사과향","레드비트농축액","식물혼합발효액","레몬농축액","","","","(벌나무, 고형분 0.18%)","(국산, 65Brix)","","","합성향료","","새싹보리유산발효물","","12","13","14","15","구연산","타우린","헛개나무농축액","효소처리스테비아","","","(국산, 55Brix)","",NA,NA,NA,NA,NA,NA
"3","번호3168","품목보고번호1999036432011","업소명정남영농조합법인(제1공장)","품목유형혼합음료","유통/소비기한6개월","제품명순더함 옛날 식혜","분류식품","업체명","정남영농조합법인(제1공장)","소재지","경기도 화성시 정남면 신새말길 25","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"엿기름","쌀","설탕","사탕수수가루","정제수",NA,NA,NA,NA,NA,NA,"","","","원당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3167","품목보고번호201502941104","업소명나노텍","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명순수(SOONSOO)","분류식품","업체명","나노텍","소재지","경기도 부천시 송내대로 388(약대동, 202동 906호일부)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3166","품목보고번호2011061812120","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명순수100 야채한가득 아기주스","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","블루베리농축액","세븐베리농축액","사과농축액","난소화성말토덱스트린(고시형)","비타민 혼합제제분말","이소말토올리고당","프락토올리고당","구연산","DL-사과산","젖산칼슘","대두레시틴","블루베리농축액(제조사 : 내추럴퓨어)","세븐베리농축액(제조사 : 내추럴퓨어)","사과농축액(제조사 : 내추럴퓨어)","","비타민9종믹스(제조사 : (주)빅솔)","이소말토올리고당(제조사 : 삼양사)","프락토올리고당(제조사 : 삼양사)","","사과산","","","12","13","14",NA,"정제어유","정제수","아미노산혼합제제",NA,"DHA7%","","필수아미노산8종 혼합제제(제조사 : (주)빅솔)",NA,NA,NA,NA,NA,NA,NA
"6","번호3165","품목보고번호202005191521","업소명주식회사 순수스마트워터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명순수스마트워터","분류식품","업체명","주식회사 순수스마트워터","소재지","전라남도 담양군 담양읍 에코산단3로 1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","염화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3164","품목보고번호2017055535221","업소명농업회사법인(주)동의보굼","품목유형혼합음료","유통/소비기한제조일로보터 24개월","제품명순수식품 과일야채","분류식품","업체명","농업회사법인(주)동의보굼","소재지","경상북도 영천시 금호읍 남성길 27-16","1","2","3","4","5","6","7","8","9","10","11","정제수","난소화성말토덱스트린(고시형)","이소말토올리고당","사과농축액","프락토올리고당","세븐베리농축액","블루베리농축액","블랙엘더베리농축액","레드비트농축액","건조효모","젖산칼슘","","수용성 식이섬유","","","","","","엘더베리농축액","","","","12","13","14","15","구연산","DL-사과산","비타민혼합제제","아미노산혼합제제","","","","","16","17","대두레시틴(고시형)","정제어유","",""
"8","번호3163","품목보고번호20160611089102","업소명햇빛식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명순수식품 야채즙","분류식품","업체명","햇빛식품","소재지","경상남도 밀양시 산내면 인곡안길 11-18","1","2","3","4","5","6","7","8","9",NA,NA,"블루베리혼합액","식이섬유(고시형)","젖산칼슘","비타민혼합제제","비타민혼합제제","정제어유","아미노산혼합제제","대두레시틴(고시형)","정제수",NA,NA,"블루베리농축액13%(10Brix, 미국산), 세븐베리농축액, 사과농축액, 이소말토올리고당, 구연산, 사과산","화이바졸-2L","","비타민 9종 믹스(비타민B1 염산염, 비타미B2, 판토텐산칼슘, 비타민B6 염산염, 비타민12 혼합제제, 니코틴산아미드, 엽산, 비타민C,","비타민E혼합제제)20mg","정제어유추출분말(DHA7%)3mg","필수아미노산8종혼합제제(트레오닌,발린,라이신,이소로이신,로이신,페닐알라닌,히스티딘,메티오닌)20mg","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3162","품목보고번호201600844321","업소명(주)죠이라이프","품목유형혼합음료","유통/소비기한제조일로부터 36개월가지","제품명순수아로니아","분류식품","업체명","(주)죠이라이프","소재지","서울특별시 금천구 벚꽃로 232(3층 가산동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"아로니아농축액","벌꿀","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3161","품목보고번호200905241044","업소명삼성식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명순수양파즙골드","분류식품","업체명","삼성식품(주)","소재지","전라남도 영암군 삼호읍 용앙로 160","1","2","3","4","5","6",NA,NA,NA,NA,NA,"양파","소나무잎","감초","대추","참당귀","계피",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
