"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32"
"1","번호1343","품목보고번호19970464172478","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명주정","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","헛개나무열매농축액","쌀배아대두발효혼합분말","베타인","타우린","엽산","비타민 C(고시형)","비타민 B12(고시형)","비타민 B1염산염(고시형)","니코틴산아미드","염화칼륨","황산마그네슘","사양벌꿀","구연산","헛개나무열매추출분말","구기자농축액","비타민B6염산염","아사이베리혼합분말","수크랄로스","효모추출분말","젖산칼슘","칡꽃봉오리농축액","효소처리스테비아","밀크씨슬추출물","L-아스파트산","마카추출분말","보검선인장농축","과라나추출물분말","배농축액","L-아르지닌","기타과당","청포도향","정제수","","미배아복합발효추출액","","","","","","","","","","","","","","","아사이베리추출분말","","","","갈화농축액","","수용성밀크씨슬","","마카분말","백년초농축액","","","","","",""
"2","번호1342","품목보고번호19970464172216","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명주청수골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"헛개나무열매농축액","칡농축액","대추농축액","감초농축액","L-아스파라긴","타우린","구연산","구연산삼나트륨","비타민B1염산염","비타민B2","니코틴산아미드","카라멜색소","울금추출분말","액상과당","l-멘톨","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","울금추출물분말","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1341","품목보고번호2019026365043","업소명주식회사 메가바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명주통령","분류식품","업체명","주식회사 메가바이오","소재지","세종특별자치시 연동면 노송강당길 24-1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","사탕수수가루","대나무농축액","대추농축액","비트루트농축액","사과농축액","배농축액","헛개나무열매추출액","매실추출액","타우린","곤약분말","밀크씨슬","구연산","체리추출물","홍삼농축액","자몽종자추출물","효소처리스테비아","이산화규소","흰목이버섯분말","한천","잔탄검","체리향","체리향분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","대나무잎농축액","","비트농축액","","","","","","","","","타트체리","","","","거품제거제","","한천분말","","체리향맛분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1340","품목보고번호2019026365036","업소명주식회사 메가바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명주통령라이트","분류식품","업체명","주식회사 메가바이오","소재지","세종특별자치시 연동면 노송강당길 24-1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25",NA,NA,NA,NA,NA,NA,NA,"정제수","다라수열매","사탕수수가루","비트루트농축액","사과농축액","배농축액","대나무농축액","헛개나무열매추출액","매실추출액","타우린","밀크씨슬","나이아신(고시형)","판토텐산(고시형)","비타민C","체리추출물","이산화규소","홍삼농축액","자몽종자추출물","효소처리스테비아","아연(고시형)","비타민 B1(고시형)","비타민B2","비타민 B6(고시형)","비오틴","엽산",NA,NA,NA,NA,NA,NA,NA,"","재거리(비정제갈색설탕)","","","","","대나무잎","","","","","","","","타트체리추출물","거품제거제","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA
"5","번호1339","품목보고번호200202751429","업소명주식회사올맘","품목유형혼합음료","유통/소비기한제조일부터  1년일(-18℃이하 냉동보관)","제품명죽마을 우리식혜","분류식품","업체명","주식회사올맘","소재지","경기도 용인시 처인구 모현읍 동산로 24-11(1층 일부호)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1338","품목보고번호200202751421","업소명주식회사올맘","품목유형혼합음료","유통/소비기한제조일로부터 3일 (0~10℃ 냉장보관)","제품명죽마을 전통식혜","분류식품","업체명","주식회사올맘","소재지","경기도 용인시 처인구 모현읍 동산로 24-11(1층 일부호)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"멥쌀","엿기름","백설탕","황백당","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1337","품목보고번호20190473161202","업소명(주)휴온스푸디언스금산3공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명줄리아 포뮬러 원 (Julia Formula One)","분류식품","업체명","(주)휴온스푸디언스금산3공장","소재지","충청남도 금산군 금산읍 인삼광장로 19(금산인삼농협국제유통센타 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","과.채가공품","트레할로스","과.채가공품","과.채가공품","천연향료","DL-사과산","과.채가공품","L-카르니틴","타우린","알로에베라겔동결건조분말","효소처리스테비아","비타민C","젖산칼슘","잔탄검","비타민 A 혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","적포도주스농축액, 고형분 60%","","블루베리농축액, 고형분 60%","유기농 당근 농축과즙, 고형분 42%","천연블루베리향3, 품목보고번호:200004450076316","","빌베리추출물분말","","","알로에베라겔동결건조분말 200:1","","","","","분말비타민A아세테이트 325 혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1336","품목보고번호20190473161203","업소명(주)휴온스푸디언스금산3공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명줄리아 포뮬러 투 (Julia Formula Two)","분류식품","업체명","(주)휴온스푸디언스금산3공장","소재지","충청남도 금산군 금산읍 인삼광장로 19(금산인삼농협국제유통센타 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","과.채가공품","트레할로스","과.채가공품","천연향료","DL-사과산","과.채가공품","L-카르니틴","타우린","알로에베라겔동결건조분말","비타민C","효소처리스테비아","젖산칼슘","잔탄검","비타민 A 혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","유기농 당근 농축과즙, 고형분 42%","","백포도농축액, 고형분 60%","천연청포도향6","","빌베리추출물분말","","","알로에베라겔동결건조분말 200:1","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1335","품목보고번호2017055519566","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쥬시후레쉬 에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","오렌지농축액","백포도농축액","파인애플농축액","혼합제제","구연산","프로필렌글리콜","구연산삼나트륨","잔탄검","시트러스향","수크랄로스","메타인산나트륨","식용색소황색제4호","식용색소황색제5호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","혼합제제A(쥬시향)","함수구연산","","","","혼합제제B","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1334","품목보고번호20110149027265","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명쥬씨헬씨 엘라스틴 석류콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","엘라스틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 brix, 스페인산","베트남산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
