"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고17","비고18","비고19","비고20","비고21"
"1","번호927","품목보고번호20040275056502","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명키토바이탈골드","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","식물혼합농축액","혼합제제","혼합제제","타우린","구연산","혼합제제","L-아르지닌","키토올리고당분말(고시형)","자몽종자추출물","식물발효원액","말티톨혼합제제","키토산용액","","무수구연산","비타민복합분말-MB","","키토올리고당파코스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호926","품목보고번호200500771315","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한24개월","제품명키토원","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4",NA,NA,NA,NA,NA,"원기원액","사과식초","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호925","품목보고번호2005007713133","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로 부터2년","제품명키토원액","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6",NA,NA,NA,"글루코사민","키토산","키토오리당","사과식초","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호924","품목보고번호2005007713146","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명키토원액골드","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3",NA,NA,NA,NA,NA,NA,"원기원플러스","정제수","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호923","품목보고번호20070443110461","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명키토제니 드림너츠","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","마카다미아페이스트","아몬드페이스트","가공유지","식품첨가물","두류가공품","두류가공품","땅콩 또는 견과류가공품","두류가공품","젤란검","","","MCT오일(코코넛오일)","해바라기레시틴","완두단백 -86","완두단백 -HV","아몬드페이스트","-85F","-B","10","11","12","13","14","15","16","당류가공품","난소화성말토덱스트린(고시형)","스테비올배당체","기타소금","천연바닐라향","합성향료","정제수","액상알룰로스","","Op-","히말라야핑크소금","BJ-","너츠향 A-","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호922","품목보고번호20040358017149","업소명(주)윈투바이오","품목유형혼합음료","유통/소비기한24개월","제품명키토파워 플러스","분류식품","업체명","(주)윈투바이오","소재지","경기도 이천시 모가면 공원로320번길 1(1동)","1","2","3",NA,NA,NA,NA,NA,NA,"키토복합혼합물","비타민C","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호921","품목보고번호19860443015355","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명키튼시럽","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","정제수","올리고당","콜라겐","자일리톨","망고농축액","열대과일혼합농축액","합성향료","구연산","안식향산나트륨","","프락토올리고당","생선콜라겐, 피쉬콜라겐","","","","애플망고향","무수구연산","","10","11","12","13","14","15","16","효소처리스테비아","니코틴산","비타민B1염산염","L-아르지닌","젖산칼슘","L-라이신","비타민B2","","나이아신","","아르지닌, L-아르기닌, 아르기닌","","라이신","","17","18","19","20","21","글루콘산아연","글루콘산마그네슘","비타민B6염산염","아셀렌산나트륨","혼합제제","","","","","비타민B12혼합분말"
"8","번호920","품목보고번호20070464034224","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명킹스베리 엔:오","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3",NA,NA,NA,NA,NA,NA,"과.채가공품","아로니아농축액","건조효모(비활성)",NA,NA,NA,NA,NA,NA,"채소추출물혼합액01호(양배추발효추출액 97.5%(정제수 84.9%, 양배추15%,고초균0.1%), 두류발효추출물분말 2.5%(정제수, 대두, 고","아로니아주스농축액 100%","글루타치온50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호919","품목보고번호1987055800372","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명타로밀크티","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","우유","백설탕","곡류가공품","서류가공품","타로향","당류가공품","밀크향","혼합제제","식염","","","곡물믹스분말","타로분말(토란분말100%)","","밀크프리","","바이오렛칼라-지","","10","11","12",NA,NA,NA,NA,"젤란검","탄산수소나트륨","정제수",NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호918","품목보고번호20090624059459","업소명농업회사법인(주)힐링팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명7타민","분류식품","업체명","농업회사법인(주)힐링팜","소재지","경상남도 거창군 남상면 밤티재로 1007(창고 : 남상면 수남로 1861-54)","1","2","3","4","5","6","7","8","9","정제수","망고농축액","프락토올리고당","오렌지농축액","덱스트린","비타민C","비타민E","천연망고향","황금혼합추출물","","이스라엘산","","스페인산","말토덱스트린","","","","복합황금추출물","10","11","12","13","14","15","16","구연산","나이아신(고시형)","비타민D3","구연산삼나트륨","산화마그네슘","비타민B6염산염","비타민B1질산염","","","","","","","","17","18",NA,NA,NA,"비타민B2","유산균혼합분말",NA,NA,NA,"","혼합유산균21종",NA,NA,NA
