"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호3827","품목보고번호20100528066137","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명북촌커큐민식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","6","강황추출액","쌀","엿기름당화액","정제수","생강","설탕","","유기농","유기농","","유기농","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3826","품목보고번호20100528066138","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명북촌커큐민식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","6","강황추출액","쌀","엿기름당화액","정제수","생강","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3825","품목보고번호20100528066139","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명북촌호박식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,"서양호박","엿기름당화액","정제수","설탕","쌀",NA,"자숙단호박","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3824","품목보고번호2013062801935","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명불가리스 유산균 Water","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","3","4","5","6","정제수","백설탕","액상과당","정제소금","구연산","구연산삼나트륨","","","","","함수구연산","","7","8","9","10","비타민C혼합제제","Lactobacillus plantarum분말","요구르트향혼합제제","오렌지향혼합제제","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3823","품목보고번호20040275056501","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명불꽃언니리턴즈 불꽃 데일리 부스터 [L아르지닌]","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","정제수","L-아르지닌","프락토올리고당","청포도농축액","구연산(무수)","타우린","","","","","","","7","8","9","10","펙틴","마카추출분말","청포도향","효소처리스테비아","펙틴jmj","","","스테비텐후레쉬","11","12","13","14","15","16","17","비타민혼합제제","수박추출물","서양호박농축분말","옥수수수염추출분말","흰강낭콩추출물","글루콘산아연","엽산","비타민믹스-솔루션-1","수박과피추출물분말","단호박농축분말","","흰강낭콩추출물분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3822","품목보고번호2008033218015","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명불란서 식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,"엿기름","설탕","쌀",NA,NA,NA,"엿기름농축액(대맥70%국내산 / 소맥30 미국산)88.4%(고형분5%,정제수95%)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3821","품목보고번호20020623009545","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한18개월","제품명붉은 기력 복분자","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","복분자농축액","아세로라농축분말","사양벌꿀","백설탕","구연산","덱스트린","70brix","","","","신도조절제","","7","8","9","10","구연산삼나트륨","잔탄검","수크랄로스","레드색소","산도조절제","","합성감미료","","11","12","13","14","15",NA,NA,"카라멜색소","시트러스향","복분자향","윰베리향","정제수",NA,NA,"","합성착향료","합성착향료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3820","품목보고번호20190391582198","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뷰빗 콜라겐 빌더","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","기타가공품","기타가공품","레드자몽농축액","올리고당","에리스리톨","사과농축액","무궁화추출액","무궁화추출물GPH","","","","풋/청사과 농축액","7","8","9","10","향료","구연산(무수)","기타가공품","히비스커스농축액","자몽향","","복합황금추출물","","11","12","13","14","15","16","17","녹차추출물","호박농축액","레몬농축액","노니농축액","고형차","비타민C","글리신","","","","","보이차추출분말","","","18","19","20","21","22","23","24","25","L-글루타민","잔탄검","효소처리스테비아","기타가공품","효모식품","기타가공품","L-시스테인염산염","비오틴","","","","복합허브추출물C","효모 추출물 혼합분말","식물성콜라겐펩타이드","",""
"9","번호3819","품목보고번호19860443015265","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월","제품명뷰셀리온 콜라겐 드링크 5000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","정제수","생선콜라겐","자일리톨","대추야자농축액","구연산","블루베리향",NA,NA,NA,NA,NA,NA,"7","8","9","10","황금혼합추출물","효소처리스테비아","녹차추출물분말가루","히알루론산",NA,NA,NA,NA,"11","12","13",NA,NA,NA,NA,"비타민C","엘라스틴가수분해물","테아닌",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3818","품목보고번호19860443015459","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뷰셀리온 콜라겐 드링크 6000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","정제수","생선콜라겐","자일리톨","대추야자농축액","구연산","블루베리향","","","","","","","7","8","9","10","황금혼합추출물","효소처리스테비아","녹차추출물분말가루","히알루론산","복합황금추출물","","","","11","12","13",NA,NA,NA,NA,"비타민C","엘라스틴가수분해물","테아닌",NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
