"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","성분 및 원료18","성분 및 원료19","비고18","비고19"
"1","번호5322","품목보고번호201502941101","업소명나노텍","품목유형혼합음료","유통/소비기한12 개월","제품명나노에이치 (NANO H)","분류식품","업체명","나노텍","소재지","경기도 부천시 송내대로 388(약대동, 202동 906호일부)","1","2","정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5321","품목보고번호19930571069573","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명나노칼슘 레몬","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","칼슘(고시형)","기타가공품","8030칼슘분말(나노칼슘)","에이펙초미립스테비아(나노스테비아)","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","포도당","구연산","정제소금","구연산삼나트륨","염화칼륨","글루콘산아연","젖산칼슘","니코틴산아미드","염화마그네슘","비타민D3","스테비아잎농축액","시트러스향","생강향","레몬향","정제수","","함수","제재소금","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"3","번호5320","품목보고번호19930571069572","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명나노칼슘 피치","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","칼슘(고시형)","기타가공품","8030칼슘분말(나노칼슘)","에이펙셀초미립스테비아분말 (나노스테비아)","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"포도당","구연산","정제소금","구연산삼나트륨","염화칼륨","글루콘산아연","젖산칼슘","니코틴산아미드","염화마그네슘","스테비아잎농축액","비타민D3","망고향","복숭아향","정제수",NA,"","함수","제재소금","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA
"4","번호5319","품목보고번호20060445110775","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명나노콜라겐 플러스 5500","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","정제수","생선콜라겐","","저분자생선콜라겐(1000Da)","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","이소말토올리고당","시클로덱스트린시럽","구연산","석류향","석류농축액","눈꽃동충하초추출분말","효소처리스테비아","맥아추출액","건조효모(셀렌함유)","수크랄로스","병풀추출","효모추출분말","홍삼농축액","비타민C","비타민E혼합제제분말","","","","","","동충하초추출분말","","맥아추출물","(셀렌)","","병풀추출분말(잎)","L-글루타치온효모추출분말","","","","18","19","엘라스틴가수분해물","농축유단백","엘라스틴가수분해분말",""
"5","번호5318","품목보고번호19860443015562","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명나노큐민 알파","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","정제수","기타가공품","","하이드로커큐민HC50N)","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"황금혼합추출물","글루콘산아연","사양벌꿀","홍삼농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5317","품목보고번호201104920403","업소명드림인영농조합법인","품목유형혼합음료","유통/소비기한12개월","제품명나는 너의 달콤나무","분류식품","업체명","드림인영농조합법인","소재지","전라북도 남원시 인월면 천왕봉로 54","1","2","정제수","고로쇠농축액",NA,NA,"3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"자일리톨","구연산","구연산삼나트륨","안식향산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5316","품목보고번호20170614111305","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명나는 미인 스킨아트 석류콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","석류농축액","생선콜라겐분말","65brix(고형분40%)","","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"로커스트콩검","카라기난","잔탄검","히알루론산","젖산칼슘","분말한천(고시형)","타마린드검",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5315","품목보고번호198904450141026","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명나는 아이스티복숭아제로","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","복숭아농축액","홍차추출분말",NA,NA,"3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"에리스리톨","수크랄로스","효소처리스테비아","구연산","구연산삼나트륨","혼합제제","비타민C","복숭아향","홍차향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5314","품목보고번호198904450141027","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명나는 청포도에이드 제로","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","백포도농축액","에리스리톨",NA,NA,"3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"수크랄로스","효소처리스테비아","구연산","구연산삼나트륨","식용색소황색제4호","식용색소청색제1호","시트러스향 분말","청포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5313","품목보고번호2003025701133","업소명(주)아너텍","품목유형혼합음료","유통/소비기한1년","제품명나니워터","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2","정제수","타우린","음용수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
