"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","번호21","성분 및 원료20","성분 및 원료21","비고20","비고21"
"1","번호1393","품목보고번호19930571069489","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주한라봉에이드","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","설탕","한라봉농축액","구연산","구연산삼나트륨","비타민C","천연카로틴","수크랄로스","한라봉향","정제수","","","함수","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1392","품목보고번호2013062801961","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명제주허브워터","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,"정제수","혼합허브추출물",NA,NA,NA,NA,NA,NA,NA,"","로즈마리, 레몬그라스, 스위트베이(80:10:10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1391","품목보고번호19950611073123","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한1년","제품명제주황울금식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","7","8","9","멥쌀","엿기름","백설탕","물엿","DL-사과산","안식향산나트륨","α-아밀라아제","셀룰라아제","혼합제제","국내산","겉보리엿기름","","맥아물엿","","","","","가드엠53-신","10","11","강황가루","정제수","울금","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1390","품목보고번호2013062801976","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일보부터 12개월","제품명제주황칠워터","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","3","4","5",NA,NA,NA,NA,"정제수","황칠나무추출물","보리향","누룽지향","비타민C",NA,NA,NA,NA,"","고형분 함량 15% 이상","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1389","품목보고번호1993044304627","업소명동서식품(주)","품목유형혼합음료","유통/소비기한12개월","제품명제티 쵸코렛맛 드링크","분류식품","업체명","동서식품(주)","소재지","충청북도 진천군 광혜원면 광혜원산단2길 78-11","1","2","3","4","5","6","7","8","9","정제수","설탕","혼합분유","유크림","코코아분말","유화제","혼합제제","잔탄검","정제소금",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","바닐린","탄산수소나트륨",NA,NA,"12","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1388","품목보고번호20020623009317","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명젠파워","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","과라나추출물분말","녹차추출물카테킨","복분자농축액","벌꿀","액상과당","구연산","구연산삼나트륨","타우린0","판토텐산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","글리신","비타민B1염산염",NA,NA,"12","비타민B2",NA,"13","14","15","16","17","18","19","염산염","비타민B6염산염","효소처리스테비아","황금복합추출물","l-멘톨","파인애플향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1387","품목보고번호19890445014777","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월","제품명젤리 몬스터 깔라만시","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","칼라만시주스","식용색소황색제4호","수크랄로스","잔탄검","탄산수소나트륨","기타과당","설탕","구연산","구연산삼나트륨","베트남산, 칼라만시 100%(배합함량)","착색료","감미료","","산도조절제","","","","","10","11","카라기난","로커스트빈검","","","12","칼라만시향","합성향료","13","14",NA,NA,NA,NA,NA,"식용색소청색제1호","정제수",NA,NA,NA,NA,NA,"착색료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1386","품목보고번호19890445014778","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월","제품명젤리 몬스터 트로피칼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","열대과일농축액","기타과당","설탕","수크랄로스","구연산","구연산삼나트륨","카라기난","로커스트빈검","잔탄검","[이스라엘산,배합함량 100%]","","","[감미료]","","","","","","10","11","탄산수소나트륨","식용색소황색제4호","[산도조절제]","[착색료]","12","식용색소적색제40호","[착색료]","13","14","15",NA,NA,NA,NA,"트로피칼향혼합제제","트로피칼향혼합제제","정제수",NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1385","품목보고번호2009044006888","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월(730일)","제품명젤리씽1","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","정제수","사과농축액","포도농축액","복숭아농축액","딸기농축액","기타과당","설탕","포도당","사과향","","","","","","","","","","10","11","포도향","복숭아향","","","12","딸기향","","13","14","15","16","17","18","19","DL-사과산","구연산","안식향산나트륨","효소처리스테비아","식용색소혼합녹색","식용색소적색제40호","식용색소황색5호","","","","","","","","20","21","카라기난혼합제제","식용색소청색1호","카라겐w",""
"10","번호1384","품목보고번호19970617062202","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명조아맨파워","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","오렌지농축과즙","정제수","화분추출물분말","벌꿀","녹용추출액","밀배아유","동결건조로얄젤리","글루콘산마그네슘","비타민E혼합제제분말","","","","","녹용추출물","","동결건조로열젤리","","","10",NA,"기타가공품",NA,"복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
