"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고18","비고19","비고20","비고21","비고22"
"1","번호681","품목보고번호201005430661076","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명팜스요거트 딸기","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","기타과당","설탕","프락토올리고당","샤베트믹스","혼합분유","합성향료","구연산","두류가공품","포도당","구연산삼나트륨","메타인산나트륨","유화제","식용색소황색제4호","천연향료","기타가공품","식용색소황색제5호","","","","","유산균베이스(국산)","혼합탈지분유(네덜란드산)","딸기향","","대두다당류","","","","","착색료","딸기향","열처리혼합유산균3종","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호680","품목보고번호201005430661075","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명팜스요거트 복숭아","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","기타과당","설탕","프락토올리고당","샤베트믹스","혼합분유","구연산","합성향료","두류가공품","포도당","구연산삼나트륨","메타인산나트륨","유화제","식용색소황색제4호","천연향료","기타가공품","식용색소황색제5호","","","","","유산균베이스(국산)","혼합탈지분유(네덜란드산)","","복숭아향","대두다당류","","","","","착색료","복숭아향","열처리혼합유산균3종","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호679","품목보고번호201005430661106","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명팜스요거트 블루베리","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","기타과당","설탕","프락토올리고당","샤베트믹스","혼합분유","합성향료","구연산","두류가공품","포도당","구연산삼나트륨","메타인산나트륨","유화제","식용색소황색제4호","천연향료","기타가공품","식용색소황색제5호","","","","","유산균베이스(국산)","혼합탈지분유(네덜란드산)","블루베리향","","대두다당류","","","","","착색료","블루베리향","열처리혼합유산균3종","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호678","품목보고번호201005430661061","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명팜스요거트 오리지날","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","기타과당","설탕","프락토올리고당","샤베트믹스","혼합분유","구연산","합성향료","두류가공품","포도당","구연산삼나트륨","메타인산나트륨","유화제","식용색소황색제4호","천연향료","기타가공품","식용색소황색제5호","","","","","유산균베이스(국산)","혼합탈지분유(네덜란드산)","","요구르트향","대두다당류","","","","","착색료","요구르트향","열처리혼합유산균3종","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호677","품목보고번호201005430661104","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명팜스요거트 파인애플","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","기타과당","설탕","프락토올리고당","샤베트믹스","혼합분유","구연산","합성향료","두류가공품","포도당","구연산삼나트륨","메타인산나트륨","유화제","식용색소황색제4호","천연향료","기타가공품","식용색소황색제5호","","","","","유산균베이스(국산)","혼합탈지분유(네덜란드산)","","파인애플향","대두다당류","","","","","착색료","파인애플향","열처리혼합유산균3종","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호676","품목보고번호201005430661105","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명팜스요거트 포도","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","기타과당","설탕","프락토올리고당","샤베트믹스","혼합분유","합성향료","구연산","두류가공품","포도당","구연산삼나트륨","메타인산나트륨","유화제","식용색소황색제4호","천연향료","기타가공품","식용색소황색제5호","","","","","유산균베이스(국산)","혼합탈지분유(네덜란드산)","포도향","","대두다당류","","","","","착색료","포도향","열처리혼합유산균3종","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호675","품목보고번호20110084489342","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명팜엔탑 리얼 엘 아르기닌 5000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","L-아르지닌","구연산","Red grape주스","레몬농축액","효소처리스테비아","비타민C","세븐베리농축액","아미드펙틴","레몬향","글루콘산아연","블루베리향","기타가공품","니코틴산아미드","건조효모","비타민B1염산염","프로테아제(식물성)","","","함수구연산","적포도주스농축액","","","","","","천연레몬향(천연향료)","","혼합제제","복합황금추출물","","효모식품/랄민에스1000","","브로멜라인 비알1200","18","19","20","21","22","병풀잎추출물분말","호박농축분말","팥농축분말","혼합제제","엽산","병풀추출분말","","","비타민B12혼합제제",""
"8","번호674","품목보고번호20040275056698","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명팜엔탑 리얼아르기닌5000","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","L-아르지닌","구연산","포도농축액","레몬농축액","효소처리스테비아","비타민C","세븐베리농축액","펙틴","레몬향","글루콘산아연","블루베리향","황금혼합추출물","니코틴산아미드","건조효모","비타민 B12 혼합제제분말","비타민B1염산염","","","함수구연산","적포도농축액","","스테비텐후레쉬","","","펙틴jmj","레몬향#6(혼합제제)","","혼합제제","복합황금추출물","","SE1000","비타민B12혼합제제0.1WS","","18","19","20","21","22","프로테아제","병풀추출","서양호박농축분말","두류가공품","엽산","브로멜라인BR1200프로테아제","병풀추출분말","단호박농축분말","팥농축분말",""
"9","번호673","품목보고번호20000614238216","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월(실온)","제품명팝버블복숭아","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"당류가공품","복숭아농축액","복숭아홍차분말","백설탕","구연산","비타민C","복숭아향","정제수","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,"팝핑보바리치향(대만산)","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호672","품목보고번호201005740069","업소명(주)큐비엠","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명패밀리미네랄1500","분류식품","업체명","(주)큐비엠","소재지","경상북도 울릉군 북면 울릉순환로 2614","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"해양심층수미네랄탈염수","염화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","울릉해양심층수염화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
