"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","성분 및 원료10","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고18","비고19","비고20","비고21","번호22","번호23","번호24","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고22","비고23","비고24"
"1","번호651","품목보고번호2018049100820","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명포도 곤약젤리","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8","9","구연산","에리스리톨","수크랄로스","청포도향","당근추출액","구연산삼나트륨","식품첨가물혼합제제","펙틴","정제수","","","","","","","제이단 ES-1902","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호650","품목보고번호20100543066605","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명포도드링크","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","당시럽","포도과즙 혼합농축액","DL-사과산","구연산","합성향료","비타민C","구연산삼나트륨","아세설팜칼륨","","","포도과즙농축액, 미국산, 배합함량: 포도 100%, 포도과즙으로 환원기준 5%","","","포도향","","","감미료","10","수크랄로스","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호649","품목보고번호19970570162128","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 24월","제품명포도발효초버몬트","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","포도식초","액상과당","폴리덱스트로스","농축포도즙","벌꿀","포도향","구연산","구연산삼나트륨","포도과피색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","젖산칼슘",NA,"11","12","13","14","15","16","17","비타민C","스테비텐-후레쉬","니코틴산아미드","레드칼라색소","l-멘톨","정제수","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호648","품목보고번호20110445292614","업소명(주)흥국에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 28일까지","제품명포레스트워터 프레시리프","분류식품","업체명","(주)흥국에프엔비","소재지","충청북도 음성군 삼성면 하이텍산단로 116-23","1","2","3","4","5","6","7","8",NA,"고로쇠나무수액","알룰로오스","에리스리톨","마테추출물","합성향료","구연산삼나트륨","아세설팜칼륨","정제수",NA,"고로쇠수액","액상알룰로오스","","그린마테추출액(고형분함량 2.8%)","로즈마리향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호647","품목보고번호19970464172468","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명포몬드액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","정제수","분말결정포도당","아미노산혼합제제","구연산","청포도향","비타민C","타우린","정제소금","구연산삼나트륨","","함수결정포도당","아미노믹스","","1410458","","","","","10","수크랄로스","","11","12","13",NA,NA,NA,NA,"비타민B1염산염","니코틴산아미드","비타민B6염산염",NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호646","품목보고번호19980308080356","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명포스트바이오틱스 케어미 점프키","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","분리대두단백","기타가공품","카제인나트륨","과.채가공품","가공유지","콩기름(대두유)","소르비탄지방산에스테르","치커리식이섬유","난소화성말토덱스트린(고시형)","SUPRO 670","탈지유단백(MPC85)","EM7","코코넛 크림 파우더","쎄폴피(MCT oil)","","","","","10","기타가공품","유산균배양분말","11","12","13","14","15","16","17","탄산칼슘","구연산삼나트륨","제삼인산마그네슘","비타민미네랄혼합제제","바나나농축액","프락토올리고당","정제소금","","","","비타민미네랄믹스","","","","18","19","20","21","혼합제제","혼합제제","혼합제제","정제수","바닐라향","밀크향","바나나향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호645","품목보고번호20040275056711","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명포유랩 트리플에스 SSS 프로에너징","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","정제수","프락토올리고당","L-아르지닌","구연산","망고농축퓌레","타우린","레몬농축액","블루베리농축액","세븐베리농축액","","","아르기닌","함수구연산","망고농축퓨레","","","","","10","레몬향","혼합제제","11","12","13","14","15","16","17","효소처리스테비아","펙틴","망고향","γ-시클로덱스트린","기타가공품","유산균혼합분말","분리대두단백","","","혼합제제","감마시클로덱스트린","복합황금추출물","17종혼합유산균알파-1000","","18","19","20","21","산화아연","기타가공품","비피더스균","비타민C","","식물성유산균사균체","비피더스균비피덤비지엔4","","22","23","24","니코틴산아미드","엽산","비타민B6염산염","","",""
"8","번호644","품목보고번호2004037235659","업소명포천식품","품목유형혼합음료","유통/소비기한1년","제품명포천전통식혜","분류식품","업체명","포천식품","소재지","경기도 포천시 소흘읍 죽엽산로 684(외2필지)","1","2","3","4",NA,NA,NA,NA,NA,"정제수","설탕","엿기름","쌀",NA,NA,NA,NA,NA,"","정백당","대맥100%","백미",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호643","품목보고번호2004037235660","업소명포천식품","품목유형혼합음료","유통/소비기한1년","제품명포천전통식혜1","분류식품","업체명","포천식품","소재지","경기도 포천시 소흘읍 죽엽산로 684(외2필지)","1","2","3","4",NA,NA,NA,NA,NA,"정제수","설탕","엿기름","쌀",NA,NA,NA,NA,NA,"","정백당","대맥70%, 소맥30%","백미",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호642","품목보고번호1973028800610","업소명동아오츠카(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명포카리스웨트","분류식품","업체명","동아오츠카(주)","소재지","경기도 안양시 만안구 연현로1번길 96(석수동)","1","2","3","4","5","6","7","8","9","액상과당","백설탕","구연산","구연산삼나트륨","정제소금","염화칼륨","젖산칼슘","비타민C","염화 마그네슘","","","","","","","","","","10","그레이프후르츠 혼합액  OT-G","","11","12",NA,NA,NA,NA,NA,"그레이프후르츠 향료","정제수",NA,NA,NA,NA,NA,"그레이프후르츠향료(DAO CAN) LS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
