"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호4662","품목보고번호198604350131240","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명로얄발효태반앰플","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","블루베리농축액","베리혼합농축액","비타민D3혼합제제","말태반분말","도라지농축액","블루베리향","비타민C","비타민 A 혼합제제","효소처리스테비아","니코틴산아미드","비타민E혼합제제","곡류혼합효소분말","비타민B1염산염","판토텐산칼슘","비타민B6염산염","비타민B2","","(고형분 63%)","(고형분 48%)","(비타민D 0.25% 함유)","발효말태반추출분말","(고형분 60%)","(천연향료)","","(비타민A 9.8% 함유)","","","(비타민E 16.75% 함유)","","(비타민B1 78%)","(판토텐산 91%)","(비타민B6 82%)",""
"2","번호4661","품목보고번호2013041505232","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한18개월","제품명로얄프로폴리스Zn","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"벌꿀","이소말토올리고당","프로폴리스추출물(고시형)","자일리톨","파인애플향혼합제제","글루콘산아연","잔탄검","트로피칼향혼합제제","홍삼농축액(고시형)","동결건조로얄젤리분말","정제수",NA,NA,NA,NA,NA,NA,"벌꿀-1","뉴오리고","유니크수용성프로폴리스","XYLITOL CM90","파인애플향RF08-0948","","","트로피칼향#2","60Brix,홍삼농축액 8","ROYAL JELLY POWDER","",NA,NA,NA,NA,NA,NA
"3","번호4660","품목보고번호200206230091014","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명로티프렌즈 딸기맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","딸기농축과즙","기타과당","이소말토올리고당","폴리덱스트로스","탈지분유","젖산칼슘","두류가공품","구연산","구연산삼나트륨","비타민B1염산염","비타민C","비타민D3혼합제제","글루콘산아연","스테비올배당체","향료","향료","정제수","","","","","","","수용성대두다당류","","","","","","","","딸기향","밀크향",""
"4","번호4659","품목보고번호200206230091015","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명로티프렌즈 망고맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"망고농축액","기타과당","이소말토올리고당","폴리덱스트로스","탈지분유","젖산칼슘","두류가공품","구연산","구연산삼나트륨","비타민B1염산염","비타민C","비타민D3혼합제제","글루콘산아연","스테비올배당체","향료","정제수",NA,"","","","","","","수용성대두다당류","","","","","","","","","",NA
"5","번호4658","품목보고번호200206230091013","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명로티프렌즈 밀크맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"기타과당","이소말토올리고당","폴리덱스트로스","탈지분유","젖산칼슘","두류가공품","구연산","구연산삼나트륨","비타민B1염산염","비타민C","분말비타민D3혼합제제","글루콘산아연","스테비올배당체","향료","향료","정제수",NA,"","","","","","대두다당류","","","","","","","","요구르트향","밀크향","",NA
"6","번호4657","품목보고번호200206230091016","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명로티프렌즈 사과맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","사과농축액","기타과당","이소말토올리고당","폴리덱스트로스","탈지분유","젖산칼슘","두류가공품","구연산","구연산삼나트륨","비타민B1염산염","비타민C","비타민D3혼합제제","글루콘산아연","스테비올배당체","향료","향료","정제수","사과농축과즙","","","","","","수용성대두다당류","","","","","","","","사과향","밀크향",""
"7","번호4656","품목보고번호200206230091017","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명로티프렌즈 샤인머스캣맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","청포도농축액","기타과당","이소말토올리고당","폴리덱스트로스","탈지분유","젖산칼슘","두류가공품","구연산","구연산삼나트륨","비타민B1염산염","비타민C","비타민D3혼합제제","글루콘산아연","스테비올배당체","향료","천연향료","정제수","","","","","","","수용성대두다당류","","","","","","","","샤인머스캣향","천연샤인머스캣향",""
"8","번호4655","품목보고번호19970570162360","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한내수용: 제조일로부터 12개월 까지, 수출용:제조일로부터 18개월까지","제품명롯데비타파워","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,"기타과당","구연산","효소처리스테비아","수크랄로스","타우린","비타민C","비타민B2","구연산삼나트륨","합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","드링크향 LS-81011","",NA,NA,NA,NA,NA,NA,NA
"9","번호4654","품목보고번호1999041506417","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명롱라이프워트","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","허브추출물","허브꽃추출물","순이추출물","인삼추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4653","품목보고번호19890445014835","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명루비레드 석류 스위트","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류주스","액상과당","구연산","효소처리스테비아","카복시메틸셀룰로스나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"레드석류주스","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
