"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호3033","품목보고번호2016052105342","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명시크릿쥬쥬 사과","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","사과농축액","구연산(무수)","합성향료","자일리톨","젖산칼슘","비타민C","수크랄로스","홍삼농축액","비타민B6염산염","비타민B2","","","70bx","","사과향","","","","","고형분60%이상","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3032","품목보고번호198506140552943","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 15개월 까지","제품명시크릿쥬쥬 오렌지","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","오렌지농축액","홍삼농축액","백설탕","구연산","젖산칼슘","수크랄로스","비타민C","비타민B2인산에스테르나트륨","비타민B6염산염","혼합제제","혼합제제","정제수","","","","","","","","","","오렌지향 MF-030016","오렌지향 MF-120479","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3031","품목보고번호20150403012163","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명시크릿쥬쥬 오렌지","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","6","7","8","9","10","11","12","오렌지농축액","홍삼농축액","백설탕","구연산","젖산칼슘","수크랄로스","비타민C","비타민B2","비타민B6염산염","오렌지향","오렌지향","정제수","","","","","","","","","","FC-11113","오렌지2771","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3030","품목보고번호2015040301228","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명시크릿쥬쥬딸기","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","6","7","8","9","10",NA,NA,"정제수","액상과당","딸기농축액","설탕","구연산(무수)","딸기향","비타민C","수크랄로스","베타카로틴(고시형)","코치닐추출색소",NA,NA,"","","","","","","","","액상제제","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3029","품목보고번호20110214381476","업소명달심F&B","품목유형혼합음료","유통/소비기한제조일로부터 1년 이내","제품명시크혜 단호박","분류식품","업체명","달심F&B","소재지","광주광역시 북구 무등로 153(1,3층 신안동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"정제수","쌀","엿기름","호박","설탕",NA,NA,NA,NA,NA,NA,NA,"","","","단호박","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3028","품목보고번호20110214381504","업소명달심F&B","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명시크혜 맑음","분류식품","업체명","달심F&B","소재지","광주광역시 북구 무등로 153(1,3층 신안동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","엿기름","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3027","품목보고번호20110214381464","업소명달심F&B","품목유형혼합음료","유통/소비기한제조일로부터 12개월 이내","제품명시크혜 오늘","분류식품","업체명","달심F&B","소재지","광주광역시 북구 무등로 153(1,3층 신안동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"쌀","엿기름","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3026","품목보고번호20110084489400","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명시트루 아르기닌","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","정제수","L-아르지닌","구연산","과.채가공품","오렌지농축액","레몬농축액","기타가공품","효소처리스테비아","비타민C","타우린","혼합제제","기타가공품","","","함수구연산","청귤착즙농축액","","","시트루","","","","","복합황금추출물","13","14","혼합제제","혼합제제","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3025","품목보고번호20060445110761","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명시트오르 아르기닌 부스터","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","L-아르지닌","L-아스파트산","타우린","오르니틴염산염","구연산","DL-사과산","에리스리톨","L-카르니틴","수박추출물","L-라이신염산염","베리혼합농축액","","","","","","","","","","수박과피추출물분말","","","13","14","라임농축액","블루베리향","라임착즙농축액","","15","16","17","18","19","20","21","22","과일채소혼합추출액","효소처리스테비아","L-글루타민","레몬라임향","구연산삼나트륨","아미노산혼합분말","감귤추출물","수크랄로스","","","","레몬라임향혼합제제","","아미노산혼합제제분말","감귤류추출물",""
"10","번호3024","품목보고번호20010515081245","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 24개월 (실온)","제품명식 혜","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"곡류가공품","멥쌀","생강농축액","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,"엿기름추출액 (고형분2.5%이상)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
