"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호3510","품목보고번호19940543023116","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명산약촌비타골드","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12","13","14","농축사과과즙","마농축액","액상과당","타우린0","비타민C","스테비텐마일드","정제염","비타민B2","구연산삼나트륨","니코틴산아미드","판토텐산칼슘","구연산","착향료(혼합과일향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3509","품목보고번호1994054302321","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명산약촌시골대추","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"대추추출액","마농축액","기타과당","구연산","글리신","니코틴산아미드","혼합제제","비타민 B1(고시형)","안식향산나트륨","정제소금","구연산삼나트륨","허브후레바","정제수",NA,"대추추출액(국산,고형분2.3%)","마농축액(국산)","","","","","(효쇼처리스테비아.텍스트린)","","합성보존료","","","합성향료","",NA,NA,NA,NA,NA,NA,NA
"3","번호3508","품목보고번호19950611073108","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로 부터 12개월(실온)","제품명산약촌식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"멥쌀","겉보리엿기름","백설탕","맥아물엿","DL-사과산","안식향산나트륨","셀룰라아제","α-아밀라아제","식품첨가물혼합제제용액","마농축액","생강농축액","정제수",NA,NA,"","","","","","","","","가드엠53-신","","","",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3507","품목보고번호1994054302322","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명산약촌쌍화D","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"쌍화추출액","기타과당","구연산","글리신","정제소금","안식향산나트륨","혼합제제","쌍화향","정제수",NA,NA,NA,NA,NA,"고형분2.555%(정제수,작약31.황기12.당귀12.천궁12.대추3.건강1.산약1:국산).(숙지황15.계피8.감초5:수입산)","","","","","보존료","(효소처리.텍스트린)","합성향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3506","품목보고번호1994054302346","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명산약촌아삭아삭달콤시원한알로에","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"알로에베라겔즙","마농축액","기타과당","구연산","비타민C","젤라검","젖산칼슘","혼합제제","구연산삼나트륨","청포도향","정제수",NA,NA,NA,"(알로에베라99.91%국산.구연산)","(고형분57%.국산)","","","","","","(효소처리스테비아.텍스트린)","","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3505","품목보고번호1994054302371","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명산약촌오디","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12","13","14","농축사과과즙","오디농축과즙","구연산","구연산삼나트륨","L-글루타민산나트륨","니코틴산아미드","비타민C","포도칼라no.100p","카라멜색소","스테비텐마일드","백설탕","액상과당","합성착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3504","품목보고번호199405430232","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명산약촌하나로","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12","13","14","마농축액","사과농축액","기타과당","타우린","구연산","DL-사과산","구연산삼나트륨","안식향산나트륨","니코틴산아미드","비타민 B1(고시형)","비타민B2","염화나트륨","글리신","혼합제제","(고형분.57..국산)","(고형분33%.국산)","","","","","","보존료","","","","","","(효소처리스테비아.텍스트린)","15","16","합성향료","정제수","(드링크후레바)",""
"8","번호3503","품목보고번호19940543023167","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한24개월","제품명산약촌홍삼vita","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12","13","14","홍삼농축액","사과농축액","마농축액","액상과당","타우린","비타민C","정제소금","비타민B2","구연산삼나트륨","니코틴산아미드","판토텐산칼슘","구연산","혼합과일향","정제수","6년근,고형분60%,국산","고형분33%,국산","고형분57%,국산","","","","식품정제염","","","","","","합성착향료","","15",NA,"식품첨가물혼합제제",NA,"스테비텐마일드",NA
"9","번호3502","품목보고번호1994054302320","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명산약촌화이바","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"사과농축","마농축액","액상과당","폴리덱스트로스","염화나트륨","구연산","구연산삼나트륨","안식향산나트륨","씨-레드","스테비텐마일드","오렌지향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3501","품목보고번호2008038390480","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한24개월","제품명산양산삼디(D)","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"인삼","액상과당","D-소르비톨","구연산","DL-사과산","구연산삼나트륨","비타민B2","글리신","안식향산나트륨","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
