"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13"
"1","번호2813","품목보고번호19810227007591","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아몬드브리즈 바리스타","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","아몬드페이스트","프락토올리고당","채종유(유채유 또는 카놀라유)","설탕","덱스트린","구연산칼륨","제이인산칼륨","아라비아검","식염","레시틴","젤란검","카라기난","","","","","","말토덱스트린","","","","","","",""
"2","번호2812","품목보고번호20000441043221","업소명매일유업(주)영동공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아몬드브리즈 바리스타","분류식품","업체명","매일유업(주)영동공장","소재지","충청북도 영동군 매곡면 괘방령로 730-20","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","아몬드페이스트","프락토올리고당","채종유(유채유 또는 카놀라유)","설탕","말토덱스트린혼합제제","구연산칼륨","제이인산칼륨","아라비아검","식염","레시틴","젤란검","카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2811","품목보고번호19810227007192","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한6개월","제품명아몬드브리즈 바리스타 블렌드","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"혼합음료","고올레산해바라기유","덱스트린","산도조절제","식염","레시틴","구아검","젤란검","인공 아몬드향","정제수",NA,NA,NA,"아몬드액","","","","","유화제","","","","",NA,NA,NA
"4","번호2810","품목보고번호19810227007600","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아몬드브리즈 아몬드&오트","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","혼합음료","곡류가공품","설탕","귀리페이스트","탄산칼슘","식염","구연산칼륨","향료","레시틴","젤란검","dl-α-토코페릴아세테이트","비타민B6염산염","정제수","아몬드액(아몬드고형분 2.5% 이상,미국 캘리포니아산)","오트원액(오트 고형분 10% 이상)","","귀리페이스트-F","영양강화제","","산도조절제","아몬드향, 볶은콩향","유화제","","영양강화제","영양강화제",""
"5","번호2809","품목보고번호19810227007197","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한12개월","제품명아몬드브리즈 언스위트","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"혼합음료","식염","탄산칼슘","DL-ALPHA 토코페릴 아세테이트","구연산칼륨","레시틴","인공 아몬드향","정제수","젤란검","비타민B6염산염",NA,NA,NA,"아몬드액","","영양강화제","영양강화제","산도조절제","유화제","","","","",NA,NA,NA
"6","번호2808","품목보고번호20000441043218","업소명매일유업(주)영동공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아몬드브리즈 언스위트","분류식품","업체명","매일유업(주)영동공장","소재지","충청북도 영동군 매곡면 괘방령로 730-20","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"혼합음료","정제수","탄산칼슘","식염","구연산칼륨","아몬드향","레시틴","젤란검","dl-α-토코페릴아세테이트","비타민B6염산염",NA,NA,NA,"아몬드액(아몬드고형분 2.1% 이상, 미국 캘리포니아산)","","","","","","","","","",NA,NA,NA
"7","번호2807","품목보고번호19810227007198","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한12개월","제품명아몬드브리즈 오리지널","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"정제수","인공 아몬드향","레시틴","갈색설탕","탄산칼슘","구연산칼륨","DL-ALPHA 토코페릴 아세테이트","비타민B6염산염","식염","혼합음료","젤란검",NA,NA,"","","유화제","","영양강화제","산도조절제","영양강화제","영양강화제","","아몬드액","",NA,NA
"8","번호2806","품목보고번호20000441043217","업소명매일유업(주)영동공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아몬드브리즈 오리지널","분류식품","업체명","매일유업(주)영동공장","소재지","충청북도 영동군 매곡면 괘방령로 730-20","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"혼합음료","갈색설탕","정제수","탄산칼슘","식염","구연산칼륨","아몬드향","레시틴","젤란검","dl-α-토코페릴아세테이트","비타민B6염산염",NA,NA,"아몬드액(아몬드고형분 2.1% 이상, 미국 캘리포니아산)","","","","","","","","","","",NA,NA
"9","번호2805","품목보고번호19810227007209","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한12개월","제품명아몬드브리즈 초콜릿","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,"혼합음료","백설탕","초콜릿","코코아분말","탄산칼슘","DL-ALPHA 토코페릴 아세테이트","식염","레시틴","젤란검","인공 아몬드향","에틸바닐린","정제수",NA,"아몬드액, 아몬드고형분 2.2%이상, 미국 캘리포니아산","","코코아메스(벨기에산,싱가폴산), 코코아파우더(싱가폴산), 정백당","말레이시아산","영양강화제","영양강화제","국산","유화제","","합성착향료","합성착향료","",NA
"10","번호2804","품목보고번호2017062863036","업소명(주)진산비버리지","품목유형혼합음료","유통/소비기한제조일로부터 1일","제품명아몬드액","분류식품","업체명","(주)진산비버리지","소재지","제주특별자치도 제주시 조천읍 남조로3길 13","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"아몬드분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
