"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16"
"1","번호1067","품목보고번호2017050927911","업소명(유)황전바이오","품목유형혼합음료","유통/소비기한실온 24개월","제품명칼슈미락","분류식품","업체명","(유)황전바이오","소재지","전라남도 순천시 황전면 월산1길 8(1,2층)","1","2","3","4","정제수","산호분말","D-소르비톨액","드라이비타민D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1066","품목보고번호20060464002382","업소명(주)건강마을","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명캐모마일 라즈베리 블랜딩티","분류식품","업체명","(주)건강마을","소재지","충청남도 논산시 연무읍 양지길 45-41","1","2","3","4","기타가공품","라즈베리농축액","사양벌꿀","설탕","캐모마일허브추출물, 고형분0.15%이상","60Brix","","","5","6","7","8","9","10","11","12","13","14","15","16","구연산","구연산삼나트륨","비타민C","덱스트린","혼합제제","수크랄로스","아세설팜칼륨","혼합제제","허브향","아로니아향","허브향","정제수","","","","말토덱스트린","레드칼라","","","시트러스향","SF-12770","","5d70131",""
"3","번호1065","품목보고번호20000614238513","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명캐모마일 릴렉스 제로","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","캐모마일추출물분말","레몬주스농축액","과.채가공품","과.채가공품","","","리치농축액","타트체리농축액","5","6","7","8","9","10","11","12","13","14","15","16","에리스리톨","DL-사과산","비타민C","수크랄로스","아세설팜칼륨","혼합제제","천연향료(Elder flowers)","천연향료(Elder flowers)","천연향료(Lemon grass)","혼합제제","식용색소적색제40호","정제수","","","","","","프로필렌글리콜,합성향료,천연향료,주정","","","","정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","",""
"4","번호1064","품목보고번호202307321146","업소명청 나라","품목유형혼합음료","유통/소비기한해당없음.","제품명캐모마일리치","분류식품","업체명","청 나라","소재지","전라남도 나주시 우정로 72(더클래스빌딩 7층 B호 빛가람동)","1","2",NA,NA,"캐모마일추출농축액","탄산수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1063","품목보고번호19930461022320","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 3일간","제품명캐슈넛액","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2",NA,NA,"땅콩 또는 견과류가공품","정제수",NA,NA,"캐슈넛페이스트","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1062","품목보고번호2015041512559","업소명(주)충청바이오텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명캐치온B","분류식품","업체명","(주)충청바이오텍","소재지","충청북도 청주시 흥덕구 직지대로 398(B동 1,2층 송정동)","1","2","3","4","정제수","압착올리브유","오렌지농축액","자몽농축액","","","","","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민미네랄믹스-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1061","품목보고번호2015041512556","업소명(주)충청바이오텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명캐치콜B","분류식품","업체명","(주)충청바이오텍","소재지","충청북도 청주시 흥덕구 직지대로 398(B동 1,2층 송정동)","1","2","3","4","정제수","압착올리브유","오렌지농축액","자몽농축액","","","","","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민미네랄믹스-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1060","품목보고번호2013062801960","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명캬 라바 씨워터","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,"정제수","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1059","품목보고번호19980449002691","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명커졌다! 코코팜 포도","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","정제수","당시럽","청포도농축과즙","과.채가공품","","","","나타드코코","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,"식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","음료베이스",NA,NA,NA,NA,NA,NA,NA,NA,"미니메이드 프리미엄 알로에 플러스 원제 제1E부","커졌다! 코코팜 포도 원제 제1A부","미닛메이드 프리미엄 망고 플러스 원제 제1부","코코팜 포도 원제 제2부",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1058","품목보고번호201906215278","업소명(주)더메리트","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명커큐미인","분류식품","업체명","(주)더메리트","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-19(용암해수2호관 A동 3층 303호)","1","2","3","4","강황추출액","기타가공품","정제수","비타민 C 분말","","용암해수미네랄수","용암해수탈염수","","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
