"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13"
"1","번호2154","품목보고번호19810227007221","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한6개월(실온보관)","제품명오트 베이스","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","정제수","고올레산해바라기유","백설탕","덱스트린","탄산칼슘","레시틴","제이인산칼륨","쌀페이스트","식염","젤란검","볶은귀리","","","","","영양강화제","해바라기","산도조절제","","","","오트 페이스트",NA,NA,NA,NA,NA,NA
"2","번호2153","품목보고번호2020028014726","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명오트 오리지널","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","11","정제수","귀리분말","기타가공품","현미유","바닐라빈","구연산칼륨","로커스트빈검","젤란검","레시틴","정제소금","알룰로오스","","캐나다","비타믹스D[덱스트린,유산균발효분말,산도조절제,영양강화제,혼합제제{비타민C,비타민E혼합제제(DL-a-토코페릴아세테이트,변성전분,덱스트린,이산화규소","국산","","","","","해바라기","","중국산","12","13","효소처리스테비아","유산균","","락토바실러스플랜타럼"
"3","번호2152","품목보고번호19810227007463","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 4개월(실온보관)","제품명오트&유","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","정제수","귀리페이스트","귀리페이스트","채종유(유채유 또는 카놀라유)","레시틴","덱스트린","탄산칼슘","제이인산칼륨","제삼인산칼슘","젤란검","식염","","필리핀산","오트분말: 캐나다산","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","번호2151","품목보고번호20070464034238","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명오트넛 쉐이크","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6","7","8",NA,NA,NA,"땅콩 또는 견과류가공품","정제수","설탕","귀리추출농축액","고올레산해바라기유","해조칼슘","천일염","혼합제제",NA,NA,NA,"혼합견과유/고형분7.5%","","유기농밝은갈색설탕","(귀리추출액/고형분7.5%, 덱스트린)","","","","비타민미네랄믹스-SA :[제삼인산칼슘 65.6%, 비타민C, 비타민E혼합제제 4.5%(DL-ALPHA-토코페릴아세테이트, 변성전분, 포도당시럽분",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2150","품목보고번호20070464034234","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명오트넛 쉐이크 올인원","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6","7","8",NA,NA,NA,"땅콩 또는 견과류가공품","정제수","설탕","귀리추출농축액","고올레산해바라기유","혼합제제","기타가공품","천일염",NA,NA,NA,"혼합견과유 / 고형분 7.5%","","유기농밝은갈색설탕","귀리추출액(고형분7.5%), 귀리분말, 덱스트린","","비타민미네랄믹스-SA :[제삼인산칼슘 65.6%, 비타민C, 비타민E혼합제제 4.5%(DL-ALPHA-토코페릴아세테이트, 변성전분, 포도당시럽분","해조칼슘","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2149","품목보고번호20070464034235","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명오트넛 쉐이크 카카오","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6","7","8",NA,NA,NA,"땅콩 또는 견과류가공품","정제수","설탕","코코아분말","귀리추출농축액","고올레산해바라기유","기타가공품","천일염",NA,NA,NA,"혼합견과유 / 고형분 7.5%혼합견과","","유기농밝은갈색설탕","","","","해조칼슘","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2148","품목보고번호200203770055","업소명주식회사 천하대금","품목유형혼합음료","유통/소비기한제조일로부터 1년(12개월)","제품명오트마임","분류식품","업체명","주식회사 천하대금","소재지","경기도 가평군 조종면 대보간선로 665-224","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","천년초원액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2147","품목보고번호19810606006478","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월까지","제품명오트밸리","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"정제수","귀리","미강유(현미유)","곡류가공품","천일염",NA,NA,NA,NA,NA,NA,"","","","현미호분추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2146","품목보고번호19810606006501","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 09개월까지","제품명오트밸리 골드링","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","귀리","채종유(유채유 또는 카놀라유)","폴리글리세린지방산에스테르","제이인산칼륨","탄산칼슘","제삼인산칼슘","천일염","천연향료",NA,NA,"","유기농귀리","","","","","","","바닐라추출물",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2145","품목보고번호19810606006528","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 09개월까지","제품명오트밸리 속이 꽉 찬 홍화씨","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","6",NA,NA,NA,NA,NA,"정제수","귀리","잇꽃씨앗","홍화유(사플라워유 또는 잇꽃유)","곡류가공품","천일염",NA,NA,NA,NA,NA,"","유기농귀리","홍화씨","","현미호분추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
