"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26"
"1","번호3083","품목보고번호20140443099336","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명스킨포스 콜라겐","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","정제수","결정과당","콜라겐분말","복숭아농축액","엘라스틴가수분해물","복숭아향","세븐베리농축액","DL-사과산","펙틴","기타가공품","","","GT콜라겐","","","","","","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3082","품목보고번호2020037679937","업소명안성농산물가공협동조합","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명스타베리딸기","분류식품","업체명","안성농산물가공협동조합","소재지","경기도 안성시 보개면 보개원삼로 219(안성시농업기술센터 주10동 1층)","1","2","3","4",NA,NA,NA,NA,NA,NA,"딸기","설탕","레드비트뿌리","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3081","품목보고번호2020037679939","업소명안성농산물가공협동조합","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명스타베리토마토","분류식품","업체명","안성농산물가공협동조합","소재지","경기도 안성시 보개면 보개원삼로 219(안성시농업기술센터 주10동 1층)","1","2","3",NA,NA,NA,NA,NA,NA,NA,"토마토과육","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3080","품목보고번호20020623009489","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명스타일리쉬 에이드 블루레몬","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","레몬농축액","레몬라임농축액","백설탕","에리스리톨","구연산","수크랄로스","식용색소청색제1호","레몬라임향","레몬향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3079","품목보고번호20100543066161","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한2년","제품명스탠다드 딸기맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","알로에베라잎(껍질제외)","절편","알로에","액상과당","구연산","구연산삼나트륨","젤란검","젖산칼슘","탄산칼슘","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","15","16","식용적색40호","적양배추색소","슈가향","딸기향","딸기에센스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3078","품목보고번호20100543066160","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한2년","제품명스탠다드 석류맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","알로에베라잎(껍질제외)","절편","알로에","액상과당","구연산","구연산삼나트륨","젤란검","젖산칼슘","탄산칼슘","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14",NA,NA,"식용적색40호","적양배추색소","석류향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3077","품목보고번호20100543066205","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명스탠다드 알로에 키위딸기","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","알로에베라겔절편","알로에분말","액상과당","구연산","구연산삼나트륨","수크랄로스","젤란검","젖산칼슘","적양배추색소","강력드라이이스트골드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13",NA,NA,NA,"혼합과일향","골드키위향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3076","품목보고번호20110445029155","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명스터디메이트","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","기타과당","설탕","복숭아농축액","곡류가공품","유산균발효다시마추출물(기능성원료인정제2011-22호)","합성향료","합성향료","아세설팜칼륨","구연산","정제수","","","","가바미강쌀눈추출농축액","","복숭아향1","복숭아향2","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3075","품목보고번호20080181270184","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스트레 펀치","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","정제수","과일혼합농축액","프락토올리고당","배농축액","보리추출물분말","헛개나무열매추출분말","테아닌","기타 농산가공품","혼합허브추출물","L-트립토판","","열대혼합과일농축액","","배농축과즙F","새싹보리추출분말","","","산조인 혼합추출물","복합허브추출물E","","11","12","13","14","15","16","β-카로틴","오르니틴염산염","에리스리톨","β-시클로덱스트린","구연산삼나트륨","구연산","수용성 베타카로틴","","","","","","17","18","19","20","21","22","23","24","25","26","비타민C","판토텐산칼슘","니코틴산아미드","비타민B6염산염","엽산","잔탄검","젤란검","효소처리스테비아","가바","구아바향","","","","","","사티아젠 씨엑스910","","","",""
"10","번호3074","품목보고번호201005430661152","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명스트로베리","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","딸기농축액","합성향료","구연산","젖산칼슘","혼합제제","젤란검","구연산삼나트륨","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","이스라엘산, 배합함량100%","딸기향","","","코치닐추출색소, 적양배추색소, 덱스트린","","","11","12",NA,NA,NA,NA,"유화제","천연향료",NA,NA,NA,NA,"","딸기향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
