"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14"
"1","번호4702","품목보고번호200306143071384","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명레몬에이드","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","음료베이스","구연산","향료","구연산삼나트륨","과.채가공품","향료","수크랄로스","홍화황색소","","","컨츄리타임 레몬에이드 믹스","","레몬향","","레몬농축액","라임향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4701","품목보고번호20000614238494","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명레몬에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","레몬농축액","설탕","음료베이스","구연산","구연산삼나트륨","홍화황색소","수크랄로스","혼합제제","혼합제제","정제수","","","","","","","","주정, 혼합제제2{혼합제제3(주정, 천연향료, 합성향료, 정제수, 글리세린지방산에스테르), 주정}, 천연향료","주정, 정제수, 합성향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4700","품목보고번호20000614238408","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명레몬에이드 상큼한맛","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","레몬주스농축액","타우린","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","레몬향","자몽향","","","","","","","","","주정, 프로필렌글리콜,합성향료,천연향료","주정,천연향료,합성향료","11","12","13","14","후르츠믹스향","라임향","식용색소황색제4호","정제수","주정,프로필렌글리콜,정제수,합성향료,천연향료,글리세린,트리아세틴,갈색설탕","주정,정제수,합성향료","",""
"4","번호4699","품목보고번호2010018127979","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명레몬에이드 제로","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","정제수","레몬농축액","에리스리톨","구연산","수크랄로스","아세설팜칼륨","정제소금","라임향","시트러스향","자몽향","","","","함수","","","","F-21578A","JS-20304","F-22834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4698","품목보고번호2017055519579","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명레몬에이드제로","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","정제수","에리스리톨","구연산","라임향","레몬향","수크랄로스","레몬농축액","아세설팜칼륨","정제소금","시트러스향","","","함수구연산","천연향료","천연향료","","이탈리아산","","","혼합제제(글리세린, 아라비아검, 소비톨액, 유화제, 정제가공유지, 주정, 천연향료)","11",NA,NA,NA,"자몽향",NA,NA,NA,"합성향료",NA,NA,NA
"6","번호4697","품목보고번호20090473152590","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명레몬에이드제로","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","정제수","에리스리톨","구연산","향료","향료","수크랄로스","레몬농축액","아세설팜칼륨","정제소금","혼합제제","","","함수구연산","라임향(F-21578A)","레몬향(F-21015)","","","","","시트러스향(SKB-1453)","11",NA,NA,NA,"향료",NA,NA,NA,"자몽향(F-22834)",NA,NA,NA
"7","번호4696","품목보고번호2022078026614","업소명(주)에이트리에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명레몬에이드제로","분류식품","업체명","(주)에이트리에프앤비","소재지","경상북도 안동시 풍산읍 산업단지길 87","1","2","3","4","5","6","7","8","9","10","레몬농축액","구연산","에리스리톨","정제소금","수크랄로스","아세설팜칼륨","라임향","레몬향","자몽향","시트러스향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA
"8","번호4695","품목보고번호19780614001386","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명레몬워터","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","레몬농축액","액상과당","구연산","구연산삼나트륨","비타민C","수크랄로스","히알루론산","홍화황색소","레몬향","레몬향","레몬청징농축액(Bx:43.5)","","","","","","","분말산옐로우","레몬향1","레몬향2","11","12",NA,NA,"정제수","효소처리루틴",NA,NA,"","",NA,NA
"9","번호4694","품목보고번호20100543066896","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명레몬진저","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","생강농축액","젖산칼슘","합성향료","레몬농축액","구연산","합성향료","젤란검","","","태국산/알로에베라주스54.9%,알로에베라45%,구연산0.1%","국산/고형분74%이상,과당72%,생강28%","","생강향","이스라엘산/배합함량:레몬100%,레몬과즙으로환원기준0.9%","","레몬향","","11","12","13","14","구연산삼나트륨","카로틴","유화제","천연향료","","","","레몬향"
"10","번호4693","품목보고번호199603781665","업소명주식회사 동트는세상인","품목유형혼합음료","유통/소비기한제조일부터12월","제품명레민다스파이랄산소수","분류식품","업체명","주식회사 동트는세상인","소재지","경기도 양평군 청운면 설악로 507-25","1","2","3",NA,NA,NA,NA,NA,NA,NA,"정제수","비타민 씨","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
