"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","성분 및 원료15","비고15","번호16","번호17","번호18","번호19","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고16","비고17","비고18","비고19"
"1","번호5552","품목보고번호1996030801079","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일부터24월","제품명광동복분자","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","액상과당","복분자농축액","구연산","복분자향","DL-사과산","구연산삼나트륨","재제소금(재제조소금)","비타민C","펙틴","효소처리스테비아","로즈마리추출물","이소말토올리고당","","","복분자딸기농축액 (당도 5 Brix 이상)","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5551","품목보고번호19960308010174","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일부터24월","제품명광동비타500prime","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","농축사과과즙","비타민C","팔라티노스","구연산","드링크향","케이디비타","펙틴","타우린","DL-사과산","비타민E","수크랄로스","콜라겐펩타이드","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5550","품목보고번호20020623009922","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명광동한라봉과유자","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","백설탕","기타과당","유자과즙","한라봉농축액","유자향","구연산","효소처리스테비아","구연산삼나트륨","DL-사과산","오렌지추출물","홍화황색소","용성비타민P","","","","","한라봉주스농축액","합성향료","","","","","","","","14","비타민B2","","15","유자향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5549","품목보고번호19940474018548","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명광동헛개파워","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","액상과당","말티톨시럽","헛개나무열매추출농축액","농축사과과즙","기타가공품","타우린","시클로덱스트린","구연산","구연산삼나트륨","효소처리스테비아","알로에베라겔분말","펙틴","","","","","","미배아복합발효추출액(정제수미배아4%효모배양액포도당제이인산나트륨미강추출물탈지미강대두펩타이드탈지대두분제이인산칼륨제일인산칼륨자몽종자추출물이노시톨)","","베타시클로덱스트린","","","","","","14","비타민B1질산염","","15","비타민B2","","16","17","18","19","댕댕이나무열매추출액","기타가공품","합성착향료","사양벌꿀","댕댕이나무열매농축액","엠피3농축액[헛개나무20%,인진쑥,갈근,감초,대잎둥글레(황정),배초향(곽향),엉겅퀴(대계) 합계 100%]","허브후레바",""
"5","번호5548","품목보고번호19960308010568","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터18월","제품명광동헛개파워","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","기타과당","말티톨시럽","헛개나무열매추출농축액","농축사과과즙","댕댕이나무열매추출액","사양벌꿀","기타가공품","기타가공품","타우린","β-시클로덱스트린","구연산","구연산삼나트륨","","","","고형분50%","","댕댕이나무열매농축액","","미배아복합발효추출액","엠피3농축액","","","","","14","효소처리스테비아","","15","알로에베라겔건조분말","","16","17","18","19","펙틴","비타민B1질산염","비타민B2","합성향료","","","","허브향"
"6","번호5547","품목보고번호19960308010159","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일부터18월","제품명광동홍삼꿀D","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","말티톨시럽","사양벌꿀","액상과당","백설탕","허브향","말토덱스트린","벌꿀향","홍삼농축액","구연산","구연산삼나트륨","비타민C","효소처리스테비아","","","","","","","","","홍삼사포닌 70mg/g, 고형분 50%이상","","","","","14","글리신","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5546","품목보고번호20020623009706","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명광동홍삼꿀D","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","말티톨시럽","사양벌꿀","기타과당","설탕","덱스트린","합성향료","합성향료","홍삼농축액","구연산","구연산삼나트륨","비타민C","효소처리스테비아","글리신","","","","","말토덱스트린","벌꿀향","벌꿀향","홍삼사포닌70mg/g, 고형분50%이상","","","","","","14","정제수","","15","합성향료","허브향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5545","품목보고번호20110445029134","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명구미당기는구미 복숭아코코","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","백설탕","과.채가공품","탈지분유","복숭아농축액","구연산","향료","향료","두류가공품","구연산삼나트륨","메타인산나트륨","혼합제제","식용색소적색제40호","","","나타드코코 베트남산","","이스라엘산 68bx'","함수구연산","복숭아향#6 FC-14605","복숭아향#11 FC-14261","수용성대두다당류","","","폼크린 200","","14","식용색소황색제5호","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5544","품목보고번호20110445029133","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명구미당기는구미 포도코코","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","백설탕","과.채가공품","과.채가공품","구연산","향료","젖산칼슘","혼합제제","구연산삼나트륨","젤란검","메타인산나트륨","식용색소적색제40호","식용색소청색제1호","","","나타드코코 베트남산","적포도 농축액 칠레산 68bx'","함수구연산","포도향#13 FC-12458","","시트러스향#1 FC-87135","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5543","품목보고번호200201832821029","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명구아바펀치","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,"정제수","설탕","기타과당","혼합제제","구연산","펙틴","침출차","비타민C","과.채가공품","자주색고구마색소","효소처리루틴","치자청색소",NA,"","","","구아바향","무수","","아쌈 CTC","","핑크구아바퓨레","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
