"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","성분 및 원료16","비고16","번호17","성분 및 원료17","비고17","번호...63","성분 및 원료","비고"
"1","번호1733","품목보고번호2017062863030","업소명(주)진산비버리지","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명인젠 식물성프로틴 멀티그레인","분류식품","업체명","(주)진산비버리지","소재지","제주특별자치도 제주시 조천읍 남조로3길 13","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","기타설탕","완두분말","해바라기유","현미배아분말","혼합분말믹스","쌀단백분말","청양고추엑기스","젤란검","나한과추출물분말","쌀향","합성향료","밤향","아마란스분말","브로콜리분말","","비정제사탕수수당","","","","","","","","","","시리얼향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1732","품목보고번호19890445014381","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명인진쑥","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"사철쑥추출액","식물혼합추출액","액상과당","카르복시메틸셀룰로오스나트륨","카라멜색소","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1731","품목보고번호201706283272","업소명농업회사법인인투주식회사","품목유형혼합음료","유통/소비기한12개월","제품명인투 제주 한라봉식혜","분류식품","업체명","농업회사법인인투주식회사","소재지","제주특별자치도 제주시 월랑북3길 17(지하층 노형동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","한라봉과즙","쌀페이스트","백설탕","자몽종자추출액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"국내산","국내산","고형분량20%","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1730","품목보고번호2017062832714","업소명농업회사법인인투주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명인투제주 한라봉 수정과","분류식품","업체명","농업회사법인인투주식회사","소재지","제주특별자치도 제주시 월랑북3길 17(지하층 노형동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"한라봉과즙","기타가공품","과.채가공품","과.채가공품","설탕","벌꿀","잣","정제수",NA,NA,NA,NA,NA,NA,NA,"과피, 국산","계피농축액, 외국산","생강농축액, 국산","한라봉칩","","","국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1729","품목보고번호19930461022212","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 12개월간","제품명365일 건강한 레드오렌지","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","액상과당","백설탕","구연산","펙틴","정제소금","구연산삼나트륨","수크랄로스","오렌지향","자몽향","레몬향","정제수","농축과채즙(또는과채분)","농축과채즙(또는과채분)","덱스트린","유청단백분말","","","","","","","","","","","","레드오렌지농축액","블랙커런트농축액","말토덱스트린","탈염유청단백","16","식품첨가물혼합제제","엘에스303",NA,NA,NA,NA,NA,NA
"6","번호1728","품목보고번호19930461022188","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명365일 건강한 아몬드유","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","액상과당","매직칼D","카라기난","소금","합성착향료","정제수","백설탕","혼합음료","합성착향료","잔탄검","곡류가공품","당류가공품","해바라기유","덱스트린","식품첨가물혼합제제","","","","","아몬드향","","","아몬드액","마카다미아향","","오곡분말","마카다미아믹스페이스트","","","Avicel plus","16","혼합제제류","비타민혼합제제YS1","17","글리세린지방산에스테르","",NA,NA,NA
"7","번호1727","품목보고번호20140395066283","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명100일 유산균 곤약젤리","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","에리스리톨","혼합제제","곤약분말","구연산","구연산삼나트륨","요거트분말","생선콜라겐분말","젖산칼슘","합성향료","수크랄로스","아세설팜칼륨","비타민C","기타가공품",NA,"","","","","","","(결정과당, 혼합탈지분유, 덱스트린, 요거트분말, 파인애플농축분말)","","","요쿠르트향","","","","식물성유산균 사균체(사균체,덱스트린)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1726","품목보고번호20040275056439","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명일동발효노니플러스","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","과.채가공품","발효노니혼합액"
"9","번호1725","품목보고번호2011044107015","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명일라이트 PH한모금","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1724","품목보고번호2011044107010","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명일라이트 원","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
