"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14"
"1","번호24","품목보고번호2017014715510","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명흑마늘프리미엄진액골드","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","흑마늘추출액","액상과당","농축사과과즙","대추농축액","잔탄검","구연산","구연산삼나트륨","비타민B1라우릴황산염","마늘향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호23","품목보고번호19970570162368","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명흑삼 아르기닌","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","흑삼농축액","흑마늘농축액","복분자농축액","프락토올리고당","사양벌꿀","L-아르지닌","오르니틴염산염","타우린","마카추출분말","구연산(무수)","씨제이구증구포흑삼농축액","","","","","","","","블랙마카추출물","","11","12","13","14","스테비올배당체","혼합제제","혼합제제","정제수","레바텐97","복분자향 SK-H7353","폼크린200(소포제: 규소수지30%)",""
"3","번호22","품목보고번호20170614111277","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명흑삼with타트체리콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","8",NA,NA,"체리농축액","흑삼농축액","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)",NA,NA,"고형분60%","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호21","품목보고번호19970443044342","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명흑삼녹용진액골드","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4",NA,NA,NA,NA,NA,NA,"흑삼분말","홍삼당침액","식물혼합추출농축액","녹용추출액",NA,NA,NA,NA,NA,NA,"흑삼분말액","홍삼당절임액","식물혼합추출농축액(S)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호20","품목보고번호2017014715541","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명흑삼알부민골드","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5",NA,NA,NA,NA,NA,"흑삼","난백알부민","가시오가피숙지황 복합추출물농축액","혼합제제","잔탄검",NA,NA,NA,NA,NA,"흑삼추출물 *고형분(5%이상)","","숙지황농축액","비타FM","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호19","품목보고번호2007062004759","업소명주식회사 일백","품목유형혼합음료","유통/소비기한24개월","제품명흑심콜라겐젤리스틱","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","4","5","6","7","8","9","10","흑마늘농축액","발효도라지농축액","생선콜라겐","프락토올리고당","검 베이스 혼합제제","배농축액","유자농축액","사양벌꿀","효소처리스테비아","정제수","고형분60%이상/국산100%","흑도라지농축액(고형분60%이상/국산100%)","500DA이하","","","고형분60%이상/국산100%고형분","고형분60%이상/국산100%","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호18","품목보고번호200603682146","업소명삼남매식품","품목유형혼합음료","유통/소비기한12개월(냉동)","제품명흑연근식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","5",NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","연근","쌀",NA,NA,NA,NA,NA,"","정백당","겉보리 2,2%, 밀 0.9%","흑연근","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호17","품목보고번호1987055800382","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명흑임자라떼","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10","우유","설탕","기타가공품","혼합분유","코코아분말","카복시메틸셀룰로스나트륨","당류가공품","정제소금","합성향료","합성향료","","","검은깨페이스트","혼합전지분유(전지분유 88%, 40%탈염훼이퍼미에이트(우유)12%)","","","밀크프리","","흑임자향(HF-BA12469)","밀크향(HF-AG12600)","11",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA
"9","번호16","품목보고번호20050355533211","업소명디웰푸드(DWell Food)","품목유형혼합음료","유통/소비기한실온에서36개월까지","제품명흑홍삼 동충하초진액골드","분류식품","업체명","디웰푸드(DWell Food)","소재지","경기도 파주시 평화로342번길 96(검산동,10동,11동,12동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,"흑삼","식물혼합추출액","올리고당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호15","품목보고번호20050355533214","업소명디웰푸드(DWell Food)","품목유형혼합음료","유통/소비기한제조일로부터 실온에서 36개월까지","제품명흑홍삼정 동충하초","분류식품","업체명","디웰푸드(DWell Food)","소재지","경기도 파주시 평화로342번길 96(검산동,10동,11동,12동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,"홍삼농축액","식물성혼합추출액","식물혼합추출액",NA,NA,NA,NA,NA,NA,NA,"고형분60% 홍삼샤포닌70mg/이상(국산) 흑미삼30% 흑홍삼70%","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
