"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","번호21","번호22","번호23","번호24","번호25","번호26","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고21","비고22","비고23","비고24","비고25","비고26"
"1","번호6077","품목보고번호19970570162277","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한24월","제품명CONDITION (미국수출용)","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","액상과당","미배아발효추출물","백설탕","타우린","울금추출농축액","옥수수추출농축액","글루타효모엑기스D","아사이베리과즙","구연산","DL-사과산","펙틴","L-알라닌","착향료(혼합과일향","벌꿀향","니코틴산아미드","구연산삼나트륨","비타민E50","혼합분말","시트로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호6076","품목보고번호20110084489435","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명CPO 오르니틴 콜라겐","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","생선콜라겐","에리스리톨","오렌지농축액","망고농축액","프락토올리고당","구연산","오렌지향","애플망고향","기타가공품","글루콘산아연","기타가공품","효소처리스테비아","비타민C","혼합제제","토마토추출물분말","비타민B6염산염","비타민B2","N-아세틸글루코사민","우유단백질","","피쉬콜라겐","","","","","함수구연산","천연향료","합성향료","오르니텐","","복합황금추출물","","","비타민B12혼합제제","화이트토마토추출분말","","","N-아세틸글루코사민분말","우유단백질농축(밀크세라마이드)","21","22","23","24","25","26","비타민B1염산염","병풀잎추출물분말","엘라스틴가수분해물","혼합제제","혼합제제","비오틴","","병풀추출분말","프로라스틴","히알루론산혼합제제","아미노산혼합제제/아미노믹스",""
"3","번호6075","품목보고번호20010515081468","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명ClickU 화이트프로틴","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,"원유","정제수","설탕","카라기난","셀룰로오스혼합제제","당류가공품","정제소금","타우린","L-카르니틴","농축유단백","바닐라향","바나나향","천연향료(Vanilla)",NA,NA,NA,NA,NA,NA,NA,"","","","","안정제","프락토 화이버","","","","","","","천연바닐라추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호6074","품목보고번호19970464172546","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Collagen Drink 1100 (콜라겐 1100)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,"생선콜라겐분말","사과농축액","비타민C","기타과당","구연산","구연산삼나트륨","효소처리스테비아","베타인","정제수","사과향","히알루론산","효모추출분말","L-아르지닌","카라멜색소 I",NA,NA,NA,NA,NA,NA,"저분자피쉬콜라겐","","","","","","","","","K0506620","","","","카라멜당시럽",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호6073","품목보고번호19970464172466","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Collagen the beauty","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","기타과당","시클로덱스트린","생선콜라겐분말","열대과일혼합농축액","석류농축액","믹스베리향","다시마농축분말","구연산","구연산삼나트륨","DL-사과산","L-아르지닌","히알루론산","비타민C","정제소금","판토텐산칼슘","니코틴산아미드","비타민B6염산염","비오틴","비타민B2",NA,NA,NA,NA,NA,NA,"1402492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호6072","품목보고번호2017050927929","업소명(유)황전바이오","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명D-ONE","분류식품","업체명","(유)황전바이오","소재지","전라남도 순천시 황전면 월산1길 8(1,2층)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","식초","D-소르비톨액","백설탕","Red grape농축액","구연산","자몽종자추출물","산호분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","적포도농축액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호6071","품목보고번호20020257169273","업소명(주)킴스에프앤디","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명DAEAT 식혜","분류식품","업체명","(주)킴스에프앤디","소재지","세종특별자치시 부강행산로 212","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","백설탕","맥아","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호6070","품목보고번호202100845892","업소명(주)백담","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명DANA이온칼슘","분류식품","업체명","(주)백담","소재지","서울특별시 금천구 서부샛길 648(대륭테크노타운6차 5층 501호 가산동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","분말비타민D3혼합제제","패각분말","스테비아추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호6069","품목보고번호20020623009243","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명Dana블루베리알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙","함유절편","블루베리농축액","젤란검","구연산삼나트륨","백설탕","구연산","비타민C","젖산칼슘","레드칼라","지씨원칼라","블루베리향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호6068","품목보고번호1996051900639","업소명주식회사 보성녹차인 1공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명Dellos(수출용)","분류식품","업체명","주식회사 보성녹차인 1공장","소재지","전라남도 보성군 미력면 농공길 28-20","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에 베라","액상과당","백설탕","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤라검","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
