"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","성분 및 원료17","성분 및 원료18","비고17","비고18"
"1","번호4007","품목보고번호20110084489383","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명버닝업 아르기닌 5050","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","L-아르지닌","구연산(무수)","Red grape농축액","레몬농축액","효소처리스테비아","비타민C","세븐베리농축액","천연향료","혼합제제","기타가공품","타우린","쌀배아추출물","기타 농산가공품","혼합제제","비타민B1염산염","","","","적포도주스농축액","","","","","천연레몬향","","복합황금추출물","","쌀배아추출액","효모발효부추농축액","","",NA,NA,NA,NA,NA,NA
"2","번호4006","품목보고번호20080181270140","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한24개월","제품명버디에너지드링크","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","액상과당","백설탕","홍삼농축액","사과농축액","과라나추출물","타우린","이노시톨","L-라이신","비타민B2혼합제제","비타민B6혼합제제","비타민B1혼합제제","수크랄로스","구연산(무수)","DL-사과산","정제소금","","","","","","","","","","비타민B2","비타민B6","비타민B1","","","","정제염","17","18","혼합과일향","파인애플향","",""
"3","번호4005","품목보고번호19860435013818","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명버디포스킨","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","덱스트린","자일리톨","콜라겐","오렌지향","제비집추출분말","잔탄검","비타민C","요구르트향","정제소금","구연산","DL-사과산","구연산삼나트륨","적양배추색소","효소처리스테비아","히알루론산","","","","콜라겐펩타이드","","","","","","정제염","구연산혼합제제","","","","","히알루론산분말","17","18","비타민B6염산염","엽산","비타민B6 82%",""
"4","번호4004","품목보고번호20150518023112","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한365일(12개월, 1년)","제품명버프업 프로틴워터 복숭아","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"정제수","유청단백분말","복숭아농축액","복숭아향","비타민C","글리세린지방산에스테르","자몽종자추출물","아세설팜칼륨","수크랄로스","L-카르니틴","비타민D3","비타민B12혼합제제분말","구연산","비타민B6염산염",NA,NA,"","분리유청단백","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4003","품목보고번호20150518023113","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한365일(12개월, 1년)","제품명버프업 프로틴워터 사과","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"정제수","유청단백분말","사과농축액","사과향","구연산","비타민C","글리세린지방산에스테르","자몽종자추출물","아세설팜칼륨","수크랄로스","L-카르니틴","비타민D3","비타민B12혼합제제분말","비타민B6염산염",NA,NA,"","분리유청단백","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4002","품목보고번호19970464172215","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명벌꿀이 들어간 칡헛개수","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,"벌꿀","헛개나무열매농축액","타우린","L-아스파라긴","비타민C","구연산","구연산삼나트륨","액상과당","칡향","정제수","칡농축액",NA,NA,NA,NA,NA,"","","","","","","","","","","고형분55%이상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4001","품목보고번호20150063562392","업소명(주)마나에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명범 8.5","분류식품","업체명","(주)마나에프앤비","소재지","경기도 고양시 덕양구 서오릉로532번길 13(2층 용두동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","발효칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4000","품목보고번호19920624042795","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명벚꽃 딸기에이드","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"정제수","기타과당","설탕","농후발효유","혼합분유","구연산","합성향료","과.채가공품","두류가공품","합성향료","기타가공품","합성향료","적양배추색소",NA,NA,NA,"","","","불가리스배양액","혼합탈지분유8515","결정","딸기향","딸기농축과즙","수용성대두다당류","벚꽃향","벚꽃추출분말","연유향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3999","품목보고번호19920562023417","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한해당없음.","제품명벚꽃복숭아에이드","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,"구연산(결정)","설탕","기타과당","복숭아농축액","벚나무꽃추출액","염화칼륨","수크랄로스","식용색소적색제40호","인공벚꽃향","복숭아향","정제수",NA,NA,NA,NA,NA,"","","","65brix","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3998","품목보고번호2011061812156","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명벚꽃에이드","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,"설탕","액상과당","효소처리스테비아","구연산","인공벚꽃향","코치닐레드색소","자색고구마색소","기타추출액","정제수",NA,NA,NA,NA,NA,NA,NA,"","f-55","","","","","","벚꽃추출물(0.5 Brix)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
