"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","성분 및 원료15","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호2923","품목보고번호20010515081325","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명썬키스트 석류드링크","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","석류농축액","당류가공품","구연산(결정)","구연산삼나트륨","수크랄로스","아세설팜칼륨","비타민 C(고시형)","락색소","효소처리스테비아","합성향료","합성향료","합성향료","정제수","","당시럽","","","","","","락색소LA","스테비텐루틴","석류향","석류향","석류향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2922","품목보고번호20100543066645","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명썬키스트 석류드링크","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"정제수","당시럽","구연산","석류농축액","합성향료","비타민C","락색소","구연산삼나트륨","아세설팜칼륨","수크랄로스","효소처리루틴",NA,NA,"","","","이스라엘산,배합함량:석류 100%,석류과즙 환원기준 1%","석류향","","","","감미료","감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2921","품목보고번호20100543066275","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한캔:24개월, 병,PET :12개월","제품명썬키스트 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","백설탕","구연산","젖산칼슘","구연산삼나트륨","비타민C","젤란검","치자청색소","홍화황색소","정제수","과.채가공품","과.채가공품","당시럽","합성향료","","","","","","","","","","알로에 베라겔","알로에베라겔 파우더","","청포도향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2920","품목보고번호20020623009858","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명썬키스트 허니유자","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","유자청징농축액","유자농축액","당시럽","사양벌꿀","구연산(결정)","비타민C","구연산삼나트륨","홍화황색소","효소처리루틴","아세설팜칼륨","수크랄로스","유자향","카로틴베이스 35468","51˚Bx","유자농축액C(46.7˚Bx)","67˚Bx","","","","","","스테비텐루틴","","","유자향","","14","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2919","품목보고번호20020623009865","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명썬키스트 후레쉬 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","알로에베라겔분말","알로에베라겔즙","당시럽","치자황색소","홍화황색소","비타민C","젤란검","설탕","구연산삼나트륨","젖산칼슘","구연산(결정)","청포도향","청포도향","알로에베라겔파우더","알로에베라겔","67˚Bx","","","","","","","","","청포도향","청포도향","14","청포도향","청포도향","15","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2918","품목보고번호19970464172114","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명썬톤에프","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","백설탕","비타민B1염산염","비타민B2","비타민B6염산염","비타민C","판토텐산칼슘","L-라이신염산염","구연산삼나트륨","L-아르기닌","생로얄젤리","니코틴산아미드","구연산","글리신",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","L-글루타민산나트륨",NA,"15","이노시톨",NA,"16","17","18","19","20","21","22","타우린","농축사과과즙","저당","파인향","레몬라임향","허브향","정제수",NA,NA,NA,NA,NA,NA,NA
"7","번호2917","품목보고번호200102751347","업소명김용범박사 키토산","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명쎌-업","분류식품","업체명","김용범박사 키토산","소재지","경기도 성남시 중원구 갈마치로 302(상대원동, 우림라이온스밸리5차 1607호)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"키토산분말","글루코사민","키토올리고당(고시형)","매실발효액","자일리톨","만리톨","현미식초","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2916","품목보고번호2011049800315","업소명(주)메트로비앤에프","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명쏘쿨 망고","분류식품","업체명","(주)메트로비앤에프","소재지","전라북도 임실군 관촌면 관진로 112-4","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,"정제수","백설탕","검 베이스 혼합제제","DL-사과산","젖산칼슘","망고퓌레","망고향",NA,NA,NA,NA,NA,NA,"","","카라기난, 젤란검, 로커스트콩검, 구연산삼나트륨, 염화칼륨, 잔탄검, 덱스트린","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2915","품목보고번호2011049800314","업소명(주)메트로비앤에프","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명쏘쿨 요구르트맛","분류식품","업체명","(주)메트로비앤에프","소재지","전라북도 임실군 관촌면 관진로 112-4","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","검 베이스 혼합제제","DL-사과산","젖산칼슘","음료베이스",NA,NA,NA,NA,NA,NA,NA,"","","","","","요-하이",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2914","품목보고번호201104980034","업소명(주)메트로비앤에프","품목유형혼합음료","유통/소비기한12개월","제품명쏘쿨(So cool)","분류식품","업체명","(주)메트로비앤에프","소재지","전라북도 임실군 관촌면 관진로 112-4","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"음료베이스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
