"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13","번호14","번호15","번호16","번호17","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고14","비고15","비고16","비고17"
"1","번호5312","품목보고번호20060445110745","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명나를변화.","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","정제수","L-아르지닌","DL-사과산","L-카르니틴","오르니틴염산염","마카추출분말","블루베리향","효소처리스테비아","산화아연","수크랄로스","","","","","","(뿌리)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5311","품목보고번호2020055928320","업소명농업회사법인(주)동서건강","품목유형혼합음료","유통/소비기한제조일로뷰터 24월","제품명나린수","분류식품","업체명","농업회사법인(주)동서건강","소재지","경상북도 영천시 한방로 269(주1동 작산동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","발효인삼추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5310","품목보고번호2019047302818","업소명영농조합법인 더듬이(벅스푸드)","품목유형혼합음료","유통/소비기한24개월","제품명나만믿어","분류식품","업체명","영농조합법인 더듬이(벅스푸드)","소재지","충청남도 금산군 진산면 사갑길 147-2","1","2","3","4","5","6","7","8","9","10","홍삼추출액","흰점박이꽃무지유충추출물","칡뿌리엑기스","칡달인물","마가목나무껍질추출액","양배추추출액","칡꽃추출물","배농축액","프락토올리고당","대추농축액","고형분 2% 미만","고형분 1% 미만","고형분 1% 미만","고형분 1% 미만(칡순)","고형분 1% 미만","고형분 0.1% 미만","고형분 1% 미만","고형분 50% 이상","","고형분 50% 이상","11","12","13","생강농축액","감초농축액","구연산","고형분 50% 이상","고형분 50% 이상","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5309","품목보고번호201203802663","업소명옥산가음료공장","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명나이스웨더(NICEWEATHER)","분류식품","업체명","옥산가음료공장","소재지","강원도 춘천시 동면 금옥길 136-9","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","발효칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5308","품목보고번호201604670111","업소명주식회사 한광","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명나이스혼합추출액","분류식품","업체명","주식회사 한광","소재지","충청남도 금산군 금산읍 인삼약초로 45(2동 1층 국제시장)","1","2","3","4","5","6","7","8","9","10","약쑥","다미아나잎추출분말","벨벳빈열매","과당","단삼","남가새추출분말","마카","과라나","패각분말","회향","","","벨벳빈분말","","","","","과라나추출분말","","회향분말","11","12","13","대두추출물분말","달맞이꽃종자유분말","옥타코사놀(고시형)","","","","14","15","16","17","비타민C","나이아신(고시형)","L-티로신","젖산철","","","",""
"6","번호5307","품목보고번호201101820851","업소명나노라이프","품목유형혼합음료","유통/소비기한2년","제품명나이아드","분류식품","업체명","나노라이프","소재지","대구광역시 달서구 비슬로542길 46(1층 대곡동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5306","품목보고번호19890445014768","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명나이트콜라겐","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","정제수","히비스커스추출물","콜라겐","액상과당","구연산","구연산삼나트륨","락색소","안식향산나트륨","합성향료","합성향료","","","나노콜라겐","","결정","","","합성보존료","장미향","라일락향","11",NA,NA,"합성향료",NA,NA,"시트러스향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5305","품목보고번호2019051612629","업소명농업회사법인(주)나주시골농장","품목유형혼합음료","유통/소비기한냉장6일, 냉동12개월","제품명나주배찹쌀식혜","분류식품","업체명","농업회사법인(주)나주시골농장","소재지","전라남도 나주시 노안면 이슬촌길 267-7","1","2","3","4","5",NA,NA,NA,NA,NA,"정제수","엿기름","찹쌀","배과즙","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5304","품목보고번호2001043909822","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터PET,PE12개월","제품명나처럼","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"산소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","먹는물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5303","품목보고번호2001043909839","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명나처럼","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
