"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호441","품목보고번호19800415004408","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일부터 (Can) 2년","제품명핑크온","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","설탕","프락토올리고당","기타소금","과.채가공품","구연산","구연산삼나트륨","젖산칼슘","염화마그네슘","염화칼륨","합성향료","합성향료","수크랄로스","혼합제제","혼합제제","정제수","","","히말라야암염","복숭아농축액","","","","","","복숭아향","리치향","","아미노액티브 BCAA","화이트클라우디","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호440","품목보고번호20070443110476","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명핑크온","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","설탕","프락토올리고당","구연산","복숭아농축액","복숭아향","기타소금","염화칼륨","구연산삼나트륨","리치향","혼합제제","혼합제제","젖산칼슘","염화마그네슘","수크랄로스","","","","","","","히말라야암염","","","","아미노액티브 BCAA","화이트 크라우디","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호439","품목보고번호20100543066762","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명핑크피치","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"정제수","설탕","알로에베라겔즙","복숭아농축액","합성향료","구연산","젖산칼슘","젤란검","적양배추색소","블랙커런트색소","구연산삼나트륨","자당지방산에스테르","천연향료",NA,NA,"","","태국산/알로에베라주스54.9%,알로에베라45%,구연산0.1%","미국산/배합함량:복숭아100%","복숭아향","","","","","","","","천연복숭아향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호438","품목보고번호2013041505279","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명하나미 콜라겐 앰플","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","콜라겐가수분해물","과당","석류농축액","자몽농축액","라즈베리농축액","이소말토올리고당","DL-사과산","석류향","자몽향","덱스트린 혼합","돼지태반분말","비타민C","황금혼합추출물","효소처리스테비아","","콜라겐펩타이드","결정과당","","","","","","향료","향료","MSX-1MF","돈태반발효추출물","","복합황금추출물-2","","16","17","18","19","20","21","22","23","24","25","염화마그네슘","젤란검","염화칼륨","병풀추출","포도당","히알루론산","우유단백질","엘라스틴가수분해물","젖산칼슘","연어이리추출물","","켈코겔 엘티100","","병풀추출물분말, 사용가능부위 : 잎","","히알루론산-KD, 히알루론산혼합제제","","PROLASTIN, 엘라스틴","","연어이리추출물분말, 연어정소추출물분말"
"5","번호437","품목보고번호200605561321","업소명(주)하늘마당","품목유형혼합음료","유통/소비기한제조일로부터 12월까지","제품명하늘","분류식품","업체명","(주)하늘마당","소재지","경상북도 상주시 화북면 문장로 2243-22","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호436","품목보고번호20070443110276","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명하늘 가득 유자레몬","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"과.채가공품류","레몬농축과즙","백설탕","구연산","비타민C","합성향료","합성향료","합성향료","홍화황색소","정제수",NA,NA,NA,NA,NA,"유자퓨레","","","","","유자향(TF-)","유자향(SK-)","시트러스 향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호435","품목보고번호1999046705055","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한24개월","제품명하늘샘 블루베리 선물세트","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"블루베리농축액","고과당","백설탕","포도농축액","구연산","구연산삼나트륨","카르복시메틸셀룰로오스나트륨","액상카라멜","그레이프색소","블루베리향","안식향산나트륨","DL-사과산","아세설팜칼륨","정제수",NA,"0.542Brix(미국산)","액상과당","정백당","","","","C.M.C(증점제)","","그레이프칼라","합성착향료","합성보존료","","합성감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호434","품목보고번호1999046705046","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명하늘샘 산수유","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","산수유농축액","사과농축액","대추농축액","복분자농축액","백설탕","함수포도당","구연산","구연산삼나트륨","카르복시메틸셀룰로오스나트륨","산수유향","아세설팜칼륨","자일리톨","안식향산나트륨","카라멜액","정제수","배합함량60%,국산","배합함량20.01%,칠레산","고형분35%이상,국산","고형분30%이하,국산","정백당","","산도조절제","산도조절제","증점제","합성향료","감미료","","보존료","액상카라멜","","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"체리레드색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호433","품목보고번호1999046705056","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한24개월","제품명하늘샘 산수유 선물세트","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","산수유농축액","백설탕","함수포도당","사과농축액","구연산","대추농축액","복분자농축액","산수유향","카르복시메틸셀룰로오스나트륨","구연산삼나트륨","자일리톨","체리레드색소","액상카라멜","안식향산나트륨","아세설팜칼륨","0.542Brix(국내산)","정백당","","","","","","합성착향료","C.M.C(증점제)","","","체리칼라","","","","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호432","품목보고번호1999046705075","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한2년","제품명하늘샘 아로니아 선물세트","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","아로니아농축액","과당","포도농축액","백설탕","구연산","배농축액","구연산삼나트륨","카르복시메틸셀룰로오스나트륨","카라멜액","체리레드색소","아로니아향","DL-사과산","안식향산나트륨","아세설팜칼륨","정제수","2.5 brix(폴란드산)","액상과당","","정백당","","","","C.M.C(증점제)","액상카라멜","체리칼라","합성착향료","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
