"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11"
"1","번호2723","품목보고번호2010018127943","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명아이스톡 블루베리에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","포도농축액","블루베리농축액","구연산","아세설팜칼륨","메타인산나트륨","식용색소적색제40호","식용색소청색제1호","블루베리향","블루베리향2","","","68 Brix","65  Brix","함수","감미료","산도조절제","합성착색료","합성착색료","합성착향료","합성착향료"
"2","번호2722","품목보고번호20090473152463","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명아이스톡 블루베리에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","포도농축액","블루베리농축액","구연산","블루베리향","블루베리향2","아세설팜칼륨","메타인산나트륨","식용색소적색제40호","식용색소청색제1호","","","68Brix","65Brix","함수","합성착향료","합성착향료","감미료","산도조절제","합성착색료","합성착색료"
"3","번호2721","품목보고번호2010018127950","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18 개월","제품명아이스톡 석류에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","백설탕","석류농축액","구연산","구연산삼나트륨","아세설팜칼륨","식용색소적색제40호","석류향","석류향",NA,NA,"","","고형분 65% 이상","함수","","감미료","합성착색료","합성착향료","합성착향료",NA,NA
"4","번호2720","품목보고번호20090473152462","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명아이스톡 석류에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","백설탕","석류농축액","구연산","석류향","석류향","구연산삼나트륨","아세설팜칼륨","식용색소적색제40호",NA,NA,"","","고형분65%이상","함수","합성착향료","합성착향료","","감미료","합성착색료",NA,NA
"5","번호2719","품목보고번호2010018127962","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18 개월","제품명아이스톡 수박에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","수박농축액","백설탕","수크랄로스","구연산","구연산삼나트륨","식용색소적색제40호","수박향","수박향","시트러스향",NA,"","","","감미료","함수","","착색료","합성향료","합성향료","합성향료",NA
"6","번호2718","품목보고번호20090473152464","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명아이스톡 수박에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10",NA,"정제수","백설탕","수박농축액","수박향","수박향","시트러스향","수크랄로스","구연산","구연산삼나트륨","식용색소적색제40호",NA,"","","","합성향료","합성향료","합성향료","감미료","함수","","착색료",NA
"7","번호2717","품목보고번호2010018127974","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명아이스톡 제로 레몬에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","레몬농축액","에리스리톨","구연산","아세설팜칼륨","정제소금","수크랄로스","라임향","자몽향","시트러스향",NA,"","","","함수","","","","F-21578A","F-22834","JS-20304",NA
"8","번호2716","품목보고번호20090473152472","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명아이스톡 제로 레몬에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10",NA,"정제수","에리스리톨","구연산","라임향","수크랄로스","레몬농축액","아세설팜칼륨","정제소금","시트러스향","자몽향",NA,"","","함수","F-21578A","","","","","JS-20304","F-22834",NA
"9","번호2715","품목보고번호20090473152471","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명아이스톡 제로 복숭아아이스티","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","정제수","에리스리톨","구연산","복숭아향","복숭아향","홍차추출분말","아세설팜칼륨","복숭아농축액","수크랄로스","정제소금","당시럽","","","함수","F-23002","F-21033","","","","","","카라멜"
"10","번호2714","품목보고번호2010018127973","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명아이스톡 제로 복숭아아이스티","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","11","정제수","복숭아농축액","홍차추출분말","에리스리톨","구연산","정제소금","당시럽","아세설팜칼륨","수크랄로스","복숭아향","복숭아향","","","","","함수","","카라멜","","","F-23002","F-21033"
