"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호421","품목보고번호19970368029324","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명하늘청 전통식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","곡류가공품","백설탕","쌀","소스류","비타민C","정제수","엿기름추출액(역기름21.05%,정제수78.95%)","","","살균제품, 생생강농축액(생생강추출액98.18%,말토덱스트린1.27%,정제염0.55%)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호420","품목보고번호19970368029351","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명하늘청감주","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,NA,"정제수","기타 농산가공품","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호419","품목보고번호19970368029313","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명하늘청수정과오리지날","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","정제수","백설탕","계피추출액","기타설탕","생강","곶감","정제수","백설탕","계피추출액","흑설탕","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호418","품목보고번호19970368029257","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명하늘청식혜오리지날","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,NA,"기타 농산가공품","백설탕","쌀","정제수",NA,NA,"엿기름추출액","","국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호417","품목보고번호19970368029290","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명하늘청유기농식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,NA,"정제수","곡류가공품","백설탕","쌀",NA,NA,"","유기농엿기름추출액","유기농백설탕","유기농쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호416","품목보고번호19970368029393","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명하늘청혜미식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,NA,"정제수","기타 농산가공품","백설탕","쌀",NA,NA,"","엿기름추출액","","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호415","품목보고번호20090435035151","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한1년","제품명하니베리금강송","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","6","소나무잎추출액","프락토올리고당","구연산삼나트륨","자일리톨","비타민C","타우린","금강송추출액","","","","","","7","8","9","당류가공품","댕댕이나무열매추출액","정제수","유기농아가베시럽","60brix 이상","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호414","품목보고번호20110084489369","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명하드맨파워","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","정제수","L-아르지닌","구연산","열대과일혼합농축액","타우린","기타가공품","","","함수구연산","","","녹용엑기스분말","7","8","9","효소처리스테비아","열대과일향","비타민C","","혼합제제","","10","11","12","13","14","15","16","17","18","19","20","21","산화아연","기타가공품","잔탄검","니코틴산아미드","흑효모배양액분말","밀크씨슬분말","마카추출분말","비타민B1염산염","혼합제제","오르니틴염산염","수박분말","L-아스파트산","","복합황금추출물","","","","유기농 밀크씨슬 분말","마카추출물분말","","비타민B12혼합제제","","수박추출분말",""
"9","번호413","품목보고번호19890445014838","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명하루 석류 골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","석류농축액","액상과당","구연산","효소처리스테비아","카복시메틸셀룰로스나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호412","품목보고번호19890445014839","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명하루 석류 실버","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","석류농축액","액상과당","구연산","효소처리스테비아","카복시메틸셀룰로스나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
