"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","번호21","번호22","번호23","번호24","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고20","비고21","비고22","비고23","비고24","번호25","번호26","번호27","번호28","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고25","비고26","비고27","비고28"
"1","번호2853","품목보고번호20060445110747","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르맥스7000","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","L-아르지닌","구연산","프락토올리고당","베리혼합농축액","타우린","마카추출분말","천연블루베리향","효소처리스테비아","천연라즈베리향","산화아연","감귤추출물","수크랄로스","비타민B1질산염","비타민B2","비타민B6염산염","니코틴산아미드","판토텐산칼슘","비타민C","","","","","","","(뿌리)","","","","","감귤류추출물","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2852","품목보고번호2020042406545","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르맨 플러스(ARMAN PLUS)","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","L-아르지닌","구연산","사양벌꿀","혼합제제","라즈베리농축액","블루베리주스농축액","효소처리스테비아","비타민C","오르니틴염산염","수박추출물","글루콘산아연","맥아추출액","L-아스파트산","기타가공품","니코틴산아미드","수크랄로스","기타가공품","비타민B1염산염","","","무수구연산","","블루베리향","","","","","","수박추출분말","","맥아추출물","","복합황금추출물","","","황기추출물분말","","20","21","22","23","24","혼합제제","건조효모(셀렌함유)","곡류효소함유제품","기타가공품","엽산","비타민B12혼합제제","","현미발효효소분말","민들레추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2851","품목보고번호20040275056526","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르맨(ARMAN)","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","L-아르지닌","구연산","라즈베리농축액","블루베리농축액","효소처리스테비아","비타민C","혼합제제","펙틴","글루콘산아연","황금혼합추출물","비타민B12, 혼합제제","비타민B1염산염","건조효모","니코틴산아미드","엽산","기타가공품","곡류효소함유제품","기타가공품","","","","","","스테비텐후레쉬","","블루베리향","펙틴jmj","","복합황금추출물","","","랄민 에스 1000","","","황기추출물분말","현미발효효소분말","민들레추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2850","품목보고번호19730380010526","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명아르바이오","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"블루베리주스농축액","L-아르지닌","프락토올리고당","구연산","과.채가공품","기타가공품","효소처리스테비아","기타가공품","비타민C","산화아연","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","제품명: 크랜베리농축분말","제품명: 열처리혼합유산균3종 (유산균사균체분말)","제품명: 레바텐 프리미엄","제품명: 블랙마카추출물","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2849","품목보고번호20110084489452","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르비스 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,"정제수","L-아르지닌","구연산","에리스리톨","망고농축액","DL-사과산","레몬농축액","효소처리스테비아","애플망고향","레몬향","기타가공품","타우린","비타민B1염산염","비타민B6염산염","혼합제제","글루콘산아연","니코틴산아미드","오르니틴염산염",NA,"","","함구수연산","","","","","","합성향료","천연향료","복합황금추출물","","","","비타민B12혼합제제","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2848","품목보고번호20030415157540","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르지닌 & BCAA (Arginine & BCAA)","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,"정제수","레드자몽농축액","프락토올리고당","L-아르지닌","아미노산혼합제제","타우린","구연산(무수)","에리스리톨","효소처리스테비아","자몽향","레몬향","식물혼합추출물","잔탄검","과라나추출물분말","비타민 B6(고시형)","비타민 B12(고시형)",NA,NA,NA,"","","","","","","","","","","","복합마늘추출물","","","비타민B6염산염","비타민B12혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2847","품목보고번호20110149027397","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르지닌 파워","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,"L-아르지닌","구연산(무수)","청포도농축액","오르니틴염산염","비타민C","타우린","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","정제수","마카농축액분말","산화아연",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2846","품목보고번호2021060692853","업소명주식회사 청담","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르지닌 파워","분류식품","업체명","주식회사 청담","소재지","경상남도 양산시 어실로 353-3(어곡동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-아르지닌","구연산(무수)","청포도농축액","오르니틴염산염","비타민C","타우린","기타가공품","마카농축액분말","산화아연","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","푸드겔(로커스트콩검,잔탄검,분말한천,타마린드검,카라기난)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2845","품목보고번호20040275056733","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르지닌플렉스","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","L-아르지닌","프락토올리고당","구연산","망고농축퓌레","에리스리톨","석류농축액","오르니틴염산염","레몬농축액","레몬향","타우린","효소처리스테비아","글루콘산아연","망고향","L-카르니틴","펙틴","황금혼합추출물","니코틴산아미드","판토텐산칼슘","","","","함수구연산","망고농축퓨레","","","","","레몬향#6(혼합제제)","","스테비텐후레쉬","","혼합제제","","펙틴jmj","복합황금추출물","","","20","21","22",NA,NA,"비타민B1염산염","비타민B2","엽산",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2844","품목보고번호20040275056582","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명아르칸","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","L-아르지닌","구연산(무수)","L-카르니틴","과.채가공품","세븐베리농축액","L-아스파트산","타우린","L-메티오닌","베타인","주석산수소콜린","펙틴","체리향","비타민C","아티초크추출분말","울금추출물분말","사철쑥추출물분말","건조효모(셀렌함유)","니코틴산아미드","","","","","다크스위트체리농축액","","L-아스파르트산","","","","","","","","","울금추출분말","인진쑥추출분말","건조효모(SE 1000)","","20","21","22","23","24","수크랄로스","비타민B12혼합분말","비타민B1염산염","판토텐산칼슘","비타민B2","감미료","비타민B12혼합제제","","","","25","26","27","28","비타민B6염산염","산화아연","엽산","비오틴","","","",""
