"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호4464","품목보고번호19880607021215","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명맛있게 배부른 곤약젤리 딸기","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","에리스리톨","딸기농축액","합성향료","카라기난","구연산","구연산삼나트륨","젖산칼슘","염화칼륨","잔탄검","로커스트콩검","곤약분말","효소처리스테비아","보이차추출물분말","히비스커스추출분말","수크랄로스","젤란검","정제수","자몽종자추출물","","딸기농축액(고형분55%)","딸기향","","","","","","","","","","","","","","",""
"2","번호4463","품목보고번호19880607021208","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명맛있게 배부른 곤약젤리 망고","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","에리스리톨","망고농축액","망고향분말","구연산","젤란검","잔탄검","로커스트콩검","곤약분말","구연산삼나트륨","젖산칼슘","효소처리스테비아","보이차추출물분말","히비스커스추출분말","수크랄로스","카라기난","염화칼륨","자몽종자추출물","","","","","","","","","","","","","보이차추출분말","","","","",""
"3","번호4462","품목보고번호19880607021214","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명맛있게 배부른 곤약젤리 블러드오렌지","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","에리스리톨","오렌지농축액","카라기난","구연산","구연산삼나트륨","젖산칼슘","염화칼륨","합성향료","잔탄검","로커스트콩검","곤약분말","효소처리스테비아","보이차추출물분말","히비스커스추출분말","수크랄로스","젤란검","정제수","자몽종자추출물","","블러드오렌지 농축액(고형분40%)","","","","","","오렌지향,망고향,리치향","","","","","","","","","",""
"4","번호4461","품목보고번호19880607021209","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명맛있게 배부른 곤약젤리 파인애플","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","에리스리톨","파인애플농축액","파인애플향분말","구연산","젤란검","잔탄검","로커스트콩검","곤약분말","구연산삼나트륨","젖산칼슘","효소처리스테비아","보이차추출물분말","히비스커스추출분말","수크랄로스","카라기난","염화칼륨","자몽종자추출물","","","","","","","","","","","","","보이차추출분말","","","","",""
"5","번호4460","품목보고번호19880607021203","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명맛있게 배부른 곤약젤리 포도","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","에리스리톨","포도농축액","청포도향","구연산","젤란검","잔탄검","로커스트콩검","곤약분말","구연산삼나트륨","젖산칼슘","효소처리스테비아","보이차추출물분말","히비스커스추출분말","수크랄로스","염화칼륨","카라기난","자몽종자추출물","","","적포도농축액","청포도향분말","","","","","","","","","보이차추출분말","","","","",""
"6","번호4459","품목보고번호20110084489240","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명맛있게쭈욱","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,"정제수","에리스리톨","아로니아추출물","혼합제제","블루베리농축액","구연산","블루베리향","서류가공품","감귤농축과즙액","비타민C","수크랄로스",NA,NA,NA,NA,NA,NA,NA,"","","","푸드겔H","","함수구연산","","곤약검","","","",NA,NA,NA,NA,NA,NA,NA
"7","번호4458","품목보고번호2011035599956","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명맛있는 곤약젤리 레몬","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"레몬농축액","당류가공품","에리스리톨","아세설팜칼륨","수크랄로스","검베이스","구연산(무수)","비타민C","천연착향료(Lemon)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"이스라엘산(59브릭스)","액상알룰로스","중국산","","","","중국산","중국산","","",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4457","품목보고번호2011035599957","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명맛있는 곤약젤리 망고","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"망고농축액","당류가공품","에리스리톨","아세설팜칼륨","수크랄로스","검베이스","구연산(무수)","비타민C","망고향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"이스라엘산","액상알룰로스","중국산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4456","품목보고번호20140443099276","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명맛있는 곤약젤리 망고","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"에리스리톨","혼합제제","망고향","구연산","망고농축액","비타민C","구연산삼나트륨","젖산칼슘","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","검믹스#34026","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4455","품목보고번호20140443099277","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명맛있는 곤약젤리 복숭아","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"에리스리톨","혼합제제","복숭아향","구연산","복숭아농축액","비타민C","구연산삼나트륨","젖산칼슘","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","검믹스#34026","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
