"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고3","비고4","비고5","비고6","비고7","비고8","비고9"
"1","번호4237","품목보고번호19740344001135","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명미닛메이드 프리미엄 알로에 플러스 원제 제2부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","알로에향","프로필렌글리콜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4236","품목보고번호19740344001268","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명미닛메이드 프리미엄 토마토 플러스 원제 제2부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","토마토향","토마토향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4235","품목보고번호19740344001156","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미닛메이드 프리미엄 포도Ca 원제 제3B부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","카라멜섹소","프로필렌글리콜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4234","품목보고번호20020623009879","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미닛메이드 플라워 벚꽃&사과","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","정제수","당시럽","","","3","4","5","6","7","8","9","과.채가공품","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","천연향료","사과농축과즙(70Brix)","미닛메이드 플라워 벚꽃&사과 원제 제1A부","미닛메이드 플라워 벚꽃&사과 원제 제1C부","네오쿠라 NO.32324 (정제수,아라비아검,프로필렌글리콜, 자당지방산에스티르, 식용유지, 식염, 로진, 인산, 천연향료)","라이코펜 베이스 NO.36004(정제수, 프로필렌글리콜, 가티검, 소금, 토마토색소, 비타민C, 구연산, 합성향료)","미닛메이드 플라워 벚꽃&사과 원제 제2A부","천연향료(벚꽃추출물)NO.19691"
"5","번호4233","품목보고번호20010515081361","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한12개월","제품명미닛메이드 플라워 벚꽃&사과","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","정제수","당시럽","","67% 고형분","3","4","5","6","7","8","9","사과농축액","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제","천연향료","70 Brix","미닛메이드 플라워 벚꽃&사과 원제 제1A부","미닛메이드 플라워 벚꽃&사과 원제 제1C부","네오쿠라 NO.32324","라이코펜 베이스 NO.36004","미닛메이드 플라워 벚꽃&사과 원제 제2A부","벚꽃추출물, NO19691"
"6","번호4232","품목보고번호19740344001269","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명미닛메이드 후레쉬 믹스 사과 리치 원제 제2A부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","사과향","리치향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4231","품목보고번호20020623009820","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한9개월","제품명미닛메이드벌꿀유자","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","당시럽","유자농축과즙액","","유자농축과실즙","3","4","5","6","7","8",NA,"벌꿀","식품첨가물혼합제제","유자향","유자향","식품첨가물혼합제제","정제수",NA,"","미닛메이드 벌꿀유자 원제 제1부(구연산,비타민C)","천연향료","합성향료","마리골드베이스(정제수,아라비아검,프로필렌글리콜,자당지방산에스테르,코코넛오일,정제소금,마리골드색소,비타민C,인산.d-토코페롤(혼합형))","",NA
"8","번호4230","품목보고번호2014021650614","업소명(주)물마루","품목유형혼합음료","유통/소비기한제조일로부터2년까지","제품명미다수","분류식품","업체명","(주)물마루","소재지","광주광역시 서구 월드컵4강로112번길 7(1층 화정동)","1","2","지하수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4229","품목보고번호19890449002140","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명미담은 이화 드림초 아로니아 허니","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","음료베이스","정제수","미담은 이화 아로니아초","","3",NA,NA,NA,NA,NA,NA,"혼합제제",NA,NA,NA,NA,NA,NA,"크랜베리향 TF-31706",NA,NA,NA,NA,NA,NA
"10","번호4228","품목보고번호1980053801824","업소명남양유업주식회사 경주공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미담은 이화 드림초 아로니아 허니","분류식품","업체명","남양유업주식회사 경주공장","소재지","경상북도 경주시 산업로 4443-7(용강동)","1","2","음료베이스","크랜베리향","미담은 이화 아로니아초 허니","TF-31706","3",NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
