"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","성분 및 원료19","비고19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호2863","품목보고번호19860443015528","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌 포우먼 S3000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","L-아르지닌","프락토올리고당","구연산(무수)","블루베리농축액","분말결정포도당","혼합제제","기타가공품","비타민C","효소처리스테비아","황금혼합추출물","수크랄로스","글루콘산아연","석류농축액","생선콜라겐","옥수수수염추출분말","L-카르니틴","히비스커스추출물","정제수","L-아르기닌","올리고당","구연산","","무수분말결정포도당, 포도당","블루베리향","수박과피추출물분말","","","복합황금추출물","","","","피쉬콜라겐, 피쉬콜라겐펩타이드","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2862","품목보고번호20110084489392","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르기닌 포텐 UP","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","L-아르지닌","구연산(무수)","Red grape농축액","레몬농축액","블루베리주스농축액","효소처리스테비아","비타민C","아미드펙틴","천연향료","혼합제제","기타가공품","액상차","타우린","글루콘산아연","프로테아제(식물성)","기타가공품","추출가공식품","","","","적포도농축액","","블루베리쥬스농축액","","","","천연레몬향","블루베리향","복합황금추출물","히비스커스추출액","","","","병풀추출분말","마카추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2861","품목보고번호20060445110663","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌 플러스 6000","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,"정제수","L-아르지닌","구연산","시클로덱스트린시럽","파인애플농축액","용설란시럽","혼합과일향","효소처리스테비아","타우린","감귤류추출액","수크랄로스","산화아연","복분자딸기과즙분말","비수리추출분말","비타민B2","비타민C","마카추출분말",NA,"","","","","","아가베시럽","","","","감귤류추출물","","","","비수리(야관문)추출분말","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2860","품목보고번호20130358242437","업소명주식회사 이수바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명아르기닌콜라겐","분류식품","업체명","주식회사 이수바이오","소재지","경기도 이천시 신둔면 증신로 517-11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","L-아르지닌","구연산(무수)","콜라겐","시클로덱스트린","석류농축액","DL-사과산","효소처리스테비아","석류향","비타민C","건조효모(셀렌함유)","산화아연","기타가공품","히알루론산혼합제제","기타가공품","석류농축분말","레몬밤잎추출분말","비타민B1염산염","","","무수구연산","","","","","","","","","","복합황금추출물","","밀크세라마이드","","레몬밤추출분말","","19","비타민B2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2859","품목보고번호20060445110721","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌프리미엄7000","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","L-아르지닌","구연산","DL-사과산","이소말토올리고당","효소처리스테비아","블루베리향","타우린","비타민C","수박추출물","베리혼합농축액","맥아추출액","감귤추출물","니코틴산아미드","글루콘산아연","판토텐산칼슘","마카추출분말","아미노산혼합분말","","","","","","","","","","수박과피추출물분말","","맥아추출물","감귤류추출물","","","","","","19","복분자딸기과즙분말","","20","21","22","23","24","25","비타민B12","비타민B6염산염","비타민B1염산염","비타민B2","엽산","건조효모(비오틴 함유)","비타민B12혼합분말(혼합제제)","","","","","건조효모(비오틴)"
"6","번호2858","품목보고번호20090435035228","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명아르기밤 맥스","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"정제수","L-아르지닌","세븐베리농축액","L-아스파트산","구연산(무수)","프락토올리고당(고시형)","효소처리스테비아","D-소비톨","크랜베리향","비타민 C(고시형)","글루콘산아연(고시형)","헛개나무과병추출분말(기능성원료인정제2016-10호)","타우린","니코틴산아미드(고시형)","비타민 B1염산염(고시형)",NA,NA,NA,"","","","","","액상","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2857","품목보고번호20110084489364","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르긴포스","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","L-아르지닌","구연산(무수)","Red grape농축액","레몬농축액","블루베리주스농축액","효소처리스테비아","비타민C","아미드펙틴","천연향료","혼합제제","기타가공품","액상차","타우린","글루콘산아연","프로테아제(식물성)","기타가공품","추출가공식품","","","","적포도농축액","","블루베리쥬스농축액","","","","천연레몬향","블루베리향","복합황금추출물","히비스커스추출액","","","","병풀추출분말","마카추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2856","품목보고번호20040275056725","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명아르긴핏","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","L-아르지닌","프락토올리고당","구연산","세븐베리농축액","석류농축액","레몬농축액","효소처리스테비아","비타민C","타우린","석류향","레몬향","황금혼합추출물","펙틴","콜라겐","L-카르니틴","비타민B1염산염","판토텐산칼슘","","","","함수구연산","","","","스테비텐후레쉬","","","혼합제제","혼합제제","복합황금추출물","펙틴JMJ","저분자피쉬콜라겐펩타이드(Low Molecular Fish Collagen Peprides)","엘-카르니틴","","","19","L-아스파트산","L-아스파르트산","20","21","22","23","24",NA,"아미노산혼합분말","니코틴산아미드","비타민B6염산염","비타민B2","비오틴",NA,"아미노믹스(혼합제제)","","","","",NA
"9","번호2855","품목보고번호20110149027391","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르니틴 프로 7700","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,"정제수","L-아르지닌","구연산(무수)","블루베리농축액","포도농축액","비타민C","효소처리스테비아","헛개나무열매추출분말","비수리추출분말","수크랄로스","구연산삼나트륨","분말비타민B","타우린","히알루론산","비타민C","오르니틴염산염","아미노산혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2854","품목보고번호200703582241203","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르맥스 7000","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","L-아르지닌","정제수","구연산(무수)","DL-사과산","과.채가공품","타우린","천연향료","효소처리스테비아","기타가공품","기타가공품","글루콘산아연","기타가공품","기타가공품","기타가공품","과.채가공품","과.채가공품","과.채가공품","비타민C","","","","","세븐베리농축액","","믹스베리향(천연베리믹스향)","","마카추출분말(제한적사용가능부위 : 뿌리)","올리브오일 혼합액","","오자추출분말","과라나추출물분말","민들레추출물분말(민들레엑기스분말)","크랜베리농축액분말","토마토엑기스분말","마늘추출농축분말","","19","수크랄로스","","20",NA,NA,NA,NA,NA,"홍삼(고시형)",NA,NA,NA,NA,NA,"발효홍삼농축액분말",NA,NA,NA,NA,NA
