"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호3270","품목보고번호20030415157503","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명셀로맥스 활력비책 에픽","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","식물혼합농축액","물엿","시클로덱스트린시럽","홍삼농축액(고시형)","동결건조로얄젤리분말","사양벌꿀","누에고치단백가수분해물","헴철(고시형)","잔탄검","구연산","녹혈분말","젤라틴","돼지태반추출분말","황금혼합추출물","침향나무수지가침착된수간목오일","","","","","","효소처리로얄젤리분말","","실크펩타이드","","","","","당나귀젤라틴","돈태반추출분말","복합황금추출물","침향오일",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3269","품목보고번호20030415157438","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 활력비책 프리미엄","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,"정제수","식물혼합농축액","시클로덱스트린시럽","홍삼농축액(고시형)","동결건조로얄젤리분말","결정과당","액상포도당","사양벌꿀","잔탄검","철(고시형)","구연산","황금혼합추출물",NA,NA,NA,NA,"","","","","효소처리로얄젤리분말","","포도당액","","","헴철","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3268","품목보고번호19860443015283","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 황실비급","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","프락토올리고당","시클로덱스트린시럽","침향나무수지가침착된수간목추출액","Red grape농축액","오자농축액","발효홍삼농축액","블루베리농축액","로얄젤리분말","과라나추출물분말","파인애플농축액","구연산(무수)","사과농축액","청포도향","건조맥아추출물","천연향료(Lime)","천연파인애플향","","시클로덱스트린시럽(분말)","침향추출물","적포도농축액","","","","효소처리로얄젤리분말","과라나추출분말","","","","","맥아추출물","천연라임향","","17","18","19","20","21","22","23","황금혼합추출물","이노시톨","잔탄검","녹용발효추출분말","당나귀식용부산물","나한과추출물분말","정제수","복합황금추출물","","산탄검","발효녹용추출분말","당나귀아교분말","",""
"4","번호3267","품목보고번호19860443015438","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명셀로맥스 황제실록","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","시클로덱스트린시럽","프락토올리고당","자일리톨","침향나무수지가침착된수간목추출액","석류농축액","합성향료","돼지태반추출분말","베타인","기타가공품","마카추출분말","노니농축액","호로파종자추출물(TestofenⓇ)(기능성원료인정제2019-15호)","흑마늘농축액","구연산(무수)","황금혼합추출물","","","","","침향추출액","","석류향","돈태반추출분말","","실크펩타이드","","노니추출농축액","호로파종자추출물","유산균발효흑마늘농축액","","복합황금추출물","17","18","19",NA,NA,NA,NA,"과.채가공품","인삼농축액","효소처리스테비아",NA,NA,NA,NA,"오르젠비에스","","",NA,NA,NA,NA
"5","번호3266","품목보고번호201904470371","업소명(주)메디퓨처","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명셀비타민C","분류식품","업체명","(주)메디퓨처","소재지","충청북도 옥천군 옥천읍 의료단지길 79(옥천의료기기 보육센터)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"레시틴","비타민 C 분말","올리고당","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3265","품목보고번호20060445110737","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명셀스타 멀티콜라겐","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","프락토올리고당","쌍화농축액","생선콜라겐","강황추출물분말","쌍화향","DL-사과산","히알루론산","맥아추출액","효소처리스테비아","엘라스틴가수분해물","비타민C","쇠무릅뿌리추출분말","양배추농축분말","과일혼합분말","야채혼합농축분말","","","","저분자피쉬콜라겐","(뿌리줄기)","","","","맥아추출물","","","","발효우슬추출분말(뿌리)","","유기농과일혼합분말","","17","18",NA,NA,NA,NA,NA,"비타민혼합분말","황금추출물",NA,NA,NA,NA,NA,"","복합황금추출물",NA,NA,NA,NA,NA
"7","번호3264","품목보고번호20190424104104","업소명엔에이치씨바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀크레스트(CELL CREST)","분류식품","업체명","엔에이치씨바이오텍(주)","소재지","충청북도 청주시 흥덕구 오송읍 오송생명9로 185(1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","연어이리추출물","에리스리톨","생선콜라겐","펙틴","비타민C","요거트향분말","젤라틴","젖산칼슘","구연산","나한과추출물분말","건조효모(셀렌함유)","발효홍삼농축액","상어연골추출물분말","카카오색소","히알루론산혼합제제","정제수","","","","","","","","","","","","","","","","","17","18","19","20",NA,NA,NA,"레몬향","비타민믹스혼합제제","혼합제제","레몬향분말",NA,NA,NA,"","","검믹스","",NA,NA,NA
"8","번호3263","품목보고번호200703720228","업소명숭인내추럴팜 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명셀크린A","분류식품","업체명","숭인내추럴팜 주식회사","소재지","경기도 포천시 일동면 영일로764번길 57","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"식물혼합추출액","매실농축액","V-C","구연산","황산마그네슘","프락토올리고당","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3262","품목보고번호20030415157485","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀플렉스 키즈(CELLFLEX KIDS)","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"정제수","당류가공품","팔라티노스","블랙엘더베리농축액","베리향","나한과농축액","황금혼합추출물","잔탄검","레몬농축액","아미노산혼합분말","굴껍질","인디안구스베리추출물분말","과일채소혼합분말",NA,NA,NA,"","듀올리고M","","엘더베리농축액","믹스베리향","","복합황금추출물","","","","굴각칼슘","암라","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3261","품목보고번호1989052801081","업소명보해양조(주) 장성공장","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명소나무 숲에서 자란 마시는 장흥표고버섯","분류식품","업체명","보해양조(주) 장성공장","소재지","전라남도 장성군 장성읍 보해길 41","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,"표고버섯추출액","액상과당","이소말토올리고당","사과즙","비타민C","구연산","구연산삼나트륨","레몬향","포리스트향","정제수","유자과즙",NA,NA,NA,NA,NA,"1.5Brix","","","10Brix","","","","","","","8Brix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
