"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","번호21","번호22","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고20","비고21","비고22","번호23","성분 및 원료23","비고23"
"1","번호1753","품목보고번호20000360372338","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명이프로부족할때아쿠아제로","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","자몽농축액","사과농축액","레몬농축액","채소혼합농축액","알룰로오스","수크랄로스","아세설팜칼륨","구연산","구연산삼나트륨","정제소금","염화칼륨","젖산칼륨","염화마그네슘","L-글루탐산나트륨","효소처리루틴","혼합제제","천연향료","천연향료","정제수","","","","","","","","","","","","","","","","시트러스향","자몽향1","자몽향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1752","품목보고번호19780614001439","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이프로부족할때자두","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"자두농축액","설탕","구연산","기타소금","효소처리루틴","합성향료","합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"자두청징농축액","","","히말라야핑크솔트","","자두향1","자두향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1751","품목보고번호20000360372283","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한PET-9개월","제품명이프로부족할때자두","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"자두농축액","설탕","구연산","기타소금","효소처리루틴","합성향료","합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"자두청징농축액","","","히말라야핑크솔트","","자두향1","자두향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1750","품목보고번호19780614001227","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터24개월(캔), 12개월(PET)","제품명이프로부족할때포도","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"백포도농축액","액상과당","액상과당","구연산","구연산삼나트륨","포도향3","포도향4","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1749","품목보고번호19970464172336","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명익수 경공단 4.2액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식물혼합추출액","벌꿀","황금혼합추출물","기타과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","잡화벌꿀","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1748","품목보고번호19970464172482","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명익수 침향경공단 4.2액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"동식물혼합추출물","벌꿀","황금혼합추출물","기타과당","구연산","구연산삼나트륨","허브향","잔탄검","침향나무수지가침착된수간목추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","잡화벌꿀","복합황금추출물","","","","한방향(합성향료)","","침향추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1747","품목보고번호20030415157515","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명익스트림 EXTREME 트리플 아르기닌 6200","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","L-아르지닌","구연산","시클로덱스트린시럽","베리혼합농축액","블루베리향","효소처리스테비아","L-카르니틴","오르니틴염산염","산화아연(고시형)","맥아추출물분말","감귤추출물","건조수박열매껍질","수크랄로스","엽산(고시형)","셀레늄(고시형)","퀴노아가루","아미노산혼합분말","복분자엑기스분말","","","","","","","","","L-오르니틴염산염","","맥아추출분말","","수박껍질추출물분말","","","건조효모(셀렌함유)","퀴노아배아발아분말","","","20","21","22","베타카로틴(고시형)","석류농축분말","타우린","","","",NA,NA,NA
"8","번호1746","품목보고번호20040275056877","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명익스트림 아르기닌 5000","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,"정제수","L-아르지닌","프락토올리고당","구연산","레몬농축액","효소처리스테비아","블루베리농축액","세븐베리농축액","레몬향","마카추출분말","블루베리향","γ-시클로덱스트린","펙틴","황금혼합추출물","타우린","산화아연",NA,NA,NA,"","","","함수구연산","","","","","레몬향#6","","혼합제제","감마시클로덱스트린","펙틴JMJ","복합황금추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1745","품목보고번호19900372087543","업소명(주)화인내츄럴","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명익스트림 아르기닌 5000","분류식품","업체명","(주)화인내츄럴","소재지","경기도 포천시 소흘읍 호국로 493-43","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","L-아르지닌","구연산(무수)","프락토올리고당","Red grape농축액","세븐베리농축액","타우린","효소처리스테비아","카라멜색소","서양호박농축분말","기타가공품","아티초크추출분말","아라비아검","마카추출분말","옥수수수염추출분말","두류가공품","혼합제제","글루콘산아연","수크랄로스","","","","","적포도농축액","","","","","단호박농축분말","제품명: 복합황금추출물, 제조원: (주)비에스티","","","","","흰강남콩추출분말","제품명: 멀티비타민미네랄믹스-1, 제조원: (주)네오크레마 익산공장","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1744","품목보고번호20060445110626","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명익스트림 트리플 아르기닌 6200","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","L-아르지닌","구연산","시클로덱스트린시럽","베리혼합농축액","블루베리향","효소처리스테비아","수박추출물","L-카르니틴","오르니틴염산염","천연라즈베리향","맥아추출액","감귤류추출액","산화아연","수크랄로스","엽산","건조효모(셀렌함유)","비타민혼합분말","아미노산혼합분말","","","","","","","","수박과피추출분말","","","","맥아추출물","감귤류추출농축액","","","","건조효모(셀렌)","","","20","21","22","복분자딸기과즙분말","당근농축분말","석류농축분말","","","석류농축액분말","23","타우린",""
