"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호1883","품목보고번호20020623009296","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명유자꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","유자청징농축액","사양벌꿀","기타과당","구연산","홍화황색소","카라기난","정제수","덱스트린","아세설팜칼륨","시클로덱스트린","혼합제제","혼합제제","50brix","","","함수, 산도조절제","","","","말토덱스트린","합성감미료","","허니향","유자향",NA,NA,NA
"2","번호1882","품목보고번호19930571069163","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명유자꿀물","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","12","유자청징농축액","사양벌꿀","기타과당","덱스트린","카라기난","구연산","홍화황색소","시클로덱스트린","허니향","유자향","아세설팜칼륨","정제수","","","","","","함수","","","","","","",NA,NA,NA
"3","번호1881","품목보고번호19800415004220","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한24개월","제품명유자꿀물","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11","12","과.채가공품","백설탕","액상과당","구연산","벌꿀","비타민C","수크랄로스","아세설팜칼륨","유자향1","유자향","천연착향료(Lemon)","홍화황색소","유자과즙농축액H-1","","","","","","","","","","","","13","정제수",""
"4","번호1880","품목보고번호20070464094430","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일러부터 12개월","제품명유자녹차","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","기타과당","설탕","유자농축액","녹차농축액","홍차추출분말","구연산","비타민C","구연산삼나트륨","스테비올배당체","녹차향","유자향","정제수","","","","","","함수구연산","","","","","","",NA,NA,NA
"5","번호1879","품목보고번호2012044303095","업소명(주)참선진녹즙","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명유자농장","분류식품","업체명","(주)참선진녹즙","소재지","충청북도 진천군 문백면 태락1길 27-82","1","2","3","4","5","6","7","8","9",NA,NA,NA,"정제수","과.채가공품류","올리고당","과.채가공품류","과.채가공품","과.채가공품","당류가공품","식품첨가물","식품첨가물",NA,NA,NA,"","유자퓨레","프락토올리고당","사과주스농축액","생강농축액","레몬과즙농축액","복분자베이스","구연산","효소처리스테비아",NA,NA,NA,NA,NA,NA
"6","번호1878","품목보고번호1996055618064","업소명한울식품 영농조합법인","품목유형혼합음료","유통/소비기한12개월","제품명유자맛그대로","분류식품","업체명","한울식품 영농조합법인","소재지","경상북도 상주시 화동면 이소1길 6-12","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"유자청","유자원액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","국내산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1877","품목보고번호2012055615236","업소명한울식품 영농조합법인F2","품목유형혼합음료","유통/소비기한12개월","제품명유자맛그대로","분류식품","업체명","한울식품 영농조합법인F2","소재지","경상북도 상주시 화동면 중화로 1428-1","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"유자청","유자원액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1876","품목보고번호19990467050102","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명유자에이드","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11",NA,"액상과당","사과농축액","유자농축액","백설탕","구연산","유자향","카복시메틸셀룰로스나트륨","안식향산나트륨","아세설팜칼륨","치자황색소","정제수",NA,"","배합함량 2.27%,칠레산","고형분 5%,국산","정백당","산도조절제","합성향료","증점제","보존료","감미료","레몬색소","",NA,NA,NA,NA
"9","번호1875","품목보고번호20000614238306","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명유자에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","과.채가공품","유자과즙","설탕","수크랄로스","아세설팜칼륨","구연산","구연산삼나트륨","비타민C","식용색소황색제4호","유자향","유자향","","레몬분쇄과즙농축액","","","","","","","","","","","13","시트러스향",""
"10","번호1874","품목보고번호20160518117105","업소명녹차원(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명유자에이드","분류식품","업체명","녹차원(주)","소재지","전라남도 고흥군 동강면 청정식품단지길 25-9","1","2","3","4","5","6","7","8","9","10",NA,NA,"정제수","설탕","구연산(무수)","유자농축액","유자향","자몽종자추출물","비타민C","치자황색소","카르복시메틸셀룰로오스","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
