"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고12","비고13","비고14","비고15","비고16"
"1","번호5787","품목보고번호19890445014897","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명delaffe 청포도에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","백포도농축액","알룰로오스","구연산","구연산삼나트륨","수크랄로스","아세설팜칼륨","식용색소황색제4호","식용색소청색제1호","시트러스향 분말","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5786","품목보고번호20000614238540","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명delaffe 퍼플자두블렌디드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","적포도발효농축액(기능성원료인정제2014-30호)","자두농축액","복숭아농축액","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","향료","향료","","","","","","","","","","","","12","13","14","15","16","향료","식용색소적색제40호","식용색소청색제1호","혼합제제","정제수","","","","정제수, 아라비아검, D-소르비톨액, 자당지방산에스테르, 글리세린, 정제가공유지, 주정",""
"3","번호5785","품목보고번호20070464094498","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명delaffe 프로틴초코쉐이크","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","코코아분말","기타가공품","두류가공품","혼합분유","우유","탄산수소나트륨","카라기난","초코렛향","수크랄로스","아세설팜칼륨","정제소금","","유청단백농축","대두분리단백","혼합탈지분유","","","","","","","","12","13","14","15",NA,"혼합제제","자당지방산에스테르","자당지방산에스테르","정제수",NA,"","S-570","P-1570","",NA
"4","번호5784","품목보고번호20110084489457","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명delaffe 핑크캐모마일에이드","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","기타과당","구연산(무수)","레몬농축액","캐모마일추출물분말","혼합과일향","시트러스향","리치향","구연산삼나트륨","식용색소적색제40호","","","고과당","","","캐모마일추출분말","혼합제제","혼합제제","혼합제제","","","12",NA,NA,NA,NA,"식용색소황색제5호",NA,NA,NA,NA,"",NA,NA,NA,NA
"5","번호5783","품목보고번호20070464094500","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명delaffe 핑크캐모마일에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","설탕","기타과당","캐모마일추출물분말","레몬농축액","구연산(무수)","구연산삼나트륨","혼합제제","혼합제제","혼합제제","식용색소적색제40호","식용색소황색제5호","","","","","","","혼합과일향","시트러스향","리치향","","","12",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA
"6","번호5782","품목보고번호20000449035804","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명delaffe 핑크캐모마일에이드","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8","9","10","11","기타가공품","과.채가공품","설탕","기타과당","구연산","구연산삼나트륨","혼합제제","혼합제제","혼합제제","식용색소적색제40호","식용색소황색제5호","캐모마일추출분말","레몬농축액(65Brix)","","고과당","","","시트러스향","리치향","혼합과일향","","","12",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA
"7","번호5781","품목보고번호20070443110634","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명heybody 단백드링크","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","유청단백분말","과.채가공품","인산","과.채가공품","혼합제제","자주색고구마색소","비타민C","아세설팜칼륨","수크랄로스","합성향료","합성향료","Probev 90","세븐베리농축액","","당근추출액","아와컷 CP","","","","","포도주스향","블루베리향","12","13",NA,NA,NA,"합성향료","정제수",NA,NA,NA,"라즈베리향","",NA,NA,NA
"8","번호5780","품목보고번호202103799061","업소명엘골인 바이오","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명iBO(아이보)","분류식품","업체명","엘골인 바이오","소재지","경기도 김포시 북변중로 23(2,3층 북변동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화칼륨","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5779","품목보고번호202103799065","업소명엘골인 바이오","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명iBO(아이보)SCN","분류식품","업체명","엘골인 바이오","소재지","경기도 김포시 북변중로 23(2,3층 북변동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5778","품목보고번호202306210031","업소명엘골인바이오(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명iBOo2 (아이보오투)","분류식품","업체명","엘골인바이오(주)","소재지","충청북도 증평군 증평읍 장내길 101","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
