"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","번호22","번호23","번호24","번호25","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고22","비고23","비고24","비고25"
"1","번호3787","품목보고번호19920624042704","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명브레드이발소 오렌지망고","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","설탕","폴리덱스트로스","과.채가공품","과.채가공품","구연산","합성향료","펙틴","효소처리스테비아","비타민C","구연산삼나트륨","정제수","","","망고퓨레농축액(멕시코산)","오렌지혼탁농축액(스페인산)","구연산(결정)","혼합과일향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3786","품목보고번호1986044301560","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명브레인 업","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","크렌베리농축쥬스","포도농축쥬스","블루베리농축쥬스","석류농축쥬스","황금추출물분말","동충화초추출분말","알로에","은행잎추출물분말","비타민C","아가베시럽","스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","17","18","19","20","21","수크랄로스","비타민b3","알파리포익에시드","홍사탕무농축쥬스","녹차추출물분말(고시형)","비타민 B1(고시형)","비타민 B6(고시형)","비타민 A","소르빈산칼륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3785","품목보고번호1999041506414","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명브레인워터","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"정제수","허브추출물","허브꽃","출물","순이추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3784","품목보고번호20130415052221","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명브이 콜라겐 프리미엄 앰플","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","정제수","생선콜라겐","석류농축액","결정과당","석류향","β-시클로덱스트린","구연산","효모식품","비타민C","효소처리스테비아","황금혼합추출물","","","","","FAC-30713","","","효모추출분말","","","","12","13",NA,NA,NA,NA,NA,NA,NA,NA,"믹스베리향","세븐베리농축액",NA,NA,NA,NA,NA,NA,NA,NA,"M-11000","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3783","품목보고번호20030415157505","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명브이맥스 프로 맥스기닌","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","정제수","L-아르지닌","액상포도당","DL-사과산","구연산","L-아스파트산","타우린","드링크향","효소처리스테비아","잔탄검","황금혼합추출물","","","포도당액","","","","","","","","복합황금추출물","12","13","14","15","16","17","18","19","20","21","수크랄로스","오르니틴염산염","마카추출분말","L-카르니틴","L-글루타민","비타민 B1(고시형)","비타민 B2(고시형)","비타민 B6(고시형)","비타민 B12(고시형)","비타민 C(고시형)","","","수용성마카추출분말, 뿌리","","","비타민B1질산염","","비타민B6염산염","비타민B12혼합제제분말","","22","23","24","25","과라나추출물분말","산화아연(고시형)","녹용발효추출분말","엽산(고시형)","과라나추출분말","","",""
"6","번호3782","품목보고번호200206230091008","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명브이원샷","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","석류농축액","기타 수산물가공품","기타가공품","스테비올배당체","효소처리루틴","백설탕","시클로덱스트린시럽","구연산","구연산삼나트륨","히알루론산","니코틴산아미드","","저분자피쉬콜라겐펩타이드G","과라나추출분말24%","","","","","","","","","12","13","14","15","16","17",NA,NA,NA,NA,"판토텐산칼슘","향료","향료","향료","정제수","혼합제제",NA,NA,NA,NA,"","드링크향","사과향","홍차향","","IBCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3781","품목보고번호20070443110587","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명브이프로틴 오트","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","기타가공품","두류가공품","두류가공품","올리고당","난소화성말토덱스트린(고시형)","두류가공품","곡류가공품","고올레산해바라기유","곡류가공품","탄산칼슘","합성향료","오트원액","분리대두단백","분리대두단백 NEWPRO","프락토올리고당","","분리완두단백","쌀단백분말","","오트추출분말","","오트향","12","13","14","15","16","17","18",NA,NA,NA,"레시틴","정제소금","탄산수소나트륨","젤란검","아세설팜칼륨","수크랄로스","정제수",NA,NA,NA,"해바라기레시틴분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3780","품목보고번호20070443110586","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명브이프로틴 초코바닐라","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","두류가공품","두류가공품","올리고당","난소화성말토덱스트린(고시형)","코코아분말","두류가공품","곡류가공품","고올레산해바라기유","탄산칼슘","혼합제제","혼합제제","분리대두단백","분리대두단백 NEWPRO","프락토올리고당","","코코아파우더","분리완두단백","쌀단백분말","","","초코향 F","초코향 S","12","13","14","15","16","17","18","19","20",NA,"혼합제제","레시틴","정제소금","탄산수소나트륨","젤란검","천연향료","아세설팜칼륨","수크랄로스","정제수",NA,"초코향 B","해바라기레시틴분말","","","","천연바닐라추출물","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3779","품목보고번호19860443015573","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명브이플래너 아르기닌 플러스","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","L-아르지닌","구연산","자일리톨","레몬농축액","혼합제제","기타가공품","혼합제제","비타민C","타우린","효소처리스테비아","기타가공품","","무수구연산","","","레몬향","수박과피추출문말","아미노액티브 BCAA","","","","복합황금추출물","12","13","14","15","16","17",NA,NA,NA,NA,"수크랄로스","비타민D3","혼합제제","혼합제제","과라나추출물분말","정제수",NA,NA,NA,NA,"","","비타민 미네랄 믹스_SA","필수아미노산 8종 혼합제제","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3778","품목보고번호20040275056928","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명브이해빗 더 퓨어 콜라겐(v:habit The Pure Collagen)","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","정제수","생선콜라겐","딸기농축액","프락토올리고당","구연산","혼합제제","효소처리스테비아","비타민C","엘라스틴가수분해물","히알루론산","비오틴","","마린콜라겐","","","","딸기향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
