"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고15","비고16","비고17","비고18","비고19"
"1","번호987","품목보고번호20120443030100","업소명(주)참선진녹즙","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명콜라겐 5000","분류식품","업체명","(주)참선진녹즙","소재지","충청북도 진천군 문백면 태락1길 27-82","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","과.채가공품","기타가공품","당류가공품","당류가공품","과.채가공품","식품첨가물","식품첨가물","식품첨가물","천연향료","식품첨가물","식품첨가물","기타가공품","식품첨가물","","타트체리착즙액","GT콜라겐(생산젤라틴)","블루베리베이스","복분자베이스","석류농축과즙","구연산","비타민C","아미드펙틴","블루베리향","자몽종자추출물","효소처리스테비아","프로라스틴(엘라스틴펩타이드)","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호986","품목보고번호19860443015469","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명콜라겐 바이엘","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","생선젤라틴","에리스리톨","사과농축액","기타과당","자일리톨","레몬농축액","비타민C","구연산(무수)","합성향료","히알루론산","엘라스틴가수분해물","천연향료","황금혼합추출물","","콜라겐, 피쉬콜라겐","","","","","","","","사과향","","","천연레몬향","복합황금추출물","15","16","17","18","19","합성향료","효소처리스테비아","우유단백질","혼합제제","병풀추출","복숭아향","","우유단백질농축, 밀크세라마이드","비오틴혼합제제","병풀추출물분말"
"3","번호985","품목보고번호19860443015536","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명콜라겐 엘라스틴","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","생선콜라겐","액상과당","과.채가공품","에리스리톨","구연산(무수)","혼합제제","히알루론산","엘라스틴가수분해물","황금혼합추출물","비타민C","합성향료","효소처리스테비아","수크랄로스","기타가공품","피쉬콜라겐","","샤인머스캣혼합농축액","","구연산","샤인머스캣향","","","복합황금추출물","","복숭아 후레바","","","우유단백질농축, 밀크세라마이드","15","16","17","18",NA,"병풀잎추출물분말","비오틴 혼합분말","건조효모","정제수",NA,"병풀추출물분말","비오틴 1%","효모분말, Engevita GSH","",NA
"4","번호984","품목보고번호20110149027395","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명콜라겐 컴플렉스 5500","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","석류농축액","생선콜라겐","오렌지농축액","오르니틴염산염","비타민C","엘라스틴","L-시스테인염산염","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","스페인산, 65brix","베트남산","모로블러드오렌지, 이탈리아산","","","","","","","","","","","","15",NA,NA,NA,NA,"비오틴",NA,NA,NA,NA,"",NA,NA,NA,NA
"5","번호983","품목보고번호19890445014281","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명콜라겐-C","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,"콜라겐펩타이드","매실농축액","농축사과과즙","액상과당","구연산","구연산삼나트륨","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호982","품목보고번호20020383603342","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명콜라겐-큐민","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"콜라겐","양태반추출물","말티톨시럽","결정과당","서양자두농축액","합성향료","구연산(무수)","기타가공품","기타가공품","자몽종자추출물","수크랄로스","정제수",NA,NA,"액상콜라겐","액상양태반추출물(고형분 3%)","액상말티톨","FRUCTOFIN C","푸룬농축액","레몬향","","텐큐민지플러스","텐큐민에스플러스","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호981","품목보고번호198604350131114","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명콜라겐56플러스 앰플","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","석류농축액","프락토올리고당","생선콜라겐","베리혼합농축액","구연산","맥아추출액","석류향","효소처리스테비아","병풀추출","수크랄로스","엘라스틴","히알루론산","히비스커스추출물분말","","(고형분 60%)","","","(고형분 48%)","","맥아추출물(고형분 40%)","(합성향료)","","병풀추출분말","","엘라스틴추출물혼합분말","","","15",NA,NA,NA,NA,"우유단백질",NA,NA,NA,NA,"우유단백질농축분말",NA,NA,NA,NA
"8","번호980","품목보고번호19980355336413","업소명고려인삼과학(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명콜라겐VIP","분류식품","업체명","고려인삼과학(주)","소재지","경기도 파주시 법원읍 술이홀로 1145(225-2)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","생선콜라겐펩타이드","과.채가공품","과.채가공품","기타가공품","혼합제제","글리신","건조효모","효모추출분말","구연산(무수)","비타민C","효소처리스테비아","홍삼농축액","산화아연","혼합제제","","딸기과즙분말(덱스트린 70%, 딸기과즙 30%)","세븐베리농축분말","복합허브추출물 분말","믹스베리향 분말(덱스트린, 프로필렌글리콜, 아라비아검, 빈초산, 합성향료물질, 카라멜색소","","글루타치온 2.5%","글루타치온 15%","","","","고형분 60% 이상, 홍삼성분 70mg/g","","딸기향(딸기향 베이스1, 베이스2, 프로필렌글리콜, 정제수, 낙산에틸, 헥산논산에틸, 에틸부티레이트, 감마 데카락톤, 에틸메틸메닐글리시네이트","15","16","17","18",NA,"향료","사양벌꿀","이소말토올리고당","정제수",NA,"페퍼민트향","","","",NA
"9","번호979","품목보고번호19860443015460","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명콜라겐드림 마시는 콜라겐","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"정제수","석류농축액","기타과당","생선콜라겐","자일리톨","구연산","석류향","황금혼합추출물","엘라스틴가수분해물","비오틴","우유단백질","히알루론산혼합제제",NA,NA,"","","","피쉬콜라겐","","무수구연산","","복합황금추출물","","","우유단백질농축,밀크세라마이드","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호978","품목보고번호198604350131019","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명콜라겐앰플5000","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","생선콜라겐","석류농축액","기타과당","자일리톨","구연산","석류향","DL-사과산","효소처리스테비아","히비스커스추출물분말","비타민C","히알루론산","N-아세틸글루코사민","유산균혼합분말","","","(Brix 64)","","","구연산혼합제제","석류향혼합제제","","","","","","","","15",NA,NA,NA,NA,"엘라스틴가수분해물",NA,NA,NA,NA,"엘라스틴추출물혼합분말",NA,NA,NA,NA
