"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","번호...81","성분 및 원료","비고","번호24","번호25","번호26","번호27","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고24","비고25","비고26","비고27"
"1","번호4772","품목보고번호198904450141020","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명라이브타임청포도에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","백포도농축액","설탕","수크랄로스","효소처리스테비아","구연산","구연산삼나트륨","식용색소황색제4호","식용색소청색제1호","시트러스향 분말","청포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4771","품목보고번호2018049100879","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조년월일로부터 12개월(1년)","제품명라이스 워터젤리","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8","9",NA,NA,"과당","백설탕","구연산(무수)","비타민C","사과향","쌀추출액","혼합제제","정제수","구연산삼나트륨",NA,NA,"","","","","","","제이단ES-1018","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4770","품목보고번호202206830836","업소명농업회사법인 주식회사 삼성농원 제2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명라이스 워터젤리","분류식품","업체명","농업회사법인 주식회사 삼성농원 제2공장","소재지","전라북도 익산시 반월길 27(1~2층 월성동)","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","액상과당","백설탕","구연산(무수)","구연산삼나트륨","비타민C","사과향","쌀추출액","혼합제제",NA,NA,"","","","","","","","","제이단ES-1018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4769","품목보고번호20100543066824","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명라이스밀","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","쌀추출액","덱스트린","식물성크림","합성향료","유화제","글리신","메타인산나트륨","스테비올배당체","자몽종자추출물","구연산","","쌀:베트남산/고형분45%이상","","식물성경화유지{코코넛오일(외국산:인도네시아,필리핀,말레이시아 등)}","쌀향","","","","","","","12","13","14","15","16","17","18","19","20","21","22","23","혼합제제","혼합제제","니코틴산아미드","비타민E혼합제제","판토텐산칼슘","비타민D3혼합제제","글루콘산아연","글루콘산마그네슘","구연산칼륨","비타민B6염산염","혼합제제","혼합제제","규소수지,유화제,CMC","BCAA혼합제제(L-이소로이신,L-발린,L-로이신)","","dl-α-토코페릴아세테이트,말토덱스트린,변성전분,이산화규소","","아라비아검,설탕,옥수수전분,가공유지,이산화규소,비타민D3,비타민E","","","","","비타민A아세테이트","비타민B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4768","품목보고번호2011061812153","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 3개월 까지","제품명라이스밀 스위트","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","쌀추출액","16bx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4767","품목보고번호2011061812145","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 3개월 까지","제품명라이스밀 요거트","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","쌀추출액","20Brix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4766","품목보고번호19810606006490","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 09개월까지","제품명라이스밀크","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","곡류가공품","설탕","미강유(현미유)","곡류가공품","천일염","천연향료","기타가공품",NA,NA,NA,"","무농약알파미분","유기농설탕","","현미호분추출분말","","천연바닐라향","수용성아쿠아민(해조칼슘함량12%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4765","품목보고번호19810606006476","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명라이스밸리","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","곡류가공품","설탕","미강유(현미유)","곡류가공품","천일염","기타가공품","천연착향료",NA,NA,NA,"","무농약알파미분","유기농설탕","","현미호분추출분말","","수용성아쿠아민(해조칼슘함량 12%)","천연바닐라향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4764","품목보고번호20100543066825","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명라이스오트","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","쌀추출액","덱스트린","식물성크림","합성향료","합성향료","유화제","귀리추출농축액","글리신","카라멜색소","스테비올배당체","","쌀:베트남산/고형분45%이상","","식물성경화유지{코코넛오일(외국산:인도네시아,필리핀,말레이시아 등)}","현미향","오트밀향","","귀리:캐나다산/고형분7.5%이상","","","","12","13","14","15","16","17","18","19","20","21","22","23","메타인산나트륨","자몽종자추출물","구연산","혼합제제","혼합제제","니코틴산아미드","비타민E혼합제제","판토텐산칼슘","비타민D3혼합제제","글루콘산아연","글루콘산마그네슘","구연산칼륨","","","","규소수지,유화제,CMC","BCAA혼합제제(L-이소로이신,L-발린,L-로이신)","","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소","","아라비아검,설탕,옥수수전분,가공유지,이산화규소,비타민D3,비타민E","","","",NA,NA,NA,"24","25","26","27","비타민B6염산염","비타민C","혼합제제","혼합제제","","","비타민A아세테이트","비타민B12"
"10","번호4763","품목보고번호20100543066777","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명라이스콘","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","쌀추출액","덱스트린","식물성크림","유화제","옥수수추출농축액","합성향료","합성향료","글리신","카로틴","메타인산나트륨","","쌀:베트남산/고형분45%이상","","식물성경화유지{코코넛오일(외국산:인도네시아,필리핀,말레이시아 등)}","","국산/고형분50%이상","삶은옥수수향","옥수수향","","","","12","13","14","15","16","17","18","19","20","21","22","23","스테비올배당체","자몽종자추출물","구연산","혼합제제","혼합제제","비타민C","니코틴산아미드","비타민E혼합제제","판토텐산칼슘","비타민D3혼합제제","글루콘산아연","글루콘산마그네슘","","","","규소수지,유화제,CMC","BCAA혼합제제(L-이소로이신,L-발린,L-로이신","","","dl-α-토코페릴아세테이트,말토덱스트린,변성전분,이산화규소","","아라비아검,설탕,옥수수전분,가공유지,이산화규소,비타민D3,비타민E","","",NA,NA,NA,"24","25","26","27","구연산칼륨","비타민B6염산염","혼합제제","혼합제제","","","비타민A아세테이트","비타민B12"
