"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15"
"1","번호1553","품목보고번호20000449035801","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쟈뎅 까페리얼 샤인머스캣에이드","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","설탕","기타과당","과.채가공품","과.채가공품","구연산(무수)","구연산삼나트륨","비타민C","펙틴","수크랄로스","향료","향료","향료","식용색소황색제4호","식용색소청색제1호","정제수","","스위티스 디에스","백포도농축액","샤인머스캣혼합농축액(60Brix)","","","","","","샤인머스캣향","샤인머스캣향","망고향","","",""
"2","번호1552","품목보고번호20070464094494","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명쟈뎅 까페리얼 샤인머스캣에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","설탕","백포도농축액","구연산(무수)","구연산삼나트륨","비타민C","펙틴","수크랄로스","향료","식용색소황색제4호","식용색소청색제1호","향료","향료","기타과당","과.채가공품","","수입","칠레산","","","","","","망고향","","","샤인머스캣향 1","샤인머스캣향 2","스위티스 디에스500","샤인머스캣혼합농축액(60Brix)"
"3","번호1551","품목보고번호20110084489448","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쟈뎅 까페리얼 샤인머스캣에이드","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","설탕","기타과당","백포도농축액","과.채가공품","구연산(무수)","펙틴","구연산삼나트륨","비타민C","수크랄로스","향료","향료","향료","식용색소황색제4호","식용색소청색제1호","","","","","샤인머스캣혼합농축액","","","","","","샤인머스캣향","샤인머스캣향","망고향","",""
"4","번호1550","품목보고번호20000449035143","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한12개월(실온)","제품명쟈뎅 까페리얼 석류에이드","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","정제수","백설탕","액상과당","구연산","비타민C","합성석류향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1549","품목보고번호200306143071127","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명쟈뎅 까페리얼 요구르트에이드","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","기타과당","설탕","샤베트믹스","혼합분유","구연산","혼합제제","혼합제제","구연산삼나트륨","혼합제제","비타민C","코치닐추출색소","카로틴","수크랄로스",NA,"","","","유산균배양액베이스","스킴밀크 프리퍼레이션 에스엠피 8515","","엠아이에스(MIS)-66600","요거트후레바","","요쿠르트향 엠에프-140263","","코치닐색소-에스티","카로틴-엘","",NA
"6","번호1548","품목보고번호20000449035854","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쟈뎅 새콤달콤 딸기 에이드","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"설탕","과.채가공품","구연산(무수)","DL-사과산","비타민C","혼합제제","구연산삼나트륨","수크랄로스","아세설팜칼륨","식용색소적색제40호","향료제제","향료","향료","정제수",NA,"","딸기 농축액","","","","시트러스향","","","","","딸기향","딸기향","딸기향","",NA
"7","번호1547","품목보고번호20110084489521","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쟈뎅 새콤달콤 딸기 에이드","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","설탕","딸기농축액","구연산(무수)","DL-사과산","향료제제","비타민C","혼합제제","향료","향료","구연산삼나트륨","아세설팜칼륨","수크랄로스","식용색소적색제40호",NA,"","","","","","딸기향","","시트러스향","딸기향","딸기향","","","","",NA
"8","번호1546","품목보고번호20070464094543","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쟈뎅 새콤달콤 딸기 에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"설탕","딸기농축액","구연산(무수)","DL-사과산","비타민C","혼합제제","구연산삼나트륨","수크랄로스","아세설팜칼륨","식용색소적색제40호","향료제제","향료","향료","정제수",NA,"","","","","","시트러스 J-14","","중국산","","","딸기향 1","딸기향 2","딸기향 3","",NA
"9","번호1545","품목보고번호20070464094544","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쟈뎅 새콤달콤 포도 에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"설탕","포도농축액","구연산(무수)","DL-사과산","비타민C","혼합제제","구연산삼나트륨","수크랄로스","아세설팜칼륨","식용색소적색제40호","식용색소청색제1호","향료","향료","정제수",NA,"수입","","","","","시트러스향","","중국산","","","","포도향1","포도향2","",NA
"10","번호1544","품목보고번호20110084489522","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쟈뎅 새콤달콤 포도 에이드","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","설탕","포도농축액","구연산(무수)","DL-사과산","향료","비타민C","혼합제제","향료","구연산삼나트륨","아세설팜칼륨","수크랄로스","식용색소적색제40호","식용색소청색제1호",NA,"","","","","","포도향","","시트러스향","포도향","","","","","",NA
