"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호661","품목보고번호19890445014331","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명페르시아석류","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","석류농축액","액상과당","저당","구연산","카르복시메틸셀룰로오스나트륨","카라멜색소","안식향산나트륨","합성보존료","효소처리스테비아","석류향","합성착향료","정제수","하수오추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호660","품목보고번호19890445014568","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명페르시안석류","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"석류농축액","액상과당","저당","구연산","섬유소글리콜산","카라멜색소","안식향산나트륨","스테비올배당체","석류향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호659","품목보고번호20070358224544","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한24개월","제품명페스팅 퓨어","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","감초엑기스","가시오갈피추출액","산사자추출액","석류농축액","회향추출물","라즈베리향","효소처리스테비아","이노시톨","알로에베라(고시형)","베타인","잔탄검","안식향산나트륨","","","","","","회향추출액","합성향료","","","알로에베라겔(200:1)","","","","14","15","16","17","18","19","20","21","22","23","24","25","생강농축액","인삼농축액","주석산수소콜린","L-주석산","L-메티오닌","구연산","밀크씨슬","비타민혼합분말","페퍼민트추출분말","기타가공품","겨자무뿌리분말","고추","생강혼합농축액","","","","","","","","","트레이스미네랄","서양고추냉이분말","고추분말"
"4","번호658","품목보고번호20040275056850","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명펜타콜라겐","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","생선콜라겐","오렌지농축액","레몬농축액","비타민C","히알루론산혼합제제","엘라스틴가수분해물","효소처리스테비아","오렌지향","레몬향","유단백농축분말","L-시스틴","글루콘산아연","","피쉬콜라겐","","","","","","","","","밀크세라미드","","","14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,"병풀잎추출물분말","비타민D3혼합제제분말","비타민E혼합제제분말","건조효모(셀렌함유)","비오틴 혼합분말",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA
"5","번호657","품목보고번호2019047302823","업소명영농조합법인 더듬이(벅스푸드)","품목유형혼합음료","유통/소비기한24개월","제품명펫 건강음료 G&D","분류식품","업체명","영농조합법인 더듬이(벅스푸드)","소재지","충청남도 금산군 진산면 사갑길 147-2","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서양호박추출액","흰점박이꽃무지유충추출물","밀리타리스동충하초추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형분함량 0.5 이상","고형분함량 1.2 이상","고형분함량 0.3 이상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호656","품목보고번호2019047302824","업소명영농조합법인 더듬이(벅스푸드)","품목유형혼합음료","유통/소비기한24개월","제품명펫 건강음료 H&D","분류식품","업체명","영농조합법인 더듬이(벅스푸드)","소재지","충청남도 금산군 진산면 사갑길 147-2","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"홍삼추출액","고구마추출물","밀리타리스동충하초추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형분함량 2.0%이상","고형분함량 1.5%이상","고형분함량 0.3%이상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호655","품목보고번호19980355336410","업소명고려인삼과학(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명편안하루365","분류식품","업체명","고려인삼과학(주)","소재지","경기도 파주시 법원읍 술이홀로 1145(225-2)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"헛개나무열매농축액","타우린","밀크씨슬추출물분말","사과농축액","기타과당","사양벌꿀","감초농축액","시클로덱스트린","정제수","비타민C","보리순추출물분말",NA,NA,"고형분 30% 이상","","","고형분 55% 이상","","","고형분 50% 이상","","","","새싹보리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호654","품목보고번호2013044319166","업소명홍삼나라(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명편안한 아침 헛개(Comfortable Morning Hovenia)","분류식품","업체명","홍삼나라(주)","소재지","충청북도 진천군 진천읍 장수로 117","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"식물혼합추출액","밀크씨슬추출물","감귤농축액","흑삼분말","타우린","혼합제제","효소처리스테비아","비타민B1염산염","비타민B6염산염",NA,NA,NA,NA,"꾸지뽕나무헛개나무추출액, 고형분 0.7%","밀크씨슬추출물에스","미숙감귤추출농축액","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호653","품목보고번호2008033218048","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 6개월","제품명평안도식당 전통식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호652","품목보고번호2013041505285","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명포데이즈 에센스드링크","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","기타과당","벌꿀","설탕","식초분말","생선콜라겐","비타민C","파인애플추출물","펙틴","카라멜색소","갈색설탕향","구연산","황금혼합추출물","","액상과당","","갈색설탕","WHITE VINEGAR POWDER","","","","","","브라운슈가향1","","복합황금추출물-2","14","15","16","17","18","19","20","21","22",NA,NA,NA,"글루콘산아연","멜론추출물","구연산삼나트륨","수크랄로스","비타민B6염산염","비타민B2","비타민B1질산염","연어이리단백","비타민 D3 혼합제제분말",NA,NA,NA,"","Melon Phyto Placenta Extract","","","","","","Salmon Milt Extract","",NA,NA,NA
