"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","성분 및 원료14","비고14"
"1","번호4912","품목보고번호20000614238441","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명도라지모과스틱","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","당류가공품","배농축액","과.채가공품","당류가공품","도라지농축액","정제수","모과농축과즙","","대추엑스","세전당밀","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4911","품목보고번호20110084489412","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명도라지배&보이젠베리","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","정제수","배청징농축과즙","프락토올리고당","도라지농축액","기타 농산가공품","과채주스","","","","","도라지가수분해농축액","베리취","7","8","9","식물혼합농축액","사양벌꿀","글루콘산아연","식물혼합추출농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4910","품목보고번호20100208006615","업소명경복식품","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명도라지배숙","분류식품","업체명","경복식품","소재지","인천광역시 서구 소담로 37(1층 금곡동)","1","2","3","4","5",NA,"정제수","배","생강","도라지","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4909","품목보고번호2000045807014","업소명민속식품","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명도라지배즙","분류식품","업체명","민속식품","소재지","충청남도 공주시 마티길 238-6","1","2","3",NA,NA,NA,"도라지","배","무뿌리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4908","품목보고번호19970464172359","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명도라지생강쌍화","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","정제수","기타과당","쌍화농축액","대추농축액","생강농축액","생강향","","","","","","","7","8","9","도라지농축액","구연산","카라멜색소","","","","10","11","12","구연산삼나트륨","잔탄검","홍삼농축액","","","홍삼사포닌 70mg/g",NA,NA,NA,NA,NA,NA
"6","번호4907","품목보고번호19990555093411","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일자로부터 24개월","제품명도라지생강쌍화","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","정제수","기타과당","쌍화농축액","대추농축액","생강농축액","도라지농축액","","고과당","","","","","7","8","9","향료","구연산","카라멜색소","생강향","","","10","11","12","구연산삼나트륨","잔탄검","홍삼농축액","","","4년근, 홍삼성분 70mg/g","13","혼합허브추출물","복합허브추출물",NA,NA,NA
"7","번호4906","품목보고번호202004443958","업소명이현정일품연구소","품목유형혼합음료","유통/소비기한제조일로부터 냉장보관6일이내 냉동보관은 30일이내","제품명도라지찹쌀식혜","분류식품","업체명","이현정일품연구소","소재지","충청북도 제천시 송학면 무도2안길 51","1","2","3",NA,NA,NA,"찹쌀","엿기름","도라지",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4905","품목보고번호201302753096","업소명주식회사 황초원","품목유형혼합음료","유통/소비기한제조이로부터 12개월까지","제품명도라지황초수","분류식품","업체명","주식회사 황초원","소재지","경기도 성남시 중원구 갈마치로 314(성남 센트럴비즈타워 1 922호 일부호 상대원동)","1","2","3","4","5","6","오미자청","도라지농축액","올리고당","식초","정제수","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4904","품목보고번호20100543066321","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN:제조일로부터36게월 PET,BOTTLE:제조일로부터24개월","제품명도스피노스 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","알로에베라겔절편","알로에분말","액상과당","결정과당","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,"7","8","9","비타민C","젤란검","젖산칼슘",NA,NA,NA,"10","11","12","합성감미료","합성착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4903","품목보고번호2007046409494","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명도시락석류알로에(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","알로에베라겔크러쉬","알로에베라겔분말","백설탕","액상과당","구연산","젖산칼슘",NA,NA,NA,NA,NA,NA,"7","8","9","구연산삼나트륨","석류농축액","젤란검",NA,NA,NA,"10","11","12","식용색소","천연색소","알로에향",NA,NA,NA,"13","석류향",NA,"14","정제수",NA
