"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","성분 및 원료19","비고19"
"1","번호5482","품목보고번호2022068312512","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명귀여운 내친구 뽀로로사과맛","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","전라북도 익산시 왕궁면 푸드폴리스로 59(웰빙랜드)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","설탕","효소처리스테비아","올리고당가공품","젖산칼슘","사과농축액","두류가공품","탈지분유","구연산","구연산삼나트륨","혼합제제","비타민D3혼합제제","폴리덱스트로스","비타민B1염산염","글루콘산아연","향료제제","혼합제제","향료제제","정제수","","","액상과당,이소말토올리고당,폴리글리시톨시럽","","","탈지대두","","","","덱스트린,글리세린지방산에스테르","아라비아검,수크로오스,옥수수전분,중쇄중성지방,비타민D3,비타민E,이산화규소","","","","사과향","APPLE FLAVOUR KO-86630/S","밀크향","",NA,NA,NA
"2","번호5481","품목보고번호20010383923130","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명귀여운내친구뽀로로 바나나맛","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","기타올리고당","백설탕","폴리덱스트로스","탈지분유","바나나농축액","구연산(무수)","두류가공품","젖산칼슘","효소처리스테비아","구연산삼나트륨","식품첨가물혼합제제분말","비타민 D3 혼합제제분말","비타민B1염산염","글루콘산아연","바나나향","바나나향","바나나향","","","","","","","","대두다당류","","","","","","","","","","",NA,NA,NA
"3","번호5480","품목보고번호20010383923110","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명귀여운내친구뽀로로딸기맛(수출용2)","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,"딸기농축액","효소처리스테비아","기타올리고당","프락토올리고당","구연산","젖산칼슘","비타민D3","정제수","백설탕","구연산삼나트륨","탈지분유","대두다당류","밀크향","딸기향","딸기향","유화제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5479","품목보고번호20010383923109","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명귀여운내친구뽀로로밀크맛(수출용2)","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"백설탕","효소처리스테비아","기타올리고당","프락토올리고당","구연산","젖산칼슘","비타민D3","정제수","구연산삼나트륨","탈지분유","대두다당류","시트러스믹스향","시트러스믹스향","레몬향","유화제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5478","품목보고번호20010383923136","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명귀여운내친구뽀로로복숭아맛","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","기타올리고당","백설탕","폴리덱스트로스","탈지분유","복숭아농축액","구연산(무수)","두류가공품","젖산칼슘","효소처리스테비아","구연산삼나트륨","식품첨가물혼합제제분말","비타민 D3 혼합제제분말","비타민B1염산염","글루콘산아연","향료","향료","향료","","","","폴리덱스트로스","","복숭아농축액(BRIX: 70)","","대두다당류","","","","","","","","복숭아향21114143","복숭아향220510","복숭아향 L090101",NA,NA,NA
"6","번호5477","품목보고번호20010383923101","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명귀여운내친구뽀로로블루베리맛","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","포도농축액","블루베리농축액","백설탕","효소처리스테비아","기타올리고당","젖산칼슘","대두다당류","탈지분유","구연산(무수)","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3","폴리덱스트로스","포도향","블루베리향","시트러스믹스향","비타민B1염산염","글루콘산아연",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","정제수",NA
"7","번호5476","품목보고번호20010383923107","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명귀여운내친구뽀로로블루베리맛(수출용2)","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,"포도농축액","백설탕","기타올리고당","구연산삼나트륨","구연산","젖산칼슘","비타민D3","유화제","블루베리농축액","효소처리스테비아","탈지분유","대두다당류","포도향","블루베리향","시트러스믹스향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5475","품목보고번호2001038392376","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명귀여운내친구뽀로로사과맛","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","사과농축액","백설탕","효소처리스테비아","기타올리고당","젖산칼슘","대두다당류","탈지분유","구연산(무수)","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3","폴리덱스트로스","밀크향","사과향","사과향","비타민B1염산염","글루콘산아연","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5474","품목보고번호20010383923108","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명귀여운내친구뽀로로사과맛(수출용2)","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,"사과농축액","효소처리스테비아","기타올리고당","프락토올리고당","구연산","젖산칼슘","비타민D3","정제수","백설탕","구연산삼나트륨","탈지분유","대두다당류","밀크향","사과향","사과향","유화제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5473","품목보고번호20010383923133","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명귀여운내친구뽀로로샤인머스캣맛","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","기타올리고당","백설탕","폴리덱스트로스","탈지분유","과.채가공품","구연산(무수)","두류가공품","젖산칼슘","효소처리스테비아","구연산삼나트륨","식품첨가물혼합제제분말","비타민 D3 혼합제제분말","비타민B1염산염","글루콘산아연","향료","향료","향료","","","","","","샤인머스캣혼합농축액(BRIX: 60)","","대두다당류","","","","","","","","샤인머스캣향 BAF1489","샤인머스캣향 AF21559","샤인머스캣향 BAF0923",NA,NA,NA
