"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호1137","품목보고번호19970368029359","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명초이스엘 명인이만든 단호박식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","기타 농산가공품","서양호박퓌레","설탕","쌀","국","검정콩","귀리","팥","기장쌀","좁쌀","수수","현미","검정깨(흑임자)","보리","흑미","율무쌀","소스","합성향료","식품첨가물혼합제제","비타민C","정제수","엿기름추출액(2) / 엿기름 25.45%, 정제수 74.55%","단호박퓨레","백설탕","","","","","","기장","","","","","","검정쌀","율무","생생강농축액 / 생생강추출액 98.18%, 말토덱스트린 1.27%, 정제소금 0.55%","단호박향","단호박향 / 프로필렌글리콜, 합성착향료, 주정, 트리아세틴","",""
"2","번호1136","품목보고번호19970368029358","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명초이스엘 명인이만든 식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타 농산가공품","백설탕","쌀","소스류","비타민C","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름추출액(엿기름21.05%,정제수78.95%)","","","살균제품, 생생강농축액(생생강추출액98.18%,말토덱스트린1.27%,정제염0.55%)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1135","품목보고번호19890445014857","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명초코 시럽","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,"정제수","백설탕","액상과당","식물성 경화유 혼합","코코아분말","혼합분유","덱스트린","자당지방산에스테르","정제소금","탄산칼륨(무수)","수크랄로스","합성향료","합성향료","자당지방산에스테르","안식향산나트륨",NA,NA,NA,NA,NA,NA,"","","","삼익우유성분함유크리머1","","혼합 탈지분유","말토덱스트린","S-570","","","","초코향","연유향","P-1670","",NA,NA,NA,NA,NA,NA
"4","번호1134","품목보고번호2014049317113","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명초코라떼","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"코코아분말","백설탕","전지분유","카라기난","당류가공품","탄산수소나트륨","정제소금","수크랄로스","쵸코렛향","밀크향","코코아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","검류/응고제","코코프리 / 단맛증진,유화제 이용","","","감미료","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1133","품목보고번호19780368002447","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한12(실온)","제품명초코라떼","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.143BDD","코코아분말","탈지분유","말토덱스트린","자당지방산에스","탄산수소나트륨","코코아향","천연착향료(Vanilla)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1132","품목보고번호20070464034162","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명초코에몽 드링크","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,"우유","설탕","코코아분말","혼합분유","유크림","덱스트린","셀룰로오스혼합제제","탄산수소나트륨","자당지방산에스테르","잔탄검","정제소금","카복시메틸셀룰로스나트륨","수크랄로스","아세설팜칼륨","초콜릿향","바닐라향","정제수",NA,NA,NA,NA,"","","","혼합탈지분유","","","","","","","","셀룰로스검","","","","","",NA,NA,NA,NA
"7","번호1131","품목보고번호201904773393284","업소명건강한사람들 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명초코에몽 드링크","분류식품","업체명","건강한사람들 주식회사","소재지","충청남도 홍성군 결성면 만해로 391(1-2층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20",NA,"우유","설탕","코코아분말","혼합분유","유크림","덱스트린","혼합제제","탄산수소나트륨","자당지방산에스테르","잔탄검","정제소금","카복시메틸셀룰로스나트륨","수크랄로스","아세설팜칼륨","향료제제","향료","향료","향료제제","향료","정제수",NA,"","","","혼합탈지분유","","","셀룰로스 혼합제제","","유화제","","","셀룰로스검","","","초콜릿향(21)","초콜릿향(S)","초콜릿향(12)","밀크바닐라향","바닐라향","",NA
"8","번호1130","품목보고번호1993062500628","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명촉!촉!촉!뷰티엔","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,"정제수","N-아세틸글루코사민","에이치디","말토덱스트린","폴리덱스트로스","액상과당","수크랄로스","씨트러스추출물","구연산","DL-사과산","DL-알라닌","구연산삼나트륨","비타민C","스위트향분말","사과향-05865","사과향-05868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1129","품목보고번호201005540709","업소명(주)생명나무","품목유형혼합음료","유통/소비기한제조일부터 2년","제품명촉촉차","분류식품","업체명","(주)생명나무","소재지","경상북도 영주시 장수면 장수로220번길 33(G동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","식물혼합추출액","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","복합황금추출물, 제조사:(주)비에스티",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1128","품목보고번호20180491044196","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명총각네 마시는 단백질","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,"우유","분리대두단백","카제인칼슘","덱스트린","백설탕","채종유(유채유 또는 카놀라유)","두류가공품","전지분유","탄산칼슘","기타가공품","콜라겐","기타가공품","수산화마그네슘","글리세린지방산에스테르","글리세린디아세틸주석산지방산에스테르","정제소금","합성향료","혼합제제","정제수",NA,NA,"","","","말토덱스트린","","","검은콩농축액-J (품목보고번호:19990364158244)","","","프롤린 포스트바이오틱스","","메그-3 '10'N-3 아이엔에프 파우더","수산화Ma","Almax-1000","파노단165","","흑임자향 20124101","폼크린200/용도:소포제","",NA,NA
