"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","성분 및 원료3","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14"
"1","번호1403","품목보고번호2013062801967","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주용암수 M300","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","정제수","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1402","품목보고번호2013062801932","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주용암수Mineralized100(JEJU LAVA WATER)","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1401","품목보고번호2013062801923","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명제주용암음용수(수출)","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","정제수","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1400","품목보고번호201306280198","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명제주용암플러스라임","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","정제수","수산화칼슘",NA,NA,"3","라임향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1399","품목보고번호2013062801933","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주워터(JEJU WATER)","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1398","품목보고번호19730380010476","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     12 개월","제품명제주유자에이드","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","정제수","설탕","","수입설탕","3","구연산","함수","4","5","6","7","8","9","10","기타가공품","수크랄로스","아세설팜칼륨","식용색소황색제4호","식용색소황색제5호","혼합제제","혼합제제","유자청추출액, 30 Brix","감미료","감미료","착색료","착색료","유자향(합성향료, 천연향료)","유자향(합성향료, 천연향료)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1397","품목보고번호20050555180756","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명제주천혜향ADE","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","정제수","설탕","","","3","천혜향","천혜향착즙액","4","5","6","7","8","9","10","구연산","DL-사과산","혼합제제","오렌지향","펙틴","시트러스향","구연산삼나트륨","함수구연산","사과산","혼합제제 A, 천혜향향#1","혼합제제 B, 오렌지향#4","과즙용","혼합제제 C, 시트러스향#1","구연산나트륨","11","12","13","14","수크랄로스","메타인산나트륨","식용색소황색제5호","식용색소황색제4호","","","",""
"8","번호1396","품목보고번호201706283724","업소명(주)우영이앤티","품목유형혼합음료","유통/소비기한12개월","제품명제주청귤젤리","분류식품","업체명","(주)우영이앤티","소재지","제주특별자치도 제주시 임항로 270(건입동)","1","2","정제수","백설탕","","","3","과.채가공품","청귤착즙액(고형분8%이상)","4","5","6","7",NA,NA,NA,"분말한천(고시형)","구연산","합성향료","비타민C",NA,NA,NA,"","","청귤향/합성향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1395","품목보고번호2013062801986","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주탐사수","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1394","품목보고번호19930571069321","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주한라봉녹차","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","한라봉농축액","녹차농축액","한라봉청징농축액","","3","백설탕","","4","5","6","7","8","9","10","구연산","구연산삼나트륨","비타민C","카로틴색소","수크랄로스","한라봉향","녹차향","","","","","","","","11",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA
