"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호5602","품목보고번호19860443015317","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명고지베리 저분자콜라겐 앰플 (GOJIBERRY COLLAGEN AMPOULE)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","고지베리주스농축액","정제수","올리고당","생선콜라겐","구연산","황금혼합추출물","석류농축액","엘라스틴가수분해물","돼지태반가수분해물","알로에베라겔농축분말","히알루론산","치커리분말","벌꿀","인디안구스베리추출물","비타민C","동결건조로얄젤리분말","병풀잎추출물분말","유기농고지베리퓨레, 유기농고지베리주스농축액","","프락토올리고당액상","피쉬콜라겐, 콜라겐-트리펩20","무수구연산","복합황금추출물","","","발효돈태반추출물","","","","벌꿀(아카시아)","인디언구스베리추출물","","",""
"2","번호5601","품목보고번호20130555108120","업소명주식회사 도투락","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명고창 발효 복분자","분류식품","업체명","주식회사 도투락","소재지","경상북도 영천시 화산면 유성길 75-4","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"복분자과즙고형분","발효식초","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"복분자농축과즙(고형분55%)","(사과)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5600","품목보고번호2004046707152","업소명주식회사 성윤에프엔지(F&G)","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명고창 복분자 수","분류식품","업체명","주식회사 성윤에프엔지(F&G)","소재지","충청남도 금산군 금산읍 진악로 909","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"복분자농축액","사과농축액","고과당","올리고당","구연산","구연산삼나트륨","합성착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5599","품목보고번호202105040133","업소명주식회사 에스알씨 풀뜨레","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명고창수박펀치","분류식품","업체명","주식회사 에스알씨 풀뜨레","소재지","전라북도 고창군 흥덕면 선운대로 3619-39(주3동 등)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"정제수","백설탕","과.채가공품","과.채가공품","인공수박향","구연산","덱스트린","복합조미식품","수크랄로스","식용색소적색제40호","치자황색소","구연산삼나트륨",NA,NA,NA,NA,NA,"","정백당","수박추출액(고창산)","수박농축액(고창산)","","함수구연산","말토덱스트린","스위트사워믹스","","","","",NA,NA,NA,NA,NA
"5","번호5598","품목보고번호20090368428476","업소명(주)스위트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명고창수박펀치","분류식품","업체명","(주)스위트코리아","소재지","경기도 광주시 곤지암읍 내선길 210-35(1,2층)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"정제수","백설탕","수박즙","수박농축액","수박향","구연산","구연산삼나트륨","덱스트린","복합조미식품","수크랄로스","식용색소적색제40호","치자황색소",NA,NA,NA,NA,NA,"","","수박추출액","","","","","말토덱스트린","","","","",NA,NA,NA,NA,NA
"6","번호5597","품목보고번호20030467108625","업소명대동고려삼(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명고창수박펀치","분류식품","업체명","대동고려삼(주)","소재지","충청남도 금산군 군북면 군북로 586","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"정제수","백설탕","과.채가공품","수박농축액","수박향","수박향","구연산","덱스트린","구연산삼나트륨","복합조미식품","수크랄로스","식용색소적색제40호","치자황색소",NA,NA,NA,NA,"","","수박추출액","","1605430","L100447","함수구연산","말토덱스트린","","","","","",NA,NA,NA,NA
"7","번호5596","품목보고번호201904091996","업소명(주)브니엘월드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명고추냉이 품은 V7에이드","분류식품","업체명","(주)브니엘월드","소재지","강원도 태백시 계산11길 24(장성동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","고추냉이잎","고추냉이줄기","솔잎허브추출물","진피 추출물 혼합추출물","셀러리농축분말","건조파슬리분말","녹차엑기스분말","스테비아잎",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5595","품목보고번호20090435035247","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명고함량 SUPER L-아르기닌 5000","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-아르지닌","구연산(무수)","포도당","아티초크농축물","효소처리스테비아","황금혼합추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","정제포도당","아티초크농축액","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5594","품목보고번호19710570001548","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한12개월","제품명고향집식혜","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"보리어린순","멥쌀","생강엑기스","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5593","품목보고번호20140395066239","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명곤약씬 깔라만시","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","과채주스","혼합제제","정제곤약분말","천연오렌지향","구연산삼나트륨","구연산(무수)","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,"","깔라만시 원액","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
