"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13"
"1","번호2344","품목보고번호2011044502985","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘 피치","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","12","13","복숭아농축액","백설탕","구연산(무수)","비타민C","젤란검","젖산칼슘","수크랄로스","효소처리루틴","락색소","카라멜색소분말","시트러스향","복숭아향","정제수","(67bx')이스라엘산,GANIR","","","","","","","","","","","",""
"2","번호2343","품목보고번호2011044502984","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘 히비스커스레몬","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"레몬주스농축액","히비스커스농축액","기타과당","백설탕","구연산(무수)","비타민C","효소처리루틴","자주색고구마색소","락색소","천연향료(Lemon)","정제수",NA,NA,"(65bx')이스라엘산,GANIR","(30bx')히비스커스주스농축액 대만산","","","","","","","","","",NA,NA
"3","번호2342","품목보고번호20110149027255","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘뉴트리 ABC스타 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"과채주스","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,"사과당근비트혼합농축액[63brix, 사과농축액(국산) 40%, 당근농축액(국산) 40%, 레드비트농축액(독일산) 20%","베트남산","","","","","","","",NA,NA,NA,NA
"4","번호2341","품목보고번호20110149027363","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘뉴트리 꿀도라지&배 콜라겐 젤리스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"배농축액","도라지추출액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","벌꿀",NA,NA,"사용부위 : 열매, 국내산","사용부위 : 뿌리, 국내산","베트남산","","","","","","","","",NA,NA
"5","번호2340","품목보고번호20110149027371","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘뉴트리 동충하초","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"눈꽃동충하초농축액","참당귀농축액","천궁엑기스","액상과당","사카린나트륨","구연산","비타민B2","니코틴산아미드(고시형)","안식향산나트륨","허브향","정제수",NA,NA,"40brix국산","55brix국산","55brix국산, 사용부위 : 뿌리","","","","","","","","",NA,NA
"6","번호2339","품목보고번호20110149027156","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘뉴트리 석류시대 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,"65 brix","","","","","","","","",NA,NA,NA,NA
"7","번호2338","품목보고번호202201888421","업소명(주)다올바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘뉴트리 석류시대 스틱","분류식품","업체명","(주)다올바이오","소재지","부산광역시 강서구 대저로3번길 106(1층 대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"석류농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,"65 Brix, 스페인산","","","","","","","","",NA,NA,NA,NA
"8","번호2337","품목보고번호20110149027378","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘뉴트리 알로에콜라겐젤리스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"알로에베라겔원액","청포도농축액","사과농축액","생선콜라겐펩타이드분말","비타민C","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2336","품목보고번호20110149027157","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘뉴트리 청포도샤이니 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"청포도농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","엘라스틴",NA,NA,NA,"68 brix, 칠레산","","","","","","","","","",NA,NA,NA
"10","번호2335","품목보고번호20110149027269","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘뉴트리 키즈홍삼스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"딸기농축액","홍삼농축액","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,"이스라엘산","국내산, 고형분 60%","","","","","","","",NA,NA,NA,NA
