"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27"
"1","번호4474","품목보고번호20100543066916","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명말랑카우 밀크에이드","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","알로에베라겔즙","식물성크림","덱스트린","합성향료","탈지분유","유화제","안식향산나트륨","카라기난","혼합제제","수크랄로스","","","알로에베라겔절편45%,알로에베라겔즙액54.9%,구연산0.1%:태국산","야자경화유","","밀크향","미국산","","보존료","","CMC-Na,규소수지,유화제","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4473","품목보고번호202103374675","업소명콩그린식품 2공장","품목유형혼합음료","유통/소비기한냉장보관3개월","제품명맑은 엿기름 16시간 윤성순 장모님 국내산 대추식혜","분류식품","업체명","콩그린식품 2공장","소재지","경기도 고양시 일산서구 장자길 145(덕이동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","쌀","대추",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4472","품목보고번호20110618121162","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명맑은내일 발효식혜","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"정제수","쌀","엿기름","효소","혼합허브추출물",NA,NA,NA,NA,NA,NA,NA,"","","","액화효소,당화효소","복합허브추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4471","품목보고번호20110618121278","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명맑은내일단감주스","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","정제수","감추출액","프락토올리고당","설탕","사과농축액","감향","구연산(무수)","오렌지향분말","구연산삼나트륨","혼합허브추출물","젤란검","효소처리스테비아","","단감효소추출액","","","","","","","","","","","13","비타민B2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4470","품목보고번호199906111938","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명맑은아침 골드","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9","10","11","12","검정콩","현미","쌀겨","누룩","정제수","국화꽃추출액","칡꽃","울음","대추","감초","칡","귤나무열매껍질",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","생강",NA,"14","15","16","17","18","19","20","21","22","23","24","25","26","27","복령","사인","정향","창출","홍삼향","사과즙","올리고당","구운소금","구연산","비타민 B1(고시형)","비타민C","박하유","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4469","품목보고번호20070440079209","업소명(주)다원","품목유형혼합음료","유통/소비기한24개월","제품명맑은아침사랑","분류식품","업체명","(주)다원","소재지","충청북도 옥천군 청산면 인정1길 65","1","2","3","4","5","6","7","8","9",NA,NA,NA,"정제수","보리순추출물분말","헛개나무열매추출액","율무분말","감귤껍질추출물","L-아스파라진","구연산","기타과당","파인애플향",NA,NA,NA,"","","","","건조감귤껍질추출물","","","기타과당","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4468","품목보고번호2019057102513","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월냉동보관","제품명맛뚜레식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"건조맥아","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4467","품목보고번호202207610046","업소명맛잇섬영농조합법인","품목유형혼합음료","유통/소비기한냉장6개월","제품명맛잇섬노랑식혜","분류식품","업체명","맛잇섬영농조합법인","소재지","전라남도 신안군 압해읍 회룡길 51-121","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","서양호박분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"옛날식혜(주식회사 가보자, 품목제조보고번호 : 202104913791)","단호박분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4466","품목보고번호202207610045","업소명맛잇섬영농조합법인","품목유형혼합음료","유통/소비기한냉장6개월","제품명맛잇섬퍼플식혜","분류식품","업체명","맛잇섬영농조합법인","소재지","전라남도 신안군 압해읍 회룡길 51-121","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","고구마분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"옛날식혜(주식회사가보자, 품목제조보고번호:202104913791)","자색고구마분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4465","품목보고번호19880607021195","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명맛있게 배부른 곤약젤리 깔라만시","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","칼라만시원액","오렌지향분말","효소처리스테비아","젤란검","잔탄검","로커스트콩검","곤약분말","구연산삼나트륨","수크랄로스","보이차추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","히비스커스추출분말",NA,"14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"젖산칼슘","치자황색소","카라기난","염화칼륨","자몽종자추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
