"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28"
"1","번호4682","품목보고번호20070464034187","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명레츠너츠 혼합7종","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6","땅콩 또는 견과류가공품","설탕","기타가공품","천일염","해바라기유","정제수","혼합견과7종액","유기농밝은갈색설탕","해조분말","","고올레산해바라기유","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4681","품목보고번호20080181270175","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명로그인 유어 데이","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","니코틴산아미드(고시형)","L-카르니틴","판토텐산칼슘","타우린","과라나추출물분말","분말비타민B12혼합제제","","","","","과라나추출분말","비타민B12 0.1%","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","비타민B6염산염","비타민C","은행잎추출물분말","알로에베라겔동결건조분말","열처리유산균","수산물가공품","수크랄로스","시클로덱스트린시럽","기타설탕","프락토올리고당","레몬농축액","구연산(무수)","구연산삼나트륨","합성향료","합성향료","합성향료","염화콜린","혼합제제비타민D","혼합허브추출물","치자청색소","L-테아닌(고시형)","정제수","","","은행잎추출물S","","nf1","후코이단","","싸이클로-P","자일로스슈가","","레몬농축액SR","","","머스켓","레몬","크림소다","","비타민D3","복합허브추출물E","","",""
"3","번호4680","품목보고번호20190456640175","업소명주식회사새롬웰푸드","품목유형혼합음료","유통/소비기한12개월","제품명로맨스 뱅쇼","분류식품","업체명","주식회사새롬웰푸드","소재지","충청남도 천안시 동남구 성남면 대흥1길 153-50","1","2","3","4","5","6","정제수","기타과당","프락토올리고당","소스","기타가공품","과.채가공품","","고과당","","레드와인농축액","계피농축액","오렌지농축액HS","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타가공품","과.채가공품","과.채가공품","과.채가공품","사양벌꿀","구연산","DL-사과산","과.채가공품","비타민C","정향나무꽃봉오리","스타아니스열매","합성향료","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,"적포도발효농축액","사과농축과즙액","배농축과즙액","적포도농축액","","","","생강농축액SR-24784","","","","와인향","레드칼라AF6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4679","품목보고번호2016052105341","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명로보카폴리 딸기맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","정제수","설탕","액상과당","탈지분유","딸기농축액","구연산(무수)","","","","","","","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"두류가공품","젖산칼슘","합성향료","합성향료","수크랄로스","시트러스향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대두다당류","","딸기향1","딸기향2","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4678","품목보고번호19950433026534","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명로보카폴리 망고","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","망고퓌레","백설탕","구연산","젖산칼슘","천연카로틴","젤란검","","","구연산함수","","","","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수크랄로스","망고향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4677","품목보고번호19950433026535","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명로보카폴리 밀크","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","백설탕","구연산","혼합분유","수크랄로스","크림소다향","식품첨가물혼합제제","","구연산함수","","","","소포제","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4676","품목보고번호2016052105340","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명로보카폴리 밀크맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","정제수","액상과당","설탕","탈지분유","구연산(무수)","두류가공품","","","","","","대두다당류","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"젖산칼슘","요구르트향","밀크향","수크랄로스","시트러스향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4675","품목보고번호19950433026544","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명로보카폴리 바나나맛","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","바나나농축액","백설탕","구연산","구연산삼나트륨","젖산칼슘","수크랄로스","","","구연산함수","","","","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"홍화황색소","니코틴산아미드","시트러스향","바나나향","밀크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4674","품목보고번호19950433026545","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명로보카폴리 솜사탕맛","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","백설탕","구연산","구연산삼나트륨","젖산칼슘","수크랄로스","니코틴산아미드","","구연산함수","","","","","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"시트러스향","솜사탕향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4673","품목보고번호20110214381478","업소명달심F&B","품목유형혼합음료","유통/소비기한제조일로부터 1년 이내","제품명로봇은 단호혜","분류식품","업체명","달심F&B","소재지","광주광역시 북구 무등로 153(1,3층 신안동)","1","2","3","4","5",NA,"정제수","쌀","엿기름","호박","설탕",NA,"","","","단호박","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
